Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate,Cutoff,Olevel_Valid,olevel_avg_points,admitted_numeric
Engineering,Biomedical Engineering,182,9,46.95,50.0,1,3.04,0
Pharmacy,Pharmacy,360,6,64.6,76.125,1,2.72,0
Engineering,Surveying & Geoinformatics Engineering,384,5,65.8,50.0,1,2.56,0
Basic Medical Sciences,Medical Laboratory Science,221,20,64.03,74.675,1,3.28,1
Clinical Sciences,Medicine and Surgery,304,7,61.4,80.8,1,3.28,0
Arts,English,397,9,76.22,68.175,1,3.52,0
Management Sciences,Business Administration,196,28,67.7,68.65,1,3.04,0
Arts,Christian Religious Studies,163,18,51.17,61.625,1,2.56,0
Dental Sciences,Dentistry,243,15,59.38,77.4,1,2.8,1
Environmental Sciences,Building,378,0,64.45,50.0,1,3.44,0
Environmental Sciences,Estate Management,141,28,60.42,50.0,1,2.96,0
Environmental Sciences,Architecture,328,10,64.2,50.0,1,2.64,0
Pharmacy,Pharmacy,349,14,73.62,76.125,1,3.2,1
Arts,Islamic Religious Studies,388,11,74.7,60.225,1,3.04,0
Management Sciences,Finance,227,13,57.38,68.9,1,3.2,1
Dental Sciences,Dentistry,357,7,64.83,77.4,1,2.64,0
Pharmacy,Pharmacy,226,16,59.45,76.125,1,3.04,1
Law,Law,226,7,47.25,68.65,1,2.4,0
Basic Medical Sciences,Physiology,199,14,51.27,71.55,1,2.48,0
Arts,Linguistic Igbo/Yoruba,342,17,74.95,61.175,1,3.04,2
Basic Medical Sciences,Pharmacology,298,29,82.25,72.625,1,3.2,2
Social Sciences,Mass Communication,396,3,66.1,72.35,1,2.72,0
Education,Education Mathematics,247,3,48.27,50.0,1,2.88,0
Engineering,Mechanical Engineering,260,26,71.7,50.0,1,2.64,2
Environmental Sciences,Estate Management,259,28,74.38,50.0,1,2.8,2
Education,Education Chemistry,380,0,62.7,50.0,1,3.04,0
Education,Education Islamic Religious Studies,267,13,60.77,50.0,1,2.88,2
Education,Education Yoruba,145,16,47.73,50.0,1,2.72,0
Engineering,Civil & Environmental Engineering,174,0,37.75,50.0,1,3.2,0
Social Sciences,Geography,249,12,57.52,50.0,1,2.88,2
Engineering,Surveying & Geoinformatics Engineering,345,9,68.12,50.0,1,3.2,0
Environmental Sciences,Quantity Surveying,141,28,58.83,50.0,1,2.64,0
Engineering,Metallurgical & Material Engineering,312,13,66.4,50.0,1,2.88,2
Engineering,Electrical & Electronics Engineering,270,28,75.35,50.0,1,2.72,2
Education,Education English,228,7,47.1,50.0,1,2.32,0
Engineering,Chemical & Petroleum Engineering,177,7,45.52,50.0,1,3.28,0
Clinical Sciences,Medicine and Surgery,359,26,84.08,80.8,1,2.64,2
Arts,Creative Arts,360,25,86.4,67.05,1,3.28,2
Engineering,Surveying & Geoinformatics Engineering,167,6,42.48,50.0,1,3.12,0
Pharmacy,Pharmacy,391,14,78.88,76.125,1,3.2,2
Engineering,Systems Engineering,267,23,70.38,50.0,1,2.8,2
Arts,Creative Arts,278,24,74.75,67.05,1,3.2,2
Engineering,Chemical & Petroleum Engineering,220,26,70.7,50.0,1,3.44,2
Dental Sciences,Dentistry,266,13,61.45,77.4,1,3.04,1
Law,Law,229,11,55.23,68.65,1,3.12,0
Science,Fisheries,394,19,82.25,50.0,1,2.8,2
Law,Law,280,14,64.2,68.65,1,3.04,1
Basic Medical Sciences,Medical Laboratory Science,254,4,48.55,74.675,1,2.56,0
Arts,English,271,26,72.28,68.175,1,2.48,2
Social Sciences,Economics,188,5,44.1,69.95,1,3.12,0
Management Sciences,Finance,318,5,59.95,68.9,1,3.04,0
Basic Medical Sciences,Physiology,320,10,64.8,71.55,1,2.96,0
Social Sciences,Geography,271,24,70.67,50.0,1,2.56,2
Environmental Sciences,Urban & Regional Planning,157,29,62.62,50.0,1,2.8,0
Social Sciences,Political Science,190,10,48.95,68.6,1,3.04,0
Engineering,Biomedical Engineering,357,7,69.22,50.0,1,3.52,0
Science,Marine Biology,149,26,58.62,50.0,1,2.8,0
Clinical Sciences,Medicine and Surgery,363,27,85.97,80.8,1,2.72,2
Pharmacy,Pharmacy,276,12,61.3,76.125,1,2.96,1
Clinical Sciences,Physiotherapy,399,23,89.28,73.75,1,3.28,2
Engineering,Computer Engineering,285,13,67.42,50.0,1,3.76,2
Engineering,Mechanical Engineering,236,27,70.5,50.0,1,2.8,2
Environmental Sciences,Building,327,23,79.88,50.0,1,3.2,2
Law,Law,347,6,63.38,68.65,1,2.8,0
Arts,Christian Religious Studies,357,20,79.42,61.625,1,2.96,2
Social Sciences,Political Science,175,11,47.67,68.6,1,2.96,0
Pharmacy,Pharmacy,382,25,88.35,76.125,1,3.12,2
Clinical Sciences,Radiography,237,27,73.03,72.525,1,3.28,2
Education,Education Islamic Religious Studies,234,25,66.65,50.0,1,2.48,2
Science,Industrial Mathematics,140,4,39.5,50.0,1,3.6,0
Science,Marine Biology,316,6,60.3,50.0,1,2.96,0
Environmental Sciences,Architecture,207,6,45.48,50.0,1,2.72,0
Pharmacy,Pharmacy,177,20,58.12,76.125,1,3.2,0
Arts,History & Strategic Studies,316,30,83.1,68.6,1,2.72,2
Dental Sciences,Dentistry,244,13,59.5,77.4,1,3.2,1
Dental Sciences,Dentistry,158,7,39.95,77.4,1,2.64,0
Science,Geology,369,11,73.53,50.0,1,3.28,0
Basic Medical Sciences,Pharmacology,165,28,61.83,72.625,1,2.64,0
Social Sciences,Geography,337,28,84.53,50.0,1,2.88,2
Engineering,Metallurgical & Material Engineering,217,14,56.33,50.0,1,3.04,2
Science,Geology,367,7,68.88,50.0,1,3.2,0
Pharmacy,Pharmacy,197,24,62.62,76.125,1,2.8,0
Basic Medical Sciences,Physiology,145,19,53.12,71.55,1,3.2,0
Law,Law,259,9,56.17,68.65,1,2.96,0
Law,Law,227,4,50.38,68.65,1,3.6,0
Arts,Creative Arts,152,6,39.0,67.05,1,2.8,0
Management Sciences,Business Administration,352,5,61.8,68.65,1,2.56,0
Clinical Sciences,Medicine and Surgery,306,24,75.05,80.8,1,2.56,1
Basic Medical Sciences,Medical Laboratory Science,299,22,74.58,74.675,1,3.04,1
Social Sciences,Sociology,380,17,79.3,66.15,1,2.96,2
Clinical Sciences,Physiotherapy,200,9,47.2,73.75,1,2.64,0
Engineering,Mechanical Engineering,229,6,53.02,50.0,1,3.68,0
Clinical Sciences,Radiography,354,2,60.65,72.525,1,2.88,0
Basic Medical Sciences,Medical Laboratory Science,395,5,69.97,74.675,1,3.12,0
Environmental Sciences,Estate Management,400,21,87.0,50.0,1,3.2,2
Basic Medical Sciences,Physiology,302,25,78.35,71.55,1,3.12,2
Social Sciences,Psychology,364,29,91.3,67.4,1,3.36,2
Science,Statistics,208,18,60.0,50.0,1,3.2,2
Basic Medical Sciences,Medical Laboratory Science,238,20,65.75,74.675,1,3.2,1
Environmental Sciences,Architecture,237,19,62.23,50.0,1,2.72,2
Social Sciences,Political Science,175,14,52.67,68.6,1,3.36,0
Dental Sciences,Dentistry,201,23,63.73,77.4,1,3.12,1
Social Sciences,Geography,353,13,73.53,50.0,1,3.28,2
Environmental Sciences,Estate Management,217,1,42.92,50.0,1,2.96,0
Pharmacy,Pharmacy,220,4,47.1,76.125,1,3.12,0
Engineering,Systems Engineering,290,21,71.25,50.0,1,2.8,2
Pharmacy,Pharmacy,300,3,55.3,76.125,1,2.96,0
Environmental Sciences,Quantity Surveying,388,25,87.9,50.0,1,2.88,2
Engineering,Metallurgical & Material Engineering,312,1,56.4,50.0,1,3.28,0
Environmental Sciences,Urban & Regional Planning,252,21,67.7,50.0,1,3.04,2
Clinical Sciences,Nursing,281,11,61.33,70.875,1,3.04,0
Pharmacy,Pharmacy,349,14,70.42,76.125,1,2.56,1
Management Sciences,Insurance,251,23,67.17,67.125,1,2.56,2
Environmental Sciences,Building,251,3,50.77,50.0,1,3.28,0
Environmental Sciences,Building,284,1,53.3,50.0,1,3.36,0
Dental Sciences,Dentistry,326,26,81.15,77.4,1,2.88,2
Engineering,Electrical & Electronics Engineering,286,23,71.15,50.0,1,2.48,2
Dental Sciences,Dentistry,210,1,42.45,77.4,1,3.04,0
Environmental Sciences,Architecture,236,21,67.7,50.0,1,3.44,2
Clinical Sciences,Radiography,253,5,49.83,72.525,1,2.64,0
Science,Chemistry,281,28,77.92,50.0,1,2.96,2
Environmental Sciences,Quantity Surveying,236,11,56.5,50.0,1,3.2,0
Environmental Sciences,Urban & Regional Planning,310,9,62.15,50.0,1,2.88,0
Dental Sciences,Dentistry,313,3,56.52,77.4,1,2.88,0
Education,Education History,276,6,58.1,50.0,1,3.52,0
Basic Medical Sciences,Medical Laboratory Science,266,15,64.65,74.675,1,3.28,1
Basic Medical Sciences,Physiology,297,22,75.12,71.55,1,3.2,2
Engineering,Chemical & Petroleum Engineering,391,20,86.47,50.0,1,3.52,2
Management Sciences,Insurance,382,3,65.15,67.125,1,2.88,0
Dental Sciences,Dentistry,204,5,46.9,77.4,1,3.28,0
Clinical Sciences,Radiography,340,7,63.5,72.525,1,2.8,0
Pharmacy,Pharmacy,145,26,60.12,76.125,1,3.2,0
Management Sciences,Finance,183,26,64.47,68.9,1,3.12,0
Law,Law,293,23,72.83,68.65,1,2.64,2
Social Sciences,Social Work,211,0,40.77,50.0,1,2.88,0
Dental Sciences,Dentistry,337,12,69.33,77.4,1,3.04,1
Clinical Sciences,Medicine and Surgery,233,7,52.12,80.8,1,3.2,0
Clinical Sciences,Nursing,382,2,64.95,70.875,1,3.04,0
Pharmacy,Pharmacy,147,22,55.98,76.125,1,3.12,0
Engineering,Systems Engineering,319,10,64.67,50.0,1,2.96,0
Education,Adult Education,251,27,73.58,50.0,1,3.04,2
Basic Medical Sciences,Medical Laboratory Science,358,29,89.75,74.675,1,3.2,2
Social Sciences,Psychology,311,28,83.28,67.4,1,3.28,2
Basic Medical Sciences,Medical Laboratory Science,226,12,53.85,74.675,1,2.72,1
Environmental Sciences,Estate Management,338,26,81.85,50.0,1,2.72,2
Clinical Sciences,Physiotherapy,242,22,70.25,73.75,1,3.6,1
Management Sciences,Business Administration,270,20,69.75,68.65,1,3.2,2
Clinical Sciences,Medicine and Surgery,316,23,78.1,80.8,1,3.12,1
Engineering,Mechanical Engineering,142,3,36.35,50.0,1,3.12,0
Law,Law,370,16,75.45,68.65,1,2.64,2
Law,Law,172,12,50.3,68.65,1,3.36,0
Arts,French,278,11,61.35,66.55,1,3.12,0
Environmental Sciences,Estate Management,281,20,71.12,50.0,1,3.2,2
Law,Law,253,9,55.02,68.65,1,2.88,0
Environmental Sciences,Building,240,6,50.8,50.0,1,2.96,0
Arts,History & Strategic Studies,394,15,78.65,68.6,1,2.88,2
Dental Sciences,Dentistry,397,2,66.42,77.4,1,2.96,0
Social Sciences,Mass Communication,399,11,77.28,72.35,1,3.28,0
Arts,Chinese,212,3,45.1,66.7,1,3.12,0
Science,Chemistry,151,21,53.48,50.0,1,2.72,0
Engineering,Electrical & Electronics Engineering,168,6,41.0,50.0,1,2.8,0
Clinical Sciences,Radiography,351,16,73.88,72.525,1,2.8,2
Management Sciences,Actuarial Science,180,12,50.1,61.875,1,3.12,0
Environmental Sciences,Urban & Regional Planning,256,27,75.8,50.0,1,3.36,2
Science,Mathematics,154,19,51.85,50.0,1,2.72,0
Social Sciences,Sociology,388,5,67.9,66.15,1,2.88,0
Law,Law,197,5,42.42,68.65,1,2.56,0
Social Sciences,Mass Communication,297,26,79.53,72.35,1,3.28,2
Dental Sciences,Dentistry,345,27,83.33,77.4,1,2.64,2
Dental Sciences,Dentistry,379,21,85.17,77.4,1,3.36,2
Science,Fisheries,250,1,46.25,50.0,1,2.8,0
Basic Medical Sciences,Pharmacology,327,3,58.67,72.625,1,2.96,0
Management Sciences,Business Administration,176,6,42.4,68.65,1,2.88,0
Social Sciences,Social Work,220,10,55.5,50.0,1,3.6,0
Law,Law,173,8,43.23,68.65,1,2.72,0
Engineering,Surveying & Geoinformatics Engineering,352,9,63.8,50.0,1,2.16,0
Education,Education Chemistry,311,29,81.08,50.0,1,2.64,2
Engineering,Biomedical Engineering,188,28,69.5,50.0,1,3.6,0
Social Sciences,Geography,195,5,44.17,50.0,1,2.96,0
Dental Sciences,Dentistry,142,22,53.35,77.4,1,2.72,0
Pharmacy,Pharmacy,339,16,73.58,76.125,1,3.04,1
Clinical Sciences,Medicine and Surgery,340,3,57.9,80.8,1,2.48,0
Management Sciences,IRPM,379,20,82.97,50.0,1,3.12,2
Environmental Sciences,Building,194,9,47.65,50.0,1,2.88,0
Environmental Sciences,Urban & Regional Planning,210,24,66.25,50.0,1,3.2,2
Management Sciences,IRPM,233,24,69.53,50.0,1,3.28,2
Science,Cell Biology & Genetics,327,21,73.88,50.0,1,2.4,2
Education,Business Education,396,6,69.9,50.0,1,2.88,0
Management Sciences,Actuarial Science,247,7,53.48,61.875,1,3.12,0
Arts,Islamic Religious Studies,363,13,74.78,60.225,1,3.28,2
Environmental Sciences,Quantity Surveying,190,24,64.15,50.0,1,3.28,0
Pharmacy,Pharmacy,280,8,59.4,76.125,1,3.28,0
Pharmacy,Pharmacy,206,30,68.55,76.125,1,2.56,1
Clinical Sciences,Radiography,322,16,69.05,72.525,1,2.56,1
Dental Sciences,Dentistry,352,14,70.4,77.4,1,2.48,1
Clinical Sciences,Physiotherapy,373,1,62.83,73.75,1,3.04,0
Pharmacy,Pharmacy,141,29,64.22,76.125,1,3.52,0
Basic Medical Sciences,Pharmacology,325,21,75.22,72.625,1,2.72,2
Social Sciences,Political Science,217,21,62.12,68.6,1,2.8,1
Basic Medical Sciences,Physiology,388,27,91.1,71.55,1,3.12,2
Basic Medical Sciences,Pharmacology,385,2,64.92,72.625,1,2.96,0
Environmental Sciences,Estate Management,149,21,52.02,50.0,1,2.48,0
Basic Medical Sciences,Physiology,231,0,45.27,71.55,1,3.28,0
Science,Zoology,268,5,54.1,50.0,1,3.12,0
Environmental Sciences,Architecture,217,20,61.52,50.0,1,2.88,2
Science,Mathematics,303,17,69.28,50.0,1,2.88,2
Management Sciences,IRPM,193,27,66.72,50.0,1,3.12,0
Management Sciences,Actuarial Science,373,13,76.03,61.875,1,3.28,2
Management Sciences,Actuarial Science,286,16,66.95,61.875,1,3.04,2
Engineering,Computer Engineering,380,25,88.9,50.0,1,3.28,2
Engineering,Computer Engineering,198,30,71.55,50.0,1,3.36,0
Law,Law,305,2,58.52,68.65,1,3.68,0
Dental Sciences,Dentistry,185,1,40.52,77.4,1,3.28,0
Social Sciences,Psychology,159,7,40.48,67.4,1,2.72,0
Basic Medical Sciences,Pharmacology,296,9,63.2,72.625,1,3.44,0
Management Sciences,Accounting,178,3,40.45,74.1,1,3.04,0
Clinical Sciences,Medicine and Surgery,231,13,56.67,80.8,1,2.96,1
Pharmacy,Pharmacy,160,1,33.8,76.125,1,2.56,0
Law,Law,146,6,39.05,68.65,1,2.96,0
Basic Medical Sciences,Pharmacology,242,26,69.45,72.625,1,2.64,1
Dental Sciences,Dentistry,310,3,57.75,77.4,1,3.2,0
Basic Medical Sciences,Pharmacology,351,28,89.47,72.625,1,3.52,2
Arts,English,148,23,58.3,68.175,1,3.36,0
Social Sciences,Geography,368,22,82.0,50.0,1,2.8,2
Basic Medical Sciences,Pharmacology,264,27,75.2,72.625,1,3.04,2
Engineering,Electrical & Electronics Engineering,335,14,70.28,50.0,1,2.88,2
Arts,History & Strategic Studies,211,9,50.17,68.6,1,2.96,0
Education,Technology Education,204,17,57.3,50.0,1,2.96,2
Basic Medical Sciences,Pharmacology,183,25,62.27,72.625,1,2.88,0
Engineering,Systems Engineering,243,21,65.38,50.0,1,2.8,2
Engineering,Mechanical Engineering,230,18,59.15,50.0,1,2.48,2
Arts,English,251,8,56.17,68.175,1,3.36,0
Dental Sciences,Dentistry,362,15,75.45,77.4,1,3.04,1
Education,Education Christian Religious Studies,268,12,60.7,50.0,1,3.04,2
Law,Law,193,30,66.12,68.65,1,2.4,0
Clinical Sciences,Physiotherapy,304,22,73.6,73.75,1,2.72,1
Environmental Sciences,Building,341,1,62.02,50.0,1,3.68,0
Basic Medical Sciences,Pharmacology,246,30,76.75,72.625,1,3.2,2
Pharmacy,Pharmacy,173,17,51.42,76.125,1,2.56,0
Law,Law,220,1,43.7,68.65,1,3.04,0
Management Sciences,Finance,224,23,66.2,68.9,1,3.04,1
Dental Sciences,Dentistry,174,19,53.15,77.4,1,2.48,0
Pharmacy,Pharmacy,207,21,59.67,76.125,1,2.56,1
Arts,Creative Arts,327,1,58.67,67.05,1,3.36,0
Environmental Sciences,Building,301,22,72.83,50.0,1,2.64,2
Science,Mathematics,256,20,65.2,50.0,1,2.64,2
Law,Law,218,13,54.25,68.65,1,2.8,1
Dental Sciences,Dentistry,243,28,72.38,77.4,1,2.8,1
Engineering,Biomedical Engineering,192,0,40.4,50.0,1,3.28,0
Science,Statistics,347,2,59.77,50.0,1,2.88,0
Basic Medical Sciences,Pharmacology,182,2,39.15,72.625,1,2.88,0
Dental Sciences,Dentistry,265,8,54.33,77.4,1,2.64,0
Clinical Sciences,Medicine and Surgery,377,13,74.12,80.8,1,2.8,1
Engineering,Mechanical Engineering,359,26,84.88,50.0,1,2.8,2
Management Sciences,IRPM,233,25,67.72,50.0,1,2.72,2
Law,Law,285,20,70.03,68.65,1,2.88,2
Environmental Sciences,Quantity Surveying,302,4,59.35,50.0,1,3.52,0
Management Sciences,Insurance,312,26,78.6,67.125,1,2.72,2
Basic Medical Sciences,Pharmacology,152,13,46.8,72.625,1,2.96,0
Clinical Sciences,Physiotherapy,373,11,74.03,73.75,1,3.28,0
Clinical Sciences,Medicine and Surgery,192,2,41.2,80.8,1,3.04,0
Environmental Sciences,Estate Management,306,11,66.85,50.0,1,3.52,0
Education,Education Biology,187,18,59.77,50.0,1,3.68,0
Clinical Sciences,Physiotherapy,248,4,49.8,73.75,1,2.96,0
Basic Medical Sciences,Pharmacology,378,0,63.25,72.625,1,3.2,0
Education,Early Childhood Education,237,27,74.22,50.0,1,3.52,2
Basic Medical Sciences,Physiology,350,6,66.55,71.55,1,3.36,0
Engineering,Mechanical Engineering,184,11,49.6,50.0,1,3.12,0
Social Sciences,Social Work,143,3,36.88,50.0,1,3.2,0
Basic Medical Sciences,Pharmacology,178,6,43.45,72.625,1,3.04,0
Basic Medical Sciences,Physiology,285,6,54.42,71.55,1,2.56,0
Arts,Islamic Religious Studies,240,13,58.2,60.225,1,3.04,1
Law,Law,194,30,67.85,68.65,1,2.72,0
Law,Law,224,7,51.0,68.65,1,3.2,0
Dental Sciences,Dentistry,269,30,78.03,77.4,1,2.88,2
Basic Medical Sciences,Pharmacology,201,3,45.73,72.625,1,3.52,0
Social Sciences,Mass Communication,261,14,60.62,72.35,1,2.8,1
Science,Geophysics,299,1,51.17,50.0,1,2.56,0
Management Sciences,IRPM,344,5,62.0,50.0,1,2.8,0
Environmental Sciences,Architecture,173,3,39.42,50.0,1,2.96,0
Environmental Sciences,Quantity Surveying,388,22,84.9,50.0,1,2.88,2
Basic Medical Sciences,Medical Laboratory Science,279,7,55.48,74.675,1,2.72,0
Management Sciences,Insurance,217,4,45.52,67.125,1,2.88,0
Arts,Christian Religious Studies,361,1,60.12,61.625,1,2.8,0
Pharmacy,Pharmacy,209,9,50.73,76.125,1,3.12,0
Dental Sciences,Dentistry,293,7,56.83,77.4,1,2.64,0
Basic Medical Sciences,Physiology,163,7,42.58,71.55,1,3.04,0
Pharmacy,Pharmacy,229,18,60.23,76.125,1,2.72,1
Education,Early Childhood Education,165,3,40.42,50.0,1,3.36,0
Law,Law,398,5,69.15,68.65,1,2.88,0
Pharmacy,Pharmacy,216,10,48.2,76.125,1,2.24,0
Pharmacy,Pharmacy,227,18,61.98,76.125,1,3.12,1
Engineering,Systems Engineering,149,18,49.83,50.0,1,2.64,0
Arts,History & Strategic Studies,280,19,72.4,68.6,1,3.68,2
Environmental Sciences,Architecture,306,18,70.25,50.0,1,2.8,2
Clinical Sciences,Medicine and Surgery,273,4,54.12,80.8,1,3.2,0
Education,Technology Education,357,18,75.42,50.0,1,2.56,2
Science,Statistics,220,26,69.5,50.0,1,3.2,2
Basic Medical Sciences,Physiology,183,0,39.67,71.55,1,3.36,0
Dental Sciences,Dentistry,326,2,57.15,77.4,1,2.88,0
Arts,English,288,0,52.0,68.175,1,3.2,0
Clinical Sciences,Radiography,225,12,56.92,72.525,1,3.36,1
Education,Education Economics,158,21,56.75,50.0,1,3.2,0
Management Sciences,IRPM,241,7,53.12,50.0,1,3.2,0
Clinical Sciences,Physiotherapy,281,8,59.12,73.75,1,3.2,0
Social Sciences,Psychology,156,14,47.1,67.4,1,2.72,0
Science,Geology,207,13,54.88,50.0,1,3.2,2
Dental Sciences,Dentistry,336,10,66.0,77.4,1,2.8,0
Management Sciences,IRPM,167,22,57.27,50.0,1,2.88,0
Law,Law,293,13,66.03,68.65,1,3.28,1
Law,Law,249,22,69.92,68.65,1,3.36,2
Engineering,Computer Engineering,176,19,56.2,50.0,1,3.04,0
Science,Fisheries,250,2,48.45,50.0,1,3.04,0
Arts,Christian Religious Studies,260,3,49.9,61.625,1,2.88,0
Science,Computer Science,380,23,86.1,71.75,1,3.12,2
Pharmacy,Pharmacy,364,10,70.3,76.125,1,2.96,0
Management Sciences,Business Administration,218,2,47.25,68.65,1,3.6,0
Education,Education Christian Religious Studies,269,26,74.03,50.0,1,2.88,2
Environmental Sciences,Estate Management,344,16,76.6,50.0,1,3.52,2
Basic Medical Sciences,Medical Laboratory Science,220,28,68.7,74.675,1,2.64,1
Law,Law,181,5,41.23,68.65,1,2.72,0
Social Sciences,Psychology,178,23,60.45,67.4,1,3.04,0
Law,Law,195,24,61.98,68.65,1,2.72,0
Management Sciences,IRPM,185,11,49.33,50.0,1,3.04,0
Basic Medical Sciences,Medical Laboratory Science,209,8,48.92,74.675,1,2.96,0
Dental Sciences,Dentistry,361,29,87.33,77.4,1,2.64,2
Basic Medical Sciences,Pharmacology,176,12,48.8,72.625,1,2.96,0
Law,Law,223,16,56.67,68.65,1,2.56,1
Pharmacy,Pharmacy,327,20,73.28,76.125,1,2.48,1
Science,Fisheries,150,20,57.95,50.0,1,3.84,0
Basic Medical Sciences,Physiology,172,20,55.9,71.55,1,2.88,0
Education,Education Igbo,181,3,39.23,50.0,1,2.72,0
Law,Law,217,0,41.52,68.65,1,2.88,0
Environmental Sciences,Urban & Regional Planning,399,23,86.08,50.0,1,2.64,2
Basic Medical Sciences,Physiology,383,3,63.67,71.55,1,2.56,0
Pharmacy,Pharmacy,170,25,58.25,76.125,1,2.4,0
Law,Law,265,8,56.33,68.65,1,3.04,0
Education,Education Economics,393,23,85.72,50.0,1,2.72,2
Management Sciences,Insurance,182,4,39.15,67.125,1,2.48,0
Management Sciences,Actuarial Science,182,28,66.35,61.875,1,3.12,0
Law,Law,359,16,75.28,68.65,1,2.88,2
Law,Law,195,19,57.77,68.65,1,2.88,0
Education,Education Physics,280,21,72.0,50.0,1,3.2,2
Arts,Creative Arts,283,22,71.78,67.05,1,2.88,2
Science,Zoology,166,0,35.95,50.0,1,3.04,0
Clinical Sciences,Physiotherapy,200,22,59.8,73.75,1,2.56,1
Arts,Creative Arts,233,27,71.33,67.05,1,3.04,2
Arts,Linguistic Igbo/Yoruba,324,17,76.7,61.175,1,3.84,2
Education,Early Childhood Education,185,8,46.73,50.0,1,3.12,0
Environmental Sciences,Building,304,28,79.2,50.0,1,2.64,2
Pharmacy,Pharmacy,260,14,61.7,76.125,1,3.04,1
Management Sciences,Insurance,239,17,63.67,67.125,1,3.36,1
Social Sciences,Psychology,297,30,84.33,67.4,1,3.44,2
Law,Law,260,9,55.1,68.65,1,2.72,0
Environmental Sciences,Quantity Surveying,227,1,43.77,50.0,1,2.88,0
Science,Computer Science,165,29,66.03,71.75,1,3.28,0
Management Sciences,IRPM,205,21,60.62,50.0,1,2.8,2
Pharmacy,Pharmacy,377,11,73.33,76.125,1,3.04,0
Law,Law,392,1,66.0,68.65,1,3.2,0
Clinical Sciences,Nursing,157,26,62.83,70.875,1,3.44,0
Engineering,Biomedical Engineering,396,7,72.9,50.0,1,3.28,0
Clinical Sciences,Radiography,167,11,48.67,72.525,1,3.36,0
Clinical Sciences,Nursing,340,20,75.7,70.875,1,2.64,2
Environmental Sciences,Urban & Regional Planning,158,11,47.15,50.0,1,3.28,0
Social Sciences,Sociology,242,6,49.85,66.15,1,2.72,0
Dental Sciences,Dentistry,152,2,36.2,77.4,1,3.04,0
Social Sciences,Social Work,218,25,66.25,50.0,1,2.8,2
Environmental Sciences,Estate Management,381,13,77.03,50.0,1,3.28,2
Management Sciences,Accounting,176,29,67.0,74.1,1,3.2,0
Basic Medical Sciences,Physiology,268,18,65.9,71.55,1,2.88,1
Environmental Sciences,Building,258,26,73.05,50.0,1,2.96,2
Science,Chemistry,359,23,83.88,50.0,1,3.2,2
Dental Sciences,Dentistry,147,7,40.98,77.4,1,3.12,0
Pharmacy,Pharmacy,194,2,42.25,76.125,1,3.2,0
Education,Education Geography,167,12,49.67,50.0,1,3.36,0
Clinical Sciences,Radiography,183,6,42.48,72.525,1,2.72,0
Science,Chemistry,178,21,57.65,50.0,1,2.88,0
Science,Fisheries,187,24,63.38,50.0,1,3.2,0
Basic Medical Sciences,Pharmacology,244,13,56.7,72.625,1,2.64,1
Management Sciences,IRPM,360,13,73.2,50.0,1,3.04,2
Environmental Sciences,Estate Management,179,30,70.38,50.0,1,3.6,0
Social Sciences,Economics,234,10,56.05,69.95,1,3.36,0
Social Sciences,Social Work,346,14,70.85,50.0,1,2.72,2
Clinical Sciences,Radiography,166,23,59.35,72.525,1,3.12,0
Education,Education Economics,334,3,59.55,50.0,1,2.96,0
Basic Medical Sciences,Pharmacology,383,17,82.08,72.625,1,3.44,2
Environmental Sciences,Urban & Regional Planning,177,17,52.33,50.0,1,2.64,0
Management Sciences,Insurance,282,29,77.45,67.125,1,2.64,2
Arts,Chinese,394,15,80.25,66.7,1,3.2,2
Arts,Linguistic Igbo/Yoruba,147,25,59.38,61.175,1,3.2,0
Clinical Sciences,Physiotherapy,281,9,55.33,73.75,1,2.24,0
Basic Medical Sciences,Pharmacology,199,7,44.27,72.625,1,2.48,0
Dental Sciences,Dentistry,299,13,63.58,77.4,1,2.64,1
Clinical Sciences,Physiotherapy,315,2,57.38,73.75,1,3.2,0
Basic Medical Sciences,Medical Laboratory Science,255,8,55.08,74.675,1,3.04,0
Engineering,Chemical & Petroleum Engineering,173,21,58.62,50.0,1,3.2,0
Basic Medical Sciences,Physiology,228,28,72.5,71.55,1,3.2,2
Dental Sciences,Dentistry,380,23,84.9,77.4,1,2.88,2
Management Sciences,Finance,218,13,57.45,68.9,1,3.44,1
Dental Sciences,Dentistry,145,12,43.73,77.4,1,2.72,0
Dental Sciences,Dentistry,224,12,54.4,77.4,1,2.88,1
Education,Human Kinetics Education,162,3,35.25,50.0,1,2.4,0
Law,Law,381,28,90.03,68.65,1,2.88,2
Education,Health Education,341,0,58.62,50.0,1,3.2,0
Basic Medical Sciences,Pharmacology,353,9,68.72,72.625,1,3.12,0
Law,Law,384,0,64.0,68.65,1,3.2,0
Law,Law,173,24,60.83,68.65,1,3.04,0
Dental Sciences,Dentistry,361,22,81.92,77.4,1,2.96,2
Law,Law,233,24,67.53,68.65,1,2.88,1
Law,Law,323,16,70.78,68.65,1,2.88,2
Management Sciences,IRPM,296,19,68.0,50.0,1,2.4,2
Clinical Sciences,Medicine and Surgery,231,20,66.08,80.8,1,3.44,1
Arts,Philosophy,168,16,53.4,67.4,1,3.28,0
Education,Adult Education,390,29,93.35,50.0,1,3.12,2
Education,Education Home Economics,351,16,73.88,50.0,1,2.8,2
Social Sciences,Social Work,339,28,87.17,50.0,1,3.36,2
