Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Law,Law,168,240,46.2,55.0,True,2,not admitted,"B2, B3, C6, B2, A1"
Law,Law,158,240,37.7,55.0,True,2,not admitted,"B2, C4, C5, C5, C5"
Basic Medical Science,Radiology and Radiography,211,200,55.65,71.3,True,1,not admitted,"C5, C5, B3, C4, C4"
Management Sciences,Public Administration,232,160,56.8,55.0,True,2,admitted,"B2, B3, B2, C4, B2"
Social Sciences,Demography and Social Statistics,144,150,44.6,60.5,True,2,not admitted,"B2, C6, A1, A1, B2"
Management Sciences,Business Administration,216,200,50.4,55.0,True,1,not admitted,"C5, C6, C6, C5, C5"
Law,Law,335,240,73.25,55.0,True,1,admitted,"C5, C5, B3, C4, C5"
Arts,Theatre and Media Arts,150,200,47.5,65.8,True,1,not admitted,"B3, C6, A1, C6, C4"
Basic Medical Science,Nursing Science,169,150,58.35,55.0,True,1,admitted,"B3, A1, B3, A1, C4"
Agriculture,Food Science and Technology,282,150,70.3,58.0,True,1,admitted,"C6, C4, B3, B2, B2"
Engineering,Electrical and Electronics Engineering,285,200,71.75,63.3,True,1,admitted,"C4, C6, B3, B2, A1"
Pharmacy,Doctor of Pharmacy,309,240,63.35,55.0,True,2,admitted,"B3, C5, C5, C4, A1"
Education,Library and Information Science,267,150,64.05,64.5,True,1,not admitted,"C5, C6, A1, C4, C5"
Environmental Design and Management,Architecture,227,210,54.05,66.25,True,2,not admitted,"A1, B2, C6, B2, C4"
Engineering,Computer Engineering,212,200,56.8,64.3,True,1,not admitted,"B3, B2, C4, C6, C5"
Law,Law,154,240,53.1,55.0,True,1,not admitted,"C6, B3, A1, A1, C4"
Environmental Design and Management,Building,339,170,69.85,57.5,True,2,admitted,"C4, B2, A1, C6, B3"
Law,Law,345,240,66.75,55.0,True,2,admitted,"C4, C6, B2, C5, B3"
Science,Botany,306,150,66.9,53.5,True,2,admitted,"A1, B3, B2, C4, C4"
Engineering,Mechanical Engineering,202,200,46.3,65.0,True,2,not admitted,"C5, C5, C5, B3, A1"
Environmental Design and Management,Quantity Surveying,330,170,74.5,60.5,True,1,admitted,"C4, B3, C4, C6, B3"
College of Medicine,Medicine and Surgery,187,260,60.05,55.0,True,1,not admitted,"B3, B3, B3, B2, B2"
Engineering,Meterials and Metallurgical Engineering,262,150,68.3,55.0,True,1,admitted,"B3, C6, C4, A1, B2"
Agriculture,Fisheries and Aquaculture,217,150,59.55,50.3,True,1,admitted,"C4, C5, B2, C4, B3"
Education,Health Education,194,150,40.1,57.95,True,2,not admitted,"C5, C5, C5, C6, B3"
College of Medicine,Medicine and Surgery,143,260,46.45,55.0,True,1,not admitted,"B3, C6, C4, C6, A1"
Basic Medical Science,Radiology and Radiography,210,200,52.5,71.3,True,1,not admitted,"C4, C6, C5, C5, C4"
Engineering,Civil Engineering,316,200,74.4,65.0,True,1,admitted,"C4, B3, B2, C6, B3"
Arts,Linguistics and Language,298,150,66.7,55.0,True,1,admitted,"C6, C5, C6, C4, B2"
Arts,Linguistics and Language,333,150,65.95,55.0,True,2,admitted,"C5, C4, C4, C4, B2"
College of Medicine,Medicine and Surgery,303,260,64.45,55.0,True,2,admitted,"A1, C4, C5, A1, C5"
Education,Mathematics Education,293,150,64.95,55.5,True,2,admitted,"C6, B2, A1, A1, C4"
Basic Medical Science,Radiology and Radiography,237,200,63.55,71.3,True,1,not admitted,"B2, C4, B3, C5, B3"
Management Sciences,Finance,338,160,69.7,55.0,True,2,admitted,"C5, C5, B2, B2, B2"
College of Medicine,Medicine and Surgery,156,260,45.4,55.0,True,2,not admitted,"A1, C5, C4, B2, A1"
Social Sciences,Criminology and Security Studies,184,200,46.6,55.0,True,2,not admitted,"A1, B2, C6, A1, C6"
Social Sciences,Economics,324,180,75.6,63.75,True,1,admitted,"C4, C4, C5, B3, B2"
Pharmacy,Doctor of Pharmacy,300,240,75.0,55.0,True,1,admitted,"B2, C4, B3, B3, B3"
Arts,Linguistics and Language,338,150,69.7,55.0,True,2,admitted,"C6, B2, A1, C5, B2"
Agriculture,Hospitality and Tourism Management,178,150,36.7,58.45,True,2,not admitted,"C6, C5, C6, B2, C6"
Pharmacy,Doctor of Pharmacy,350,240,82.5,55.0,True,1,admitted,"A1, C4, B2, C4, C4"
Agriculture,Agricultural Economics and Extension,159,150,34.85,57.8,True,2,not admitted,"C4, C5, C6, B3, C6"
College of Medicine,Medicine and Surgery,221,260,57.15,55.0,True,1,not admitted,"C6, B2, C6, B3, C4"
Environmental Design and Management,Survey and Geo-informatics,262,150,62.3,55.0,True,1,admitted,"C5, B3, B2, C6, C6"
College of Medicine,Medicine and Surgery,306,260,73.9,55.0,True,1,admitted,"C6, B3, C6, A1, A1"
Education,Mathematics Education,186,150,48.9,55.5,True,1,not admitted,"C6, C6, C5, B2, C5"
Education,Physics Education,151,150,43.65,53.6,True,1,not admitted,"C6, B3, B3, C6, C6"
Education,Physics Education,152,150,50.8,53.6,True,1,not admitted,"C6, C6, B3, A1, A1"
Law,Law,279,240,66.85,55.0,True,2,admitted,"B2, A1, B2, B3, B2"
Pharmacy,Doctor of Pharmacy,234,240,58.1,55.0,True,1,not admitted,"B3, B3, C6, C4, C6"
Education,Human Kinetics,258,150,58.7,54.9,True,2,admitted,"A1, C6, A1, B3, C4"
Social Sciences,Political Science,237,180,51.55,62.5,True,2,not admitted,"C5, C5, B3, B2, C4"
Pharmacy,Doctor of Pharmacy,181,240,39.15,55.0,True,2,not admitted,"C5, C6, C5, B3, C4"
Engineering,Computer Engineering,318,200,71.7,64.3,True,1,admitted,"C6, A1, C5, C6, B3"
College of Medicine,Medicine and Surgery,198,260,48.7,55.0,True,2,not admitted,"C5, C6, A1, A1, B3"
College of Medicine,Medicine and Surgery,243,260,54.45,55.0,True,2,not admitted,"C4, C5, B3, B3, B2"
Environmental Design and Management,Survey and Geo-informatics,151,150,37.65,55.0,True,2,not admitted,"C6, B2, B3, C5, C4"
Pharmacy,Doctor of Pharmacy,233,240,68.95,55.0,True,1,not admitted,"B3, A1, C4, A1, B2"
Social Sciences,Political Science,279,180,52.85,62.5,True,2,not admitted,"C6, C5, B3, C5, C5"
Education,Mathematics Education,144,150,39.6,55.5,True,2,not admitted,"C4, A1, B2, C5, C5"
Science,Botany,350,150,67.5,53.5,True,2,admitted,"B2, B2, C4, C6, C6"
Management Sciences,Finance,282,160,58.3,55.0,True,2,admitted,"C6, C5, C4, A1, B3"
College of Medicine,Medicine and Surgery,297,260,58.55,55.0,True,2,admitted,"C6, C4, C4, C6, A1"
Arts,History and International Studies,296,180,69.4,67.8,True,1,admitted,"C4, C4, B3, C5, C4"
Engineering,Agricultural and Bio-Resources Engineering,295,160,66.25,55.0,True,1,admitted,"C6, C5, C5, A1, C6"
Management Sciences,Business Administration,200,200,47.0,55.0,True,2,not admitted,"B2, C4, B2, C4, C6"
Engineering,Agricultural and Bio-Resources Engineering,268,160,69.2,55.0,True,1,admitted,"A1, C4, C5, B3, B3"
Social Sciences,Demography and Social Statistics,235,150,65.25,60.5,True,1,admitted,"C5, B2, C5, B2, A1"
College of Medicine,Medicine and Surgery,178,260,49.7,55.0,True,1,not admitted,"B3, C4, C5, C6, C4"
College of Medicine,Medicine and Surgery,340,260,75.0,55.0,True,1,admitted,"C6, C4, C4, A1, C6"
Engineering,Civil Engineering,275,200,67.25,65.0,True,1,admitted,"B3, C6, B2, C6, B2"
Education,Health Education,271,150,61.65,57.95,True,2,admitted,"B2, C4, B2, B3, B3"
Arts,Theatre and Media Arts,267,200,63.05,65.8,True,1,not admitted,"C4, C6, B2, C4, C6"
Environmental Design and Management,Building,290,170,60.5,57.5,True,2,admitted,"C4, A1, C5, C4, C4"
Education,Library and Information Science,142,150,43.3,64.5,True,1,not admitted,"C5, C5, B2, C5, C6"
Engineering,Agricultural and Bio-Resources Engineering,253,160,61.95,55.0,True,2,admitted,"A1, C5, A1, B3, A1"
Basic Medical Science,Nursing Science,282,150,70.3,55.0,True,1,admitted,"C5, C4, A1, B2, C5"
College of Medicine,Medicine and Surgery,142,260,44.3,55.0,True,1,not admitted,"C5, C5, C4, C5, B3"
Agriculture,Agricultural Economics and Extension,164,150,35.6,57.8,True,2,not admitted,"C6, A1, C6, C5, C6"
Basic Medical Science,Anatomy,253,180,69.95,63.3,True,1,admitted,"C4, B2, C5, A1, A1"
Management Sciences,Business Administration,311,200,71.65,55.0,True,1,admitted,"B3, B3, B2, C6, C6"
Education,Library and Information Science,221,150,61.15,64.5,True,1,not admitted,"B2, C4, B2, B3, C6"
College of Medicine,Medicine and Surgery,282,260,75.3,55.0,True,1,admitted,"A1, B3, A1, C4, B3"
College of Medicine,Medicine and Surgery,271,260,70.65,55.0,True,1,admitted,"B3, C4, B2, C4, B2"
Communications and Media Studies,Pulic Relations,298,150,75.7,55.0,True,1,admitted,"A1, C4, A1, C4, C4"
College of Medicine,Medicine and Surgery,242,260,63.3,55.0,True,1,not admitted,"B3, C5, B2, C5, B3"
Agriculture,Hospitality and Tourism Management,171,150,40.65,58.45,True,2,not admitted,"B3, B3, C6, B2, C6"
Agriculture,Animal Production and Health,143,150,40.45,61.3,True,2,not admitted,"C6, B2, B3, B3, B2"
Basic Medical Science,Medical Laboratory Science,331,200,78.65,72.3,True,1,admitted,"C5, A1, C5, C4, A1"
Engineering,Computer Engineering,230,200,63.5,64.3,True,1,not admitted,"B3, B3, C4, B2, C4"
College of Medicine,Medicine and Surgery,188,260,54.2,55.0,True,2,not admitted,"A1, B3, A1, B3, A1"
Education,Library and Information Science,213,150,59.95,64.5,True,1,not admitted,"A1, C5, B2, C4, C5"
Education,Human Kinetics,246,150,53.9,54.9,True,2,not admitted,"C5, B2, C5, B3, B3"
Basic Medical Science,Medical Laboratory Science,265,200,58.75,72.3,True,2,not admitted,"C6, B3, A1, C4, B2"
Engineering,Electrical and Electronics Engineering,263,200,62.45,63.3,True,1,not admitted,"C4, B3, C5, C6, C4"
Communications and Media Studies,Broadcasting,313,150,56.95,64.0,True,2,not admitted,"C5, C6, C5, C5, C4"
Social Sciences,Criminology and Security Studies,325,200,80.75,55.0,True,1,admitted,"B2, B2, B3, B3, B3"
Agriculture,Agricultural Economics and Extension,235,150,62.25,57.8,True,1,admitted,"C5, C5, C6, A1, A1"
Pharmacy,Doctor of Pharmacy,260,240,65.0,55.0,True,1,admitted,"C5, B3, A1, C4, C6"
Environmental Design and Management,Architecture,246,210,64.9,66.25,True,1,not admitted,"B3, A1, C5, C5, B3"
Arts, English and Literary Studies,187,150,54.05,55.0,True,1,not admitted,"B2, B3, C4, C4, C6"
Social Sciences,Criminology and Security Studies,267,200,67.05,55.0,True,1,admitted,"C6, B2, C4, C5, A1"
Pharmacy,Doctor of Pharmacy,246,240,61.9,55.0,True,2,admitted,"B2, A1, A1, B2, C4"
Education,Guidance and Counselling,346,150,72.9,59.05,True,2,admitted,"B2, B3, A1, C5, B3"
Arts,Linguistics and Language,237,150,62.55,55.0,True,1,admitted,"C5, B2, C5, C5, A1"
Communications and Media Studies,Mass Communication,341,220,87.15,66.3,True,1,admitted,"A1, C4, A1, A1, B2"
Environmental Design and Management,Urban and Regional Planning,208,150,60.2,56.0,True,1,admitted,"B2, C4, C5, C4, A1"
Pharmacy,Doctor of Pharmacy,179,240,42.85,55.0,True,2,not admitted,"B3, C4, B2, C4, C6"
Engineering,Mechanical Engineering,192,200,55.8,65.0,True,1,not admitted,"B3, C4, B3, B2, C6"
Communications and Media Studies,Broadcasting,225,150,58.75,64.0,True,1,not admitted,"C6, C6, B3, A1, C4"
Science,Botany,333,150,69.95,53.5,True,2,admitted,"A1, C4, B2, C6, B2"
Education,Mathematics Education,233,150,49.95,55.5,True,2,not admitted,"C6, C5, B2, B2, C5"
Pharmacy,Doctor of Pharmacy,227,240,70.05,55.0,True,1,not admitted,"B3, A1, B2, B2, A1"
Management Sciences,Accounting,208,200,59.2,55.0,True,1,admitted,"A1, C4, C4, B2, C6"
Communications and Media Studies,Pulic Relations,185,150,48.75,55.0,True,1,not admitted,"C5, C4, C6, B3, C6"
Social Sciences,Psychology,143,150,45.45,64.5,True,1,not admitted,"C4, C6, B3, C4, C4"
Law,Law,284,240,71.6,55.0,True,1,admitted,"A1, B3, B3, B3, C6"
Education,Physics Education,292,150,75.8,53.6,True,1,admitted,"B3, B2, A1, C6, A1"
Management Sciences,Accounting,162,200,49.3,55.0,True,1,not admitted,"B2, C6, C5, C5, B2"
Engineering,Mechanical Engineering,207,200,55.05,65.0,True,1,not admitted,"C4, C6, B2, B3, C6"
Agriculture,Water Resources Management and Agrometeorology,328,150,63.2,55.0,True,2,admitted,"B2, C6, C6, B3, C4"
Agriculture,Hospitality and Tourism Management,145,150,49.75,58.45,True,1,not admitted,"B2, A1, C6, C6, B2"
College of Medicine,Medicine and Surgery,335,260,61.25,55.0,True,2,admitted,"C4, C6, C4, C6, C4"
Science,Microbiology,222,180,52.3,65.75,True,2,not admitted,"B3, C5, B2, B3, B3"
Basic Medical Science,Anatomy,339,180,82.85,63.3,True,1,admitted,"A1, A1, B2, C4, C5"
Arts,History and International Studies,158,180,51.7,67.8,True,1,not admitted,"C6, C4, A1, B3, B3"
Engineering,Mechanical Engineering,151,200,38.65,65.0,True,1,not admitted,"C6, C6, C6, C5, C6"
Basic Medical Science,Anatomy,203,180,42.45,63.3,True,2,not admitted,"C6, C6, C4, C4, B3"
Environmental Design and Management,Estate Management,161,160,46.15,57.5,True,2,not admitted,"B2, A1, A1, B3, C6"
Pharmacy,Doctor of Pharmacy,159,240,43.85,55.0,True,1,not admitted,"C5, C6, B2, C6, C6"
Basic Medical Science,Medical Laboratory Science,255,200,48.25,72.3,True,2,not admitted,"B3, C5, C6, C6, C5"
Management Sciences,Public Administration,345,160,75.75,55.0,True,1,admitted,"C4, C4, C4, C5, C4"
Arts, English and Literary Studies,261,150,55.15,55.0,True,2,admitted,"C6, B2, C5, C4, B2"
Agriculture,Hospitality and Tourism Management,337,150,80.55,58.45,True,1,admitted,"B2, C5, C5, B2, A1"
Environmental Design and Management,Building,236,170,50.4,57.5,True,2,not admitted,"C5, C4, C5, B2, C4"
College of Medicine,Medicine and Surgery,210,260,54.5,55.0,True,1,not admitted,"C6, B3, C5, B3, C5"
Science,Physics,167,150,37.05,56.5,True,2,not admitted,"B3, C5, C6, C4, C5"
Basic Medical Science,Medical Laboratory Science,212,200,55.8,72.3,True,1,not admitted,"B2, C5, C5, B3, C6"
Communications and Media Studies,Mass Communication,185,220,54.75,66.3,True,1,not admitted,"C6, B2, B2, C6, B2"
Environmental Design and Management,Urban and Regional Planning,207,150,64.05,56.0,True,1,admitted,"A1, A1, C4, C5, A1"
Management Sciences,Public Administration,252,160,63.8,55.0,True,2,admitted,"A1, B2, B2, B3, A1"
Communications and Media Studies,Journalism,310,150,80.5,64.0,True,1,admitted,"B3, B3, A1, A1, B3"
Social Sciences,Geography,275,150,65.25,55.0,True,1,admitted,"C5, B3, C6, B3, C4"
Communications and Media Studies,Broadcasting,256,150,71.4,64.0,True,1,admitted,"A1, B2, B2, C6, A1"
Law,Law,158,240,51.7,55.0,True,1,not admitted,"C5, B3, B2, B3, C4"
Arts,History and International Studies,327,180,80.05,67.8,True,1,admitted,"C4, A1, B2, B2, C5"
Law,Law,208,240,39.2,55.0,True,2,not admitted,"C6, C6, C4, C6, C5"
Science,Mathematics,199,150,59.85,55.5,True,1,admitted,"A1, B3, C6, A1, C4"
College of Medicine,Medicine and Surgery,232,260,45.8,55.0,True,2,not admitted,"C5, B3, C5, C6, C5"
College of Medicine,Medicine and Surgery,349,260,83.35,55.0,True,1,admitted,"B2, C6, C4, A1, A1"
Agriculture,Agricultural Economics and Extension,219,150,56.85,57.8,True,1,not admitted,"C4, B3, B3, C5, C6"
College of Medicine,Medicine and Surgery,299,260,64.85,55.0,True,2,admitted,"B2, C5, B3, C4, A1"
Agriculture,Agricultural Economics and Extension,210,150,60.5,57.8,True,1,admitted,"C6, B2, B2, B2, C4"
Management Sciences,Public Administration,292,160,62.8,55.0,True,2,admitted,"B2, B2, C6, C4, B2"
Agriculture,Fisheries and Aquaculture,154,150,42.1,50.3,True,1,not admitted,"C5, C6, C4, C5, C6"
Science,Zoology,282,150,71.3,55.5,True,1,admitted,"C6, A1, A1, C5, B3"
Law,Law,330,240,61.5,55.0,True,2,admitted,"B3, C6, C6, B2, C6"
Basic Medical Science,Nursing Science,344,150,69.6,55.0,True,1,admitted,"C6, C6, C6, C6, B3"
Agriculture,Animal Production and Health,227,150,60.05,61.3,True,1,not admitted,"C5, B3, C5, A1, C5"
Agriculture,Water Resources Management and Agrometeorology,253,150,56.95,55.0,True,2,admitted,"A1, B2, C5, B2, C6"
Education,Physics Education,267,150,63.05,53.6,True,1,admitted,"B3, C4, C5, C4, C6"
Law,Law,209,240,49.35,55.0,True,2,not admitted,"C4, A1, C4, C4, C4"
Communications and Media Studies,Broadcasting,342,150,76.3,64.0,True,1,admitted,"C6, C4, B2, B3, C5"
Social Sciences,Psychology,250,150,55.5,64.5,True,2,not admitted,"B2, B3, C6, C5, A1"
Agriculture,Animal Production and Health,252,150,64.8,61.3,True,1,admitted,"A1, C6, B3, C5, B3"
Environmental Design and Management,Survey and Geo-informatics,245,150,63.75,55.0,True,1,admitted,"C5, C6, C4, A1, B2"
Social Sciences,Geography,216,150,55.4,55.0,True,1,admitted,"C4, C4, B2, C6, C6"
Education,Human Kinetics,307,150,56.05,54.9,True,2,admitted,"C5, B3, C6, C6, C5"
Agriculture,Crop Science and Horticulture,158,150,50.7,57.3,True,1,not admitted,"C5, B2, B3, B2, C6"
Engineering,Mechatronics Engineering,303,220,65.45,65.0,True,2,admitted,"A1, B2, C4, B3, C5"
Agriculture,Crop Science and Horticulture,238,150,57.7,57.3,True,2,admitted,"B3, B2, B2, C5, A1"
Management Sciences,Business Administration,302,200,57.3,55.0,True,2,admitted,"C4, C6, C6, C5, B2"
Arts,Theatre and Media Arts,250,200,58.5,65.8,True,1,not admitted,"C6, C6, A1, C6, C5"
Management Sciences,Public Administration,241,160,60.15,55.0,True,1,admitted,"C4, B2, C5, C5, C5"
College of Medicine,Medicine and Surgery,248,260,59.2,55.0,True,2,not admitted,"C4, C5, A1, B2, A1"
Social Sciences,Demography and Social Statistics,346,150,72.9,60.5,True,2,admitted,"C4, A1, B2, A1, C6"
Agriculture,Hospitality and Tourism Management,310,150,73.5,58.45,True,1,admitted,"C6, A1, C4, C6, A1"
Social Sciences,Demography and Social Statistics,226,150,45.9,60.5,True,2,not admitted,"C6, B2, C6, C6, B3"
Basic Medical Science,Medical Laboratory Science,242,200,58.3,72.3,True,1,not admitted,"C6, C5, A1, C5, C6"
Basic Medical Science,Physiology,198,180,45.7,61.5,True,2,not admitted,"B2, A1, C6, C5, C5"
Environmental Design and Management,Survey and Geo-informatics,237,150,56.55,55.0,True,1,admitted,"C6, C6, C6, C4, B2"
College of Medicine,Medicine and Surgery,189,260,53.35,55.0,True,1,not admitted,"C4, C6, C5, C4, A1"
Arts,Theatre and Media Arts,323,200,74.45,65.8,True,1,admitted,"C5, C5, B2, C5, B2"
Science,Biochemistry,158,180,53.7,63.75,True,1,not admitted,"A1, B2, B3, C6, B3"
Arts, English and Literary Studies,153,150,44.95,55.0,True,1,not admitted,"A1, C6, C5, C5, C6"
College of Medicine,Medicine and Surgery,174,260,43.1,55.0,True,2,not admitted,"B2, C6, B3, C5, B2"
Agriculture,Crop Science and Horticulture,252,150,62.8,57.3,True,1,admitted,"B3, C5, C5, C4, B3"
Science,Biochemistry,184,180,49.6,63.75,True,1,not admitted,"C5, B2, C6, C6, C4"
Law,Law,276,240,71.4,55.0,True,1,admitted,"B3, B3, A1, C5, B3"
Social Sciences,Economics,343,180,76.45,63.75,True,1,admitted,"C6, C5, C4, A1, C4"
Law,Law,322,240,76.3,55.0,True,1,admitted,"C4, C6, A1, B3, B3"
Science,Statistics,298,150,72.7,54.5,True,1,admitted,"C4, A1, C4, B2, C6"
Basic Medical Science,Medical Laboratory Science,334,200,85.1,72.3,True,1,admitted,"B3, A1, C4, A1, A1"
Law,Law,275,240,62.25,55.0,True,2,admitted,"C4, C6, A1, A1, B2"
Social Sciences,Geography,275,150,61.25,55.0,True,2,admitted,"C4, B2, C6, B2, A1"
Agriculture,Hospitality and Tourism Management,224,150,52.6,58.45,True,2,not admitted,"B2, A1, B2, C6, C5"
Engineering,Mechatronics Engineering,329,220,66.35,65.0,True,2,admitted,"A1, B2, C5, C4, C6"
Pharmacy,Doctor of Pharmacy,211,240,50.65,55.0,True,2,not admitted,"C4, B3, C6, A1, B2"
Agriculture,Hospitality and Tourism Management,174,150,56.1,58.45,True,1,not admitted,"C6, A1, A1, C6, A1"
Social Sciences,Political Science,257,180,63.55,62.5,True,1,admitted,"B3, C5, C5, B2, C5"
Environmental Design and Management,Building,336,170,78.4,57.5,True,1,admitted,"C6, B2, B2, C6, A1"
College of Medicine,Medicine and Surgery,314,260,65.1,55.0,True,1,admitted,"C6, C5, C6, C6, C4"
Pharmacy,Doctor of Pharmacy,295,240,57.25,55.0,True,2,admitted,"C6, B3, B3, C4, C6"
Pharmacy,Doctor of Pharmacy,180,240,46.0,55.0,True,2,not admitted,"C5, B2, B2, C6, A1"
Engineering,Mechatronics Engineering,184,220,50.6,65.0,True,1,not admitted,"A1, C6, C4, C6, C5"
College of Medicine,Medicine and Surgery,262,260,70.3,55.0,True,1,admitted,"C6, B2, C4, A1, A1"
Law,Law,165,240,57.75,55.0,True,1,not admitted,"B2, A1, A1, B2, C6"
Engineering,Electrical and Electronics Engineering,314,200,70.1,63.3,True,1,admitted,"C6, A1, C6, C5, C4"
Engineering,Meterials and Metallurgical Engineering,283,150,62.45,55.0,True,2,admitted,"B3, C4, B2, C4, B2"
Social Sciences,Geography,335,150,70.25,55.0,True,1,admitted,"C5, C6, C5, B3, C6"
Education,Mathematics Education,349,150,74.35,55.5,True,1,admitted,"C4, C6, B3, C5, C5"
Communications and Media Studies,Pulic Relations,214,150,49.1,55.0,True,2,not admitted,"B2, C5, B3, C4, C4"
Pharmacy,Doctor of Pharmacy,292,240,73.8,55.0,True,1,admitted,"B2, C6, C4, B2, A1"
Environmental Design and Management,Estate Management,280,160,76.0,57.5,True,1,admitted,"B3, C4, A1, A1, B2"
Basic Medical Science,Anatomy,347,180,75.05,63.3,True,1,admitted,"C5, A1, C4, C6, C6"
Engineering,Computer Engineering,195,200,58.25,64.3,True,1,not admitted,"B3, C5, B2, B2, C4"
Arts,Linguistics and Language,331,150,65.65,55.0,True,2,admitted,"C5, C4, C4, B3, B3"
Management Sciences,Business Administration,195,200,63.25,55.0,True,1,not admitted,"A1, B3, A1, C5, A1"
Environmental Design and Management,Quantity Surveying,330,170,64.5,60.5,True,2,admitted,"C4, B3, C5, C5, B3"
Engineering,Agricultural and Bio-Resources Engineering,284,160,63.6,55.0,True,2,admitted,"C4, B2, C4, B2, B2"
Communications and Media Studies,Broadcasting,258,150,64.7,64.0,True,2,admitted,"B3, B3, A1, A1, A1"
Science,Chemistry,223,150,50.45,62.5,True,2,not admitted,"C5, B3, B2, C4, C4"
Law,Law,172,240,58.8,55.0,True,1,not admitted,"A1, C5, B2, B2, B2"
Engineering,Mechatronics Engineering,142,220,55.3,65.0,True,1,not admitted,"A1, A1, B3, A1, C5"
Pharmacy,Doctor of Pharmacy,179,240,54.85,55.0,True,1,not admitted,"B3, B2, A1, C5, C6"
Basic Medical Science,Radiology and Radiography,235,200,55.25,71.3,True,2,not admitted,"A1, A1, C6, B3, C4"
Pharmacy,Doctor of Pharmacy,324,240,66.6,55.0,True,2,admitted,"B3, B3, B3, B3, C5"
Social Sciences,Political Science,272,180,58.8,62.5,True,2,not admitted,"B2, C4, A1, C4, C6"
Education,Physics Education,291,150,70.65,53.6,True,1,admitted,"A1, A1, C6, C6, C4"
College of Medicine,Medicine and Surgery,214,260,50.1,55.0,True,2,not admitted,"B3, B2, C4, C5, B3"
Social Sciences,Economics,143,180,43.45,63.75,True,2,not admitted,"C4, C4, B2, A1, B2"
Management Sciences,Finance,160,160,41.0,55.0,True,2,not admitted,"B3, B3, B3, C5, C4"
Agriculture,Fisheries and Aquaculture,291,150,69.65,50.3,True,1,admitted,"C4, C4, C6, C4, A1"
Social Sciences,Political Science,269,180,56.35,62.5,True,2,not admitted,"C4, C4, B3, B2, C6"
Agriculture,Soil Science and Land Resources Management,257,150,58.55,55.0,True,2,admitted,"C5, C5, A1, A1, B3"
Arts,Theatre and Media Arts,339,200,68.85,65.8,True,2,admitted,"B3, C6, B3, C4, A1"
College of Medicine,Medicine and Surgery,274,260,68.1,55.0,True,1,admitted,"C4, C4, B3, C5, B2"
College of Medicine,Medicine and Surgery,155,260,35.25,55.0,True,2,not admitted,"C6, C4, C5, B2, C6"
Environmental Design and Management,Estate Management,281,160,55.15,57.5,True,2,not admitted,"B2, C6, C5, C4, C5"
Environmental Design and Management,Building,210,170,65.5,57.5,True,1,admitted,"A1, B3, B3, B3, A1"
Science,Mathematics,233,150,56.95,55.5,True,1,admitted,"C6, B3, B3, C6, C5"
Education,Physics Education,321,150,74.15,53.6,True,1,admitted,"C5, C6, C5, B2, A1"
Science,Computer Science,338,200,79.7,65.3,True,1,admitted,"C6, C4, B2, A1, B3"
Pharmacy,Doctor of Pharmacy,203,240,47.45,55.0,True,2,not admitted,"C4, A1, C6, B2, C5"
Arts,History and International Studies,349,180,81.35,67.8,True,1,admitted,"B2, C4, C4, A1, C5"
Engineering,Computer Engineering,287,200,63.05,64.3,True,2,not admitted,"B3, A1, C5, B3, B3"
Basic Medical Science,Radiology and Radiography,208,200,52.2,71.3,True,2,not admitted,"B3, A1, A1, C4, C5"
Basic Medical Science,Nursing Science,250,150,47.5,55.0,True,2,not admitted,"C6, C5, C6, C4, C4"
Science,Computer Science,174,200,56.1,65.3,True,1,not admitted,"C4, B3, B3, C4, A1"
Agriculture,Animal Production and Health,272,150,60.8,61.3,True,2,not admitted,"B3, C6, B3, A1, B2"
Arts,History and International Studies,290,180,73.5,67.8,True,1,admitted,"A1, C6, C5, B2, A1"
Basic Medical Science,Physiology,226,180,58.9,61.5,True,2,not admitted,"A1, A1, C5, A1, B2"
Education,Chemistry Education,152,150,47.8,55.0,True,1,not admitted,"B3, A1, C5, C5, C6"
Arts, English and Literary Studies,330,150,69.5,55.0,True,2,admitted,"C6, B2, C5, A1, A1"
Basic Medical Science,Medical Laboratory Science,182,200,40.3,72.3,True,2,not admitted,"C6, C4, B3, C6, B3"
Pharmacy,Doctor of Pharmacy,239,240,60.85,55.0,True,1,not admitted,"C5, C6, C4, B2, B3"
College of Medicine,Medicine and Surgery,346,260,81.9,55.0,True,1,admitted,"B3, C5, B2, A1, C4"
Science,Zoology,225,150,48.75,55.5,True,2,not admitted,"C4, A1, C5, C4, C6"
Arts, English and Literary Studies,171,150,35.65,55.0,True,2,not admitted,"C6, C6, C5, C6, B2"
Social Sciences,Economics,267,180,71.05,63.75,True,1,admitted,"C5, A1, A1, C5, B2"
Arts,History and International Studies,338,180,73.7,67.8,True,1,admitted,"C6, C5, B2, C6, B3"
Engineering,Meterials and Metallurgical Engineering,295,150,64.25,55.0,True,2,admitted,"C4, C5, A1, B3, B2"
Social Sciences,Political Science,322,180,63.3,62.5,True,2,admitted,"B3, C4, C4, C6, B3"
Management Sciences,Business Administration,156,200,45.4,55.0,True,1,not admitted,"C4, C6, B3, C5, C5"
Pharmacy,Doctor of Pharmacy,288,240,77.2,55.0,True,1,admitted,"B2, A1, B3, B2, B3"
Social Sciences,Political Science,346,180,82.9,62.5,True,1,admitted,"B3, C5, A1, C4, A1"
