Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate_Score,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Environmental Sciences,Surveying and Geo-informatics,364,19.62,81.52,True,2,admitted,"A1, A1, C5, B3, C4"
Pharmaceutical Sciences,Pharmacy,336,0.48,54.88,True,1,admitted,"C6, C4, C4, C6, C4"
Agriculture,Forest Resources Management,356,22.56,80.66,True,1,admitted,"B3, C6, B3, C5, C4"
Pharmaceutical Sciences,Pharmacy,232,23.48,68.48,True,1,admitted,"A1, C6, C5, B2, A1"
Engineering and Technology,Chemical Engineering,240,7.03,51.83,True,2,admitted,"B3, B3, C6, C5, A1"
Physical Sciences,Computer Science,247,1.5,51.58,True,1,admitted,"A1, B2, A1, A1, B2"
Physical Sciences,Computer Science,267,0.44,45.81,True,1,not admitted,"C6, B2, C5, C6, C6"
Social Sciences,Economics,392,1.79,64.79,True,2,admitted,"B3, C4, C5, C6, B2"
Veterinary Medicine,Veterinary Medicine,321,16.75,68.88,True,2,admitted,"C5, B3, C5, C6, C6"
Engineering and Technology,Civil Engineering,260,1.7,50.6,True,1,admitted,"B3, C5, B2, A1, B3"
Environmental Sciences,Estate Management,354,21.69,82.34,True,2,admitted,"C5, B2, B3, A1, B3"
Engineering and Technology,Computer Engineering,165,27.53,61.36,True,1,not admitted,"C5, B3, C6, C5, B3"
Environmental Sciences,Surveying and Geo-informatics,222,29.22,69.77,True,1,admitted,"C5, C5, B3, C5, C5"
Arts,French,242,24.27,71.32,True,2,admitted,"B2, C4, A1, B3, B3"
Veterinary Medicine,Veterinary Medicine,391,22.44,88.52,True,1,admitted,"B3, C5, A1, B2, A1"
Social Sciences,Psychology,339,20.06,74.84,True,2,admitted,"B3, C5, C4, C6, C6"
Communication and Information Sciences,Computer Science,283,13.97,62.14,True,1,admitted,"B3, C4, C5, C6, C5"
Arts,English,378,8.6,70.65,True,1,admitted,"B2, C6, C5, C4, A1"
Environmental Sciences,Surveying and Geo-informatics,199,7.59,46.06,True,2,not admitted,"C4, B3, C4, C5, C5"
Physical Sciences,Mathematics,324,2.88,59.38,True,2,admitted,"B3, B3, B2, C5, B2"
Agriculture,Home Economics and Food Science,324,17.66,74.16,True,1,admitted,"A1, C5, C4, C4, A1"
Veterinary Medicine,Veterinary Medicine,377,10.24,72.17,True,1,admitted,"C4, C5, A1, C6, B2"
Life Sciences,Zoology,327,16.44,73.31,True,2,admitted,"A1, A1, B2, C5, C6"
Education,Arts Education,209,9.9,51.62,True,1,admitted,"A1, B2, A1, C6, C6"
Life Sciences,Zoology,241,11.94,55.27,True,1,admitted,"C5, C4, C6, C6, A1"
Clinical Sciences,Nursing Science,374,13.2,75.15,True,2,admitted,"C4, C6, A1, B2, C4"
Engineering and Technology,Materials & Metallurgical Engineering,180,26.32,64.82,True,1,admitted,"B2, B2, B3, C5, B3"
Engineering and Technology,Electrical and Electronics Engineering,179,24.51,61.29,True,2,not admitted,"C6, B2, B3, C4, C4"
Social Sciences,Political Science,276,22.86,72.56,True,1,admitted,"C5, B3, A1, C6, B2"
Education,Arts Education,189,23.43,61.86,True,1,admitted,"C4, C5, A1, C5, B3"
Communication and Information Sciences,Telecommunication Science,392,13.52,75.72,True,1,admitted,"C6, C6, C4, C5, A1"
Education,Counsellor Education,368,27.66,89.26,True,2,admitted,"C4, C4, A1, C6, A1"
Management Sciences,Finance,360,14.44,73.84,True,2,admitted,"C6, B2, C4, B3, C4"
Physical Sciences,Computer Science,211,29.93,71.91,True,2,admitted,"C6, B2, C5, B2, A1"
Social Sciences,Economics,155,25.05,58.02,True,2,not admitted,"A1, C6, C6, C4, C4"
Life Sciences,Microbiology,237,20.85,65.67,True,2,admitted,"C4, B3, B2, C4, C4"
Basic Medical Sciences,Physiology,234,22.75,68.0,True,2,admitted,"C5, C4, C4, A1, A1"
Law,Law,245,25.59,67.81,True,1,admitted,"C4, C6, C5, C5, C6"
Social Sciences,Geography,336,19.33,78.93,True,1,admitted,"B2, B2, C4, A1, B2"
Education,Human Kinetics Education,182,26.71,63.86,True,1,admitted,"B3, B3, B3, C5, C5"
Life Sciences,Zoology,150,24.17,58.12,True,1,not admitted,"C6, C5, C4, A1, A1"
Engineering and Technology,Food & Bioprocess Engineering,219,27.1,69.28,True,1,admitted,"C4, A1, B3, C4, C6"
Life Sciences,Microbiology,297,21.79,70.52,True,2,admitted,"C6, C4, C6, C4, C6"
Life Sciences,Zoology,221,8.97,50.99,True,2,admitted,"A1, C5, C6, A1, C6"
Clinical Sciences,Medicine and Surgery,363,27.71,88.69,True,2,admitted,"A1, C4, B3, B3, C5"
Engineering and Technology,Electrical and Electronics Engineering,184,6.16,46.76,True,2,not admitted,"B2, B3, B2, B2, B2"
Life Sciences,Zoology,388,25.04,89.14,True,2,admitted,"B2, C6, A1, B3, C4"
Law,Law,324,23.19,78.09,True,1,admitted,"B3, C5, C6, B2, B3"
Management Sciences,Marketing,144,9.27,40.07,True,2,not admitted,"C4, C6, C4, C6, B3"
Physical Sciences,Geophysics,234,12.29,54.74,True,2,admitted,"B3, B3, C6, C6, C4"
Engineering and Technology,Mechanical Engineering,396,0.23,65.33,True,2,admitted,"C4, B2, C4, A1, C5"
Basic Medical Sciences,Anatomy,349,18.56,77.39,True,2,admitted,"C5, B3, C4, A1, C4"
Veterinary Medicine,Veterinary Medicine,290,26.37,76.62,True,1,admitted,"C5, C5, C4, A1, C5"
Communication and Information Sciences,Computer Science,278,3.66,52.01,True,2,admitted,"C6, C4, C6, B2, B3"
Arts,English,169,24.36,59.08,True,1,not admitted,"C5, B2, C6, C5, B3"
Pharmaceutical Sciences,Pharmacy,307,20.49,74.06,True,1,admitted,"B2, A1, C4, C5, C5"
Agriculture,Agricultural Economics and Farm Management,328,12.81,67.01,True,1,admitted,"C6, C4, C6, B3, B3"
Agriculture,Crop Protection,273,12.79,59.72,True,2,admitted,"C4, C5, B3, C6, C5"
Veterinary Medicine,Veterinary Medicine,284,13.79,63.69,True,2,admitted,"C6, B3, C6, A1, B3"
Agriculture,Animal Production,341,18.1,79.53,True,2,admitted,"A1, A1, B3, A1, B2"
Communication and Information Sciences,Computer Science,375,24.5,84.17,True,2,admitted,"B3, C6, C6, B3, C5"
Law,Law,370,21.62,85.47,True,2,admitted,"A1, B2, B3, B2, B3"
Engineering and Technology,Biomedical Engineering,161,22.97,60.7,True,1,not admitted,"B2, B3, A1, A1, C4"
Management Sciences,Marketing,368,7.86,67.46,True,2,admitted,"C4, C5, C6, C4, B2"
Environmental Sciences,Architecture,400,8.93,73.73,True,1,admitted,"B2, C6, B3, C6, A1"
Social Sciences,Political Science,239,17.51,61.39,True,2,admitted,"B2, C5, C6, B3, C4"
Communication and Information Sciences,Library and Information Science,245,26.69,73.72,True,2,admitted,"C6, B2, B2, B3, A1"
Environmental Sciences,Urban and Regional Planning,152,24.3,55.3,True,1,not admitted,"C5, B2, C6, C6, C6"
Law,Law,184,18.65,56.05,True,2,admitted,"B2, C5, B2, C6, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,326,13.58,67.53,True,1,admitted,"C6, A1, C5, C6, C4"
Pharmaceutical Sciences,Pharmacy,266,5.98,53.63,True,2,admitted,"B3, C4, B2, C6, C4"
Veterinary Medicine,Veterinary Medicine,245,5.7,49.92,True,2,not admitted,"B3, C5, C6, C4, B3"
Engineering and Technology,Chemical Engineering,375,14.06,76.94,True,1,admitted,"C4, B2, C5, B2, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,251,27.68,75.85,True,2,admitted,"A1, B2, C5, B2, B3"
Pharmaceutical Sciences,Pharmacy,239,3.09,48.97,True,2,not admitted,"B2, B3, C6, A1, B3"
Clinical Sciences,Nursing Science,327,11.43,65.5,True,2,admitted,"C5, B2, B3, C6, C6"
Life Sciences,Zoology,206,9.52,50.47,True,1,admitted,"A1, C4, C5, B2, C5"
Law,Law,293,14.97,68.0,True,2,admitted,"B3, B3, A1, C5, B2"
Education,Social Sciences Education,187,8.4,47.77,True,2,not admitted,"C4, C6, A1, B2, B2"
Management Sciences,Accounting,187,13.0,51.98,True,1,admitted,"B2, B3, B2, C5, C4"
Arts,Religions (Christian/Islamic/Comparative),356,7.01,65.11,True,2,admitted,"C4, B3, B3, C5, C6"
Pharmaceutical Sciences,Pharmacy,290,15.74,66.79,True,1,admitted,"C6, B2, B3, B3, C4"
Social Sciences,Political Science,180,19.46,58.36,True,1,admitted,"C6, A1, C4, A1, B2"
Clinical Sciences,Medicine and Surgery,301,6.88,58.91,True,1,admitted,"A1, C5, C6, B3, C4"
Pharmaceutical Sciences,Pharmacy,180,11.23,48.53,True,2,not admitted,"B2, C4, C6, B3, B3"
Agriculture,Forest Resources Management,217,4.33,47.85,True,2,not admitted,"B3, A1, C4, C4, B2"
Pharmaceutical Sciences,Pharmacy,252,25.89,71.79,True,2,admitted,"C4, B2, C4, C4, C5"
Physical Sciences,Industrial Chemistry,366,3.05,64.8,True,1,admitted,"B3, A1, C6, A1, C4"
Management Sciences,Public Administration,159,15.22,50.3,True,1,not admitted,"C6, A1, B3, B2, C5"
Management Sciences,Public Administration,313,7.29,60.41,True,2,admitted,"C6, B3, C6, B3, B2"
Communication and Information Sciences,Information and Communication Science,284,2.15,52.45,True,2,admitted,"C4, C6, C4, B3, A1"
Management Sciences,Accounting,367,7.05,70.12,True,2,admitted,"A1, B2, A1, B3, C5"
Environmental Sciences,Surveying and Geo-informatics,179,26.47,65.25,True,2,not admitted,"A1, B3, A1, C4, C5"
Management Sciences,Accounting,228,28.89,71.79,True,2,admitted,"C6, B2, B2, C6, B3"
Physical Sciences,Mathematics,217,20.91,62.83,True,1,admitted,"B3, B3, C5, B3, C4"
Physical Sciences,Statistics,188,6.93,46.03,True,1,not admitted,"C5, A1, C5, B2, B3"
Agriculture,Agricultural Extension and Rural Development,341,26.88,86.3,True,2,admitted,"C4, B3, A1, A1, C4"
Life Sciences,Zoology,348,2.24,59.74,True,2,admitted,"C5, C5, C4, B2, C4"
Agriculture,Agricultural Economics and Farm Management,316,21.74,76.84,True,2,admitted,"A1, C6, C6, B2, A1"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,386,21.47,84.12,True,1,admitted,"C5, C4, B2, B3, C5"
Clinical Sciences,Medicine and Surgery,278,1.27,50.02,True,1,admitted,"C6, B2, C6, C4, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,220,28.38,71.48,True,1,admitted,"C6, C4, A1, A1, C4"
Physical Sciences,Computer Science,297,8.51,60.83,True,1,admitted,"C6, B2, B2, A1, C6"
Life Sciences,Plant Biology,257,16.3,63.22,True,1,admitted,"A1, C4, C5, C4, C4"
Physical Sciences,Statistics,283,5.78,59.95,True,2,admitted,"A1, A1, B2, B2, B2"
Life Sciences,Biochemistry,312,2.19,57.59,True,2,admitted,"A1, A1, C6, C4, B2"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,236,17.4,62.1,True,2,admitted,"C6, A1, C6, B3, A1"
Education,Social Sciences Education,302,22.87,75.42,True,1,admitted,"B3, C4, C4, A1, C6"
Physical Sciences,Industrial Chemistry,230,9.2,53.95,True,1,admitted,"B3, B2, B3, C4, B3"
Arts,Yoruba,268,25.48,75.78,True,2,admitted,"B3, B3, C5, A1, A1"
Physical Sciences,Industrial Chemistry,362,18.69,81.14,True,2,admitted,"A1, B2, C5, A1, B3"
Basic Medical Sciences,Anatomy,226,15.99,60.24,True,2,admitted,"C5, A1, C6, A1, B2"
Pharmaceutical Sciences,Pharmacy,352,18.86,76.86,True,2,admitted,"C4, C5, C4, C5, B2"
Management Sciences,Marketing,352,21.31,80.11,True,2,admitted,"B3, C6, A1, C5, B3"
Law,Law,289,14.67,65.59,True,1,admitted,"B3, C5, B2, C6, B2"
Clinical Sciences,Nursing Science,236,8.71,54.61,True,2,admitted,"A1, C6, B2, B2, B3"
Pharmaceutical Sciences,Pharmacy,312,26.14,78.74,True,1,admitted,"B3, C5, C4, C6, B3"
Education,Science Education,202,20.0,58.45,True,2,admitted,"C5, B2, C5, C6, C4"
Social Sciences,Social Work,280,12.41,61.41,True,1,admitted,"B2, C5, C6, B2, C5"
Life Sciences,Biochemistry,182,11.66,50.41,True,1,admitted,"C4, B3, B3, C4, A1"
Agriculture,Crop Protection,375,18.31,81.59,True,2,admitted,"B3, B3, B2, C4, B2"
Communication and Information Sciences,Information and Communication Science,150,16.21,51.36,True,1,not admitted,"C5, A1, C4, A1, B3"
Pharmaceutical Sciences,Pharmacy,255,5.54,55.02,True,2,admitted,"B3, B2, B2, B2, B2"
Engineering and Technology,Computer Engineering,153,9.22,43.14,True,1,not admitted,"C5, C5, B3, C4, A1"
Education,Social Sciences Education,296,19.38,70.78,True,1,admitted,"C6, B2, A1, C6, C4"
Basic Medical Sciences,Anatomy,381,24.25,88.28,True,1,admitted,"B3, B3, B2, B3, B3"
Arts,Linguistics and Nigerian Languages,299,15.93,66.5,True,1,admitted,"C5, C5, B3, B3, C6"
Management Sciences,Industrial Relations and Personnel Management,241,10.33,53.66,True,2,admitted,"C4, B3, C6, C4, C5"
Basic Medical Sciences,Biomedical Science,347,12.06,69.84,True,1,admitted,"C5, C5, B2, A1, C6"
Clinical Sciences,Nursing Science,268,0.57,49.27,True,1,not admitted,"A1, B3, C6, C5, B2"
Engineering and Technology,Agricultural and Biosystems Engineering,156,26.07,61.57,True,1,not admitted,"C4, C5, B3, A1, B2"
Life Sciences,Biochemistry,281,7.22,57.14,True,1,admitted,"C4, B2, C4, B3, C5"
Pharmaceutical Sciences,Pharmacy,395,21.77,82.74,True,2,admitted,"C4, C6, C6, C6, C4"
Management Sciences,Marketing,172,17.39,55.29,True,1,not admitted,"A1, C4, B3, A1, C5"
Social Sciences,Geography,174,23.26,58.21,True,1,not admitted,"C5, C5, C6, B2, C4"
Environmental Sciences,Architecture,236,17.76,62.06,True,2,admitted,"C6, C4, B2, A1, C5"
Management Sciences,Finance,239,3.96,45.44,True,1,not admitted,"C5, C6, C6, C5, C4"
Social Sciences,Social Work,318,12.15,65.5,True,2,admitted,"C4, B2, C6, C4, C5"
Law,Law,379,14.73,78.91,True,1,admitted,"B2, C4, A1, C5, A1"
Education,Science Education,157,18.91,52.93,True,2,not admitted,"A1, C5, C5, B2, C6"
Management Sciences,Finance,154,7.34,42.19,True,1,not admitted,"C6, A1, A1, B3, C5"
Basic Medical Sciences,Physiology,339,16.81,75.19,True,2,admitted,"C6, C6, A1, A1, A1"
Social Sciences,Geography,140,21.33,55.63,True,1,not admitted,"B3, C6, B2, A1, A1"
Communication and Information Sciences,Library and Information Science,201,2.23,40.16,True,2,not admitted,"B2, C6, C5, C6, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,226,28.9,71.55,True,1,admitted,"B2, A1, C6, C5, C5"
Social Sciences,Economics,296,13.65,65.85,True,1,admitted,"C4, B2, B3, B2, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,145,14.88,47.41,True,1,not admitted,"B3, B3, C5, C4, C4"
Agriculture,Crop Protection,148,25.06,58.76,True,2,not admitted,"C4, C4, A1, C4, C4"
Physical Sciences,Geophysics,277,8.21,54.03,True,1,admitted,"C6, C5, C6, C4, C6"
Law,Law,387,11.12,72.3,True,1,admitted,"B3, C6, C6, C5, B3"
Agriculture,Forest Resources Management,372,21.51,83.21,True,1,admitted,"C4, C4, C6, B2, A1"
Arts,Linguistics and Nigerian Languages,186,3.11,39.56,True,2,not admitted,"C5, A1, C6, C5, C5"
Management Sciences,Business Administration,371,1.73,62.1,True,1,admitted,"C6, C4, B3, C5, B2"
Environmental Sciences,Estate Management,287,9.95,63.43,True,2,admitted,"B2, C5, A1, A1, B2"
Arts,History and International Studies,290,17.53,69.38,True,2,admitted,"B2, C5, B3, C5, A1"
Communication and Information Sciences,Telecommunication Science,154,26.05,60.5,True,1,not admitted,"B2, C6, B2, C4, B3"
Environmental Sciences,Surveying and Geo-informatics,302,19.29,72.64,True,2,admitted,"C4, A1, A1, C6, C4"
Social Sciences,Sociology,300,2.83,56.73,True,1,admitted,"B2, B2, B2, B3, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,374,12.25,73.4,True,1,admitted,"B3, C5, C5, A1, C5"
Life Sciences,Biochemistry,388,11.54,73.64,True,1,admitted,"C5, B2, C6, B3, C5"
Life Sciences,Zoology,321,18.75,74.08,True,1,admitted,"C4, C6, A1, C4, B2"
Education,Educational Technology,152,9.94,46.14,True,1,not admitted,"C4, A1, C5, A1, A1"
Communication and Information Sciences,Information and Communication Science,233,17.36,62.48,True,1,admitted,"B2, B3, B2, C6, B2"
Veterinary Medicine,Veterinary Medicine,318,12.52,65.47,True,2,admitted,"B2, B3, C6, C6, C5"
Management Sciences,Finance,251,28.76,74.13,True,1,admitted,"C6, B2, C6, C4, B2"
Life Sciences,Biochemistry,220,23.33,65.23,True,2,admitted,"B3, B2, C5, C5, C4"
Physical Sciences,Physics,296,6.06,58.26,True,2,admitted,"A1, C5, C5, B3, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,338,1.04,58.49,True,2,admitted,"C4, B2, C5, C4, B2"
Physical Sciences,Geophysics,278,10.89,60.84,True,2,admitted,"A1, B2, C5, C5, C4"
Communication and Information Sciences,Telecommunication Science,244,13.19,60.49,True,1,admitted,"B2, C4, A1, C5, A1"
Physical Sciences,Geology,289,27.24,75.36,True,1,admitted,"C6, C5, B3, C5, C6"
Clinical Sciences,Medicine and Surgery,348,16.81,75.91,True,2,admitted,"C4, C4, A1, B3, C4"
Veterinary Medicine,Veterinary Medicine,365,6.68,68.7,True,2,admitted,"B2, C4, C4, B2, B2"
Arts,Linguistics and Nigerian Languages,247,1.82,49.5,True,1,not admitted,"A1, B3, B3, C5, A1"
Basic Medical Sciences,Biomedical Science,334,3.69,58.64,True,1,admitted,"C4, C4, C4, C6, C4"
Communication and Information Sciences,Computer Science,261,6.17,52.39,True,2,admitted,"C5, C6, B2, C6, B2"
Engineering and Technology,Electrical and Electronics Engineering,160,13.36,48.16,True,1,not admitted,"A1, C6, C6, B3, B2"
Social Sciences,Sociology,154,29.05,62.3,True,2,not admitted,"C4, A1, B3, C6, C6"
Law,Law,146,25.14,60.19,True,1,not admitted,"B2, B3, A1, C5, B2"
Basic Medical Sciences,Physiology,390,16.34,80.69,True,1,admitted,"A1, C6, B3, C5, A1"
Management Sciences,Accounting,373,21.26,84.69,True,2,admitted,"B3, B3, A1, A1, C5"
Arts,History and International Studies,281,12.73,64.25,True,1,admitted,"B2, B2, C6, B2, B2"
Basic Medical Sciences,Physiology,220,8.91,51.61,True,2,admitted,"B2, C5, C5, C4, A1"
Communication and Information Sciences,Telecommunication Science,294,11.74,63.69,True,1,admitted,"A1, B3, C6, B2, C5"
Communication and Information Sciences,Information and Communication Science,240,14.18,60.58,True,2,admitted,"A1, C4, A1, C5, B3"
Education,Educational Management,390,4.55,69.7,True,1,admitted,"B2, B3, C4, A1, C4"
Pharmaceutical Sciences,Pharmacy,293,26.72,78.14,True,2,admitted,"B2, C4, B3, C5, C4"
Engineering and Technology,Materials & Metallurgical Engineering,237,4.45,49.68,True,2,not admitted,"B2, C4, A1, C5, C4"
Physical Sciences,Geophysics,331,23.46,79.24,True,1,admitted,"C6, C6, A1, C5, A1"
Management Sciences,Marketing,160,18.04,51.64,True,2,not admitted,"C6, C4, B3, C5, B3"
Engineering and Technology,Biomedical Engineering,147,9.54,44.31,True,2,not admitted,"A1, A1, C6, A1, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,166,17.05,52.2,True,1,not admitted,"B3, C4, C5, B2, C5"
Basic Medical Sciences,Physiology,223,26.6,68.88,True,2,admitted,"C4, C6, B2, A1, C6"
Physical Sciences,Mathematics,302,7.08,58.83,True,2,admitted,"A1, C6, B2, C6, C5"
Veterinary Medicine,Veterinary Medicine,199,10.23,50.71,True,2,admitted,"A1, C5, C5, B3, B2"
Education,Educational Technology,251,2.67,47.24,True,2,not admitted,"C6, C5, C5, C5, A1"
Environmental Sciences,Urban and Regional Planning,248,7.48,54.88,True,1,admitted,"C4, C4, B3, B2, A1"
Social Sciences,Political Science,349,19.91,78.33,True,2,admitted,"C4, C4, C4, B2, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,214,19.89,60.64,True,1,admitted,"C4, B3, B3, C4, C6"
Veterinary Medicine,Veterinary Medicine,371,11.96,73.53,True,2,admitted,"C4, C4, B2, C6, A1"
Communication and Information Sciences,Information and Communication Science,228,1.95,41.25,True,1,not admitted,"C6, C5, C6, C6, C5"
Law,Law,275,0.45,50.83,True,2,admitted,"B3, B3, C4, B2, B3"
Education,Educational Management,317,6.42,60.45,True,2,admitted,"C6, A1, C5, C4, B3"
Arts,Yoruba,348,22.37,83.07,True,1,admitted,"A1, B3, B2, A1, C5"
Agriculture,Home Economics and Food Science,140,18.78,49.08,True,1,not admitted,"C6, B3, C5, B3, C6"
Social Sciences,Social Work,294,29.48,80.63,True,1,admitted,"B2, A1, C5, C6, C5"
Social Sciences,Political Science,314,25.21,77.66,True,2,admitted,"C6, C4, B2, C6, C4"
Engineering and Technology,Food & Bioprocess Engineering,360,29.95,88.95,True,1,admitted,"C5, B2, C6, C4, B3"
Education,Science Education,171,16.96,54.34,True,1,not admitted,"C5, B2, A1, C5, B2"
Life Sciences,Zoology,169,15.0,51.73,True,2,not admitted,"C4, B2, B3, C4, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,203,26.71,63.68,True,2,admitted,"C6, C6, C6, C5, B3"
Communication and Information Sciences,Information and Communication Science,252,21.85,66.15,True,2,admitted,"C4, C5, C5, C4, C5"
Education,Social Sciences Education,367,9.28,71.16,True,1,admitted,"C5, A1, C4, B3, B2"
Engineering and Technology,Water Resources & Environmental Engineering,247,17.19,64.87,True,1,admitted,"C6, B2, A1, B3, A1"
Veterinary Medicine,Veterinary Medicine,363,28.71,86.09,True,1,admitted,"C6, C5, C5, C4, C5"
Physical Sciences,Physics,260,11.43,60.73,True,1,admitted,"A1, C5, A1, B2, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,337,17.61,72.94,True,2,admitted,"C6, C6, A1, B3, C6"
Physical Sciences,Physics,175,7.32,44.0,True,2,not admitted,"B2, A1, C6, B3, C6"
Pharmaceutical Sciences,Pharmacy,204,12.67,54.17,True,2,admitted,"A1, B2, C4, C5, B3"
Communication and Information Sciences,Telecommunication Science,286,12.29,63.24,True,1,admitted,"C5, B3, C5, B2, B2"
Arts,Religions (Christian/Islamic/Comparative),364,25.91,87.41,True,1,admitted,"B3, C4, B2, B3, B3"
Clinical Sciences,Nursing Science,228,2.07,50.17,True,1,admitted,"A1, A1, A1, B2, A1"
Life Sciences,Biochemistry,351,14.25,73.72,True,2,admitted,"A1, C5, B3, C5, B2"
Management Sciences,Marketing,281,15.53,65.86,True,2,admitted,"C6, C5, B2, A1, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,230,6.77,52.32,True,1,admitted,"C4, C4, B3, A1, A1"
Education,Educational Technology,286,9.76,59.91,True,1,admitted,"C4, B3, C6, A1, C5"
Management Sciences,Public Administration,169,26.46,60.78,True,2,not admitted,"C4, C4, B2, C6, C6"
Basic Medical Sciences,Anatomy,381,27.07,92.69,True,2,admitted,"A1, B2, A1, C5, A1"
Agriculture,Forest Resources Management,200,0.31,40.11,True,1,not admitted,"C4, A1, C6, C5, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,190,27.2,64.55,True,1,admitted,"A1, C6, C4, C6, C4"
Law,Law,283,5.3,53.88,True,2,admitted,"C5, C5, C5, C4, B3"
Social Sciences,Political Science,151,15.13,48.81,True,2,not admitted,"A1, C5, C6, C5, A1"
Engineering and Technology,Civil Engineering,214,16.08,60.03,True,2,admitted,"A1, C6, B2, A1, B2"
Pharmaceutical Sciences,Pharmacy,399,25.9,92.58,True,1,admitted,"C4, C4, A1, B3, A1"
Engineering and Technology,Agricultural and Biosystems Engineering,285,21.21,72.03,True,1,admitted,"C5, C6, B2, B2, B2"
Social Sciences,Geography,329,18.04,72.36,True,2,admitted,"B3, C4, C6, C5, C4"
Engineering and Technology,Civil Engineering,327,24.43,79.31,True,2,admitted,"C6, B2, C6, C4, B2"
Environmental Sciences,Quantity Surveying,253,3.46,52.28,True,1,admitted,"A1, C5, A1, C4, A1"
Engineering and Technology,Water Resources & Environmental Engineering,325,7.56,64.59,True,2,admitted,"B3, B3, C4, A1, B3"
Basic Medical Sciences,Biomedical Science,232,4.67,44.87,True,1,not admitted,"C5, C5, C5, C6, C6"
Basic Medical Sciences,Anatomy,398,19.41,83.96,True,2,admitted,"C4, B2, C5, A1, C6"
Life Sciences,Zoology,352,3.77,64.17,True,1,admitted,"A1, C6, C4, B2, A1"
Management Sciences,Finance,241,18.8,61.72,True,2,admitted,"C6, B3, B3, C6, C5"
Environmental Sciences,Architecture,170,26.43,60.48,True,2,not admitted,"B3, C4, C6, C4, C6"
Life Sciences,Zoology,161,28.93,65.06,True,1,not admitted,"B3, C4, B2, C5, A1"
Basic Medical Sciences,Physiology,312,7.59,60.99,True,2,admitted,"B2, C5, A1, C6, C5"
Law,Law,190,1.62,39.37,True,1,not admitted,"B3, B2, C6, B3, C6"
Law,Law,257,7.33,53.05,True,1,admitted,"C5, C5, B2, C4, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,215,21.8,64.67,True,1,admitted,"C6, A1, B3, B2, B3"
Clinical Sciences,Nursing Science,371,20.03,80.41,True,2,admitted,"A1, C5, C5, B3, C6"
Life Sciences,Plant Biology,206,2.07,42.22,True,1,not admitted,"B3, B3, C6, C5, B2"
Engineering and Technology,Agricultural and Biosystems Engineering,177,24.77,59.29,True,1,not admitted,"C5, B2, C6, C6, C5"
Law,Law,233,1.52,43.45,True,1,not admitted,"C4, C5, B2, C6, C6"
Engineering and Technology,Biomedical Engineering,176,5.63,44.03,True,2,not admitted,"C4, A1, B2, C4, B3"
Pharmaceutical Sciences,Pharmacy,145,0.64,33.97,True,2,not admitted,"C5, C5, A1, C4, B2"
Physical Sciences,Industrial Chemistry,171,6.15,42.72,True,2,not admitted,"B2, B3, C4, B3, C5"
Clinical Sciences,Medicine and Surgery,380,20.15,81.25,True,2,admitted,"C5, C4, C5, C4, B3"
Agriculture,Crop Protection,236,23.04,67.74,True,2,admitted,"C5, C5, B2, C4, A1"
Physical Sciences,Statistics,391,12.19,77.06,True,2,admitted,"B2, C6, B2, A1, C4"
Agriculture,Forest Resources Management,173,21.22,57.64,True,2,not admitted,"A1, C4, C6, B3, C4"
Engineering and Technology,Materials & Metallurgical Engineering,386,23.93,86.18,True,2,admitted,"B2, C5, C4, C5, C4"
Agriculture,Animal Production,333,29.0,85.42,True,2,admitted,"C5, C4, B3, A1, C5"
Arts,History and International Studies,312,28.11,84.31,True,1,admitted,"A1, A1, C6, B3, A1"
Environmental Sciences,Architecture,265,29.97,78.69,True,2,admitted,"C4, C5, C4, A1, B2"
Veterinary Medicine,Veterinary Medicine,212,3.57,44.47,True,1,not admitted,"C5, B2, C6, B3, B3"
Agriculture,Crop Protection,384,0.16,63.36,True,1,admitted,"C5, A1, C6, C4, A1"
Law,Law,239,20.72,65.39,True,2,admitted,"C6, C4, B3, B3, B2"
Social Sciences,Sociology,185,18.24,56.56,True,2,admitted,"B3, C4, C6, B2, B2"
Engineering and Technology,Computer Engineering,371,9.02,70.59,True,2,admitted,"C5, C4, C4, B3, A1"
Veterinary Medicine,Veterinary Medicine,363,25.16,84.13,True,1,admitted,"C4, C6, C6, C4, A1"
Veterinary Medicine,Veterinary Medicine,327,3.81,60.29,True,1,admitted,"C5, C4, C5, A1, A1"
