<<<<<<< HEAD
faculty,department,utme_score,screening_score,olevel_passed,admitted,olevel_grades
Scool of Library Archival and Information Science,Library and information Science,348,80.5,False,not admitted,"C5, C4, A1, C4, C4"
Scool of Transport,Transport Management and Operations,302,78.75,False,not admitted,"A1, B3, B3, C6, A1"
Social Sciences,Political Science,391,89.88,True,admitted,"A1, A1, B2, C5, C5"
Arts,Islamic Studies,211,63.38,True,admitted,"C6, C5, B2, B2, B3"
Arts,Music,270,79.75,False,not admitted,"C5, A1, A1, A1, A1"
Arts,Christian Religious Studies,182,62.75,True,not admitted,"C4, C4, B3, A1, B3"
Scool of Library Archival and Information Science,Library and information Science,153,53.12,True,not admitted,"C5, B2, B3, C5, C6"
Communication and Media Studies,Mass Communication,121,51.12,True,not admitted,"C5, C6, B3, C4, A1"
College of MEdicine,Physiotherapy,303,68.88,True,admitted,"C6, C6, C5, C4, B3"
Arts,Philosophy,285,74.62,True,admitted,"C4, B2, C5, B3, B2"
Arts,Theatre Arts,311,75.88,False,not admitted,"B3, C4, C4, B2, C5"
Communication and Media Studies,Mass Communication,246,64.75,True,admitted,"C5, C4, C6, B3, B3"
Engineering,Mechanical Engineering,166,56.75,True,not admitted,"C5, A1, C6, C6, A1"
Education,Mathematics Education,124,58.5,False,not admitted,"A1, A1, B3, B3, C4"
Agriculture,Crop Production,313,73.12,True,admitted,"C6, C5, C5, A1, C4"
Engineering,Civil Engineering,212,63.5,True,admitted,"C5, B3, C6, B2, B2"
Science,Zoology,354,81.25,False,not admitted,"A1, C4, C5, C6, B2"
College of MEdicine,Physiology,271,71.88,True,admitted,"B3, B3, A1, C4, C6"
Environmental Science,Estate Management,381,82.62,True,admitted,"C6, B2, C5, C4, B3"
Social Sciences,Psychology,126,56.75,False,not admitted,"C5, B3, A1, B2, B3"
Communication and Media Studies,Mass Communication,305,69.12,True,admitted,"C5, C4, C4, C5, C6"
Management Sciences,Industrial Relations and Human Resouce Management,274,69.25,True,admitted,"C5, C4, C5, C4, B2"
Social Sciences,Psychology,249,67.12,True,admitted,"B3, C6, B3, B3, C4"
Education,Geography Education,139,55.38,True,not admitted,"C4, C4, C6, A1, B2"
Law,Common/Civil Law,186,55.25,True,not admitted,"C5, C4, C6, C6, B2"
Management Sciences,Industrial Relations and Human Resouce Management,174,62.75,True,not admitted,"A1, B3, C5, B3, B2"
Science,Science Laboratory Technology,270,70.75,True,admitted,"C5, A1, B2, C5, C5"
Engineering,Civil Engineering,230,68.75,True,admitted,"A1, C4, C4, C4, B2"
Communication and Media Studies,Mass Communication,193,59.12,True,not admitted,"A1, C6, B2, C6, C5"
Arts,Arabic,262,75.75,True,admitted,"C4, C4, A1, B2, A1"
Scool of Library Archival and Information Science,Library and information Science,394,88.25,False,not admitted,"B2, C6, B3, C4, A1"
Arts,French,193,60.12,False,not admitted,"B3, C5, C6, B2, B3"
Arts,French,330,80.25,False,not admitted,"A1, B2, C6, C4, B3"
Arts,Linguistics,246,67.75,False,not admitted,"C5, B2, C6, A1, C4"
Scool of Library Archival and Information Science,Library and information Science,275,65.38,False,not admitted,"C6, B2, C6, C4, C6"
Communication and Media Studies,Mass Communication,373,78.62,False,not admitted,"C5, B3, C5, C5, C5"
Management Sciences,Public Administration,177,52.12,True,not admitted,"C4, C6, C4, C6, C5"
Law,Common/Islamic Law,207,59.88,True,admitted,"B3, C6, C5, A1, C6"
Scool of Library Archival and Information Science,Library and information Science,358,80.75,True,admitted,"A1, C6, C5, B3, C4"
Law,Common/Islamic Law,309,73.62,True,admitted,"C4, C4, C4, B3, C5"
Education,History Education,202,64.25,True,admitted,"B2, C6, B2, C5, A1"
Education,Physics Education,247,69.88,True,admitted,"A1, C5, B3, C6, A1"
Science,Fisheries and Aquatic Biology,357,77.62,True,admitted,"C4, C6, B3, C4, C5"
Education,Special Education,257,66.12,True,admitted,"A1, C4, C6, C6, C4"
Social Sciences,Political Science,122,55.25,True,not admitted,"B3, A1, C4, C6, A1"
College of MEdicine,Physiology,216,64.0,True,admitted,"B3, C4, A1, C5, C5"
Management Sciences,Insurance,172,58.5,False,not admitted,"B3, B3, C5, C4, B3"
Management Sciences,Public Administration,241,67.12,True,admitted,"B2, B2, B3, C5, C6"
College of MEdicine,Medical Laboratory Science,269,69.62,True,admitted,"B3, C6, A1, C6, B3"
Scool of Transport,Logistics and Supply Chain Management,253,70.62,False,not admitted,"C4, B2, B3, C4, B3"
Communication and Media Studies,Mass Communication,148,59.5,False,not admitted,"B3, C5, A1, B2, B3"
Scool of Transport,Transport Management and Operations,271,68.88,False,not admitted,"C5, B2, C6, B2, C5"
Communication and Media Studies,Mass Communication,187,57.38,True,not admitted,"C5, B3, B3, C4, C6"
Agriculture,Agricultural Economics,235,67.38,False,not admitted,"C6, C5, A1, A1, C4"
Agriculture,Crop Production,268,73.5,True,admitted,"A1, C5, C5, B3, A1"
Education,Special Education,365,85.62,False,not admitted,"C6, B2, A1, B2, C4"
College of MEdicine,Physiology,323,81.38,True,admitted,"C4, B2, C4, A1, B3"
Management Sciences,Local Government Development and Administration,221,64.62,False,not admitted,"B3, B3, B2, C4, C6"
Law,Common/Civil Law,225,64.12,False,not admitted,"C4, A1, C5, C4, C5"
Agriculture,Crop Production,292,77.5,True,admitted,"C4, B3, A1, A1, C5"
Scool of Library Archival and Information Science,Library and information Science,345,82.12,False,not admitted,"B3, C5, A1, C5, B2"
Scool of Transport,Transport Management and Operations,217,66.12,False,not admitted,"C5, B3, A1, A1, C6"
Environmental Science,Industrial Design,361,81.12,True,admitted,"C6, B3, B3, B3, C4"
Arts,Christian Religious Studies,299,78.38,False,not admitted,"A1, A1, C6, B2, C4"
Education,Chemistry Education,184,60.0,True,not admitted,"A1, C6, C5, B3, B3"
Social Sciences,Economics,247,65.88,True,admitted,"C4, B3, C4, B3, C6"
Law,Common/Civil Law,358,76.75,False,not admitted,"B3, C4, C4, C6, C6"
Engineering,Mechanical Engineering,390,80.75,False,not admitted,"C6, C6, B2, B3, C6"
Social Sciences,Economics,161,61.12,True,not admitted,"A1, A1, C6, C4, B2"
Scool of Transport,Logistics and Supply Chain Management,125,55.62,True,not admitted,"C6, C4, A1, B3, A1"
Communication and Media Studies,Mass Communication,396,85.5,False,not admitted,"B2, C5, B3, C5, C4"
Science,Zoology,370,84.25,True,admitted,"C6, B2, B2, C6, A1"
Social Sciences,Psychology,178,61.25,True,not admitted,"B3, C4, A1, B2, C6"
Science,Science Laboratory Technology,316,76.5,True,admitted,"C6, B2, B3, C4, B3"
Management Sciences,Banking and Finance,239,68.88,True,admitted,"B2, C5, B2, B3, C4"
Agriculture,Agricultural Extension & Rural Development,182,59.75,False,not admitted,"B2, C4, B2, C4, C6"
Communication and Media Studies,Mass Communication,154,51.25,True,not admitted,"C6, C5, C4, C6, B2"
Engineering,Aeronautical and Astronautical Engineering,240,79.0,True,admitted,"B2, A1, A1, A1, A1"
Communication and Media Studies,Mass Communication,222,67.75,True,admitted,"A1, C6, B2, C5, A1"
Law,Common/Civil Law,348,79.5,False,not admitted,"B3, C5, B3, C6, B2"
Scool of Library Archival and Information Science,Library and information Science,188,56.5,True,not admitted,"B2, C5, C4, C6, C5"
Environmental Science,Quantity Surveying,160,53.0,True,not admitted,"A1, C6, C5, C6, C4"
Social Sciences,Economics,170,58.25,True,not admitted,"C5, B3, C5, C4, A1"
Management Sciences,Industrial Relations and Human Resouce Management,173,60.62,True,not admitted,"C4, C6, B2, A1, B3"
Social Sciences,Economics,338,81.25,True,admitted,"C6, A1, C5, B3, A1"
Science,Microbiology,303,75.88,True,admitted,"C4, C6, A1, B2, C4"
Education,Educational Management,152,63.0,False,not admitted,"B2, B3, A1, A1, C4"
Scool of Library Archival and Information Science,Library and information Science,171,61.38,True,not admitted,"C4, B3, A1, B2, C5"
Social Sciences,Economics,218,66.25,False,not admitted,"C5, A1, C4, B3, B3"
Management Sciences,Banking and Finance,306,77.25,True,admitted,"A1, C4, B3, C6, B2"
Arts,French,274,76.25,True,admitted,"B2, C4, B2, B3, B2"
Agriculture,Crop Production,400,87.0,True,admitted,"B3, B2, C6, B2, C5"
Science,Zoology,335,78.88,True,admitted,"B2, B3, C6, C4, B3"
Arts,Yoruba,251,75.38,True,admitted,"A1, C4, B3, B2, A1"
Education,Early Childhood Education,325,76.62,True,admitted,"B3, B3, C4, C4, C5"
Agriculture,Crop Production,393,91.12,False,not admitted,"A1, C5, A1, C5, A1"
Engineering,Industrial Enginerring,250,72.25,True,admitted,"B3, C4, C4, A1, B2"
Communication and Media Studies,Mass Communication,137,56.12,True,not admitted,"B3, A1, C5, C4, B3"
Science,Physics,365,86.62,True,admitted,"A1, C4, B3, C4, B2"
Social Sciences,Economics,346,75.25,True,admitted,"C6, C6, B2, B3, C6"
Scool of Library Archival and Information Science,Library and information Science,269,68.62,True,admitted,"C4, C6, C5, B3, B2"
Engineering,Industrial Enginerring,229,62.62,True,admitted,"C4, C4, A1, C6, C6"
Law,Common/Islamic Law,345,81.12,True,admitted,"B3, C4, B2, C4, C4"
Agriculture,Crop Production,192,60.0,False,not admitted,"A1, B3, C5, C5, C5"
Scool of Transport,Logistics and Supply Chain Management,303,84.88,True,admitted,"A1, B2, B2, A1, B2"
Management Sciences,Insurance,123,54.38,True,not admitted,"B3, B3, C5, B2, B3"
Science,Fisheries and Aquatic Biology,345,82.12,False,not admitted,"C4, A1, C5, C4, B2"
Arts,Linguistics,272,75.0,False,not admitted,"B3, C6, B2, B2, A1"
Scool of Library Archival and Information Science,Library and information Science,165,54.62,True,not admitted,"C4, C5, C5, B2, C5"
Scool of Transport,Transport Management and Operations,144,57.0,True,not admitted,"C4, B3, A1, B3, C5"
Education,Chemistry Education,285,73.62,True,admitted,"B2, C4, C5, C5, A1"
Scool of Library Archival and Information Science,Library and information Science,376,80.0,True,admitted,"B3, C5, C6, C4, C4"
Scool of Library Archival and Information Science,Library and information Science,225,69.12,True,admitted,"C5, B3, B2, B3, A1"
Engineering,Chemical Engineering,356,81.5,True,admitted,"C5, B2, A1, C5, C5"
Social Sciences,Political Science,130,48.25,True,not admitted,"C6, B3, C4, C6, C4"
Social Sciences,Geography and Planning,243,70.38,True,admitted,"B3, B2, B3, C4, B3"
College of MEdicine,Radiography & Radiation Science,352,85.0,False,not admitted,"B2, A1, B3, C5, B3"
Arts,Philosophy,248,72.0,False,not admitted,"C4, B2, C4, A1, B3"
Management Sciences,Local Government Development and Administration,357,79.62,False,not admitted,"C6, C5, C4, A1, C4"
Arts,English Language,314,81.25,False,not admitted,"A1, C5, B2, A1, C4"
Education,Physics Education,185,69.12,False,not admitted,"B2, A1, A1, A1, C4"
Management Sciences,Accounting,200,65.0,False,not admitted,"B2, A1, B2, C5, C5"
Communication and Media Studies,Mass Communication,324,76.5,True,admitted,"C5, C4, C4, B3, B3"
Law,Common/Civil Law,214,59.75,False,not admitted,"B3, C5, C4, C5, C5"
Social Sciences,Geography and Planning,177,63.12,False,not admitted,"A1, A1, B3, C6, B3"
Scool of Transport,Transport Management and Operations,246,67.75,False,not admitted,"B2, C5, B3, C4, C4"
Agriculture,Agricultural Economics,291,77.38,False,not admitted,"B3, A1, A1, C6, B3"
Science,Botany,279,73.88,True,admitted,"B2, B2, C4, C6, B2"
Management Sciences,Insurance,279,69.88,True,admitted,"C5, C5, C5, C4, A1"
Management Sciences,Taxation,386,86.25,True,admitted,"C6, A1, C6, A1, B3"
Engineering,Industrial Enginerring,387,86.38,True,admitted,"A1, B2, C6, B3, C5"
Scool of Library Archival and Information Science,Library and information Science,176,59.0,True,not admitted,"C6, B3, B3, B2, C4"
Science,Science Laboratory Technology,284,75.5,False,not admitted,"B2, C6, A1, C4, B2"
Arts,Theatre Arts,324,82.5,False,not admitted,"A1, C6, B2, B2, B2"
Education,Christian Religious Studies Education,212,67.5,False,not admitted,"B2, C6, A1, A1, C4"
Education,Arabic Education,315,78.38,True,admitted,"B2, B3, C6, A1, C4"
Engineering,Industrial Enginerring,340,83.5,False,not admitted,"A1, A1, B2, C6, C4"
Communication and Media Studies,Mass Communication,243,59.38,True,admitted,"C6, B3, C6, C6, C5"
Law,Common/Civil Law,147,53.38,False,not admitted,"C5, A1, C6, C5, B3"
Agriculture,Crop Production,180,59.5,True,not admitted,"C4, B3, C4, B3, C4"
Scool of Library Archival and Information Science,Library and information Science,153,56.12,False,not admitted,"C6, C4, C6, A1, A1"
Scool of Library Archival and Information Science,Library and information Science,135,48.88,True,not admitted,"C4, C6, C4, C4, C5"
Law,Common/Islamic Law,342,85.75,True,admitted,"B3, B2, C4, A1, B2"
Scool of Transport,Logistics and Supply Chain Management,325,76.62,True,admitted,"C4, C4, B3, B2, C6"
Scool of Transport,Transport Management and Operations,305,75.12,False,not admitted,"C5, B2, A1, C4, C6"
Scool of Library Archival and Information Science,Library and information Science,390,86.75,False,not admitted,"C5, B3, B2, C6, A1"
Arts,History and International studies,169,58.12,True,not admitted,"C5, B2, C6, C4, A1"
Management Sciences,Marketing,185,56.12,False,not admitted,"C5, C4, C5, C5, B3"
Arts,Yoruba,140,52.5,True,not admitted,"B3, C4, B3, C4, C6"
Social Sciences,Psychology,287,77.88,True,admitted,"B2, B3, B2, A1, C5"
Scool of Transport,Transport Management and Operations,212,66.5,True,admitted,"B2, A1, C6, C4, B2"
Arts,Linguistics,198,69.75,False,not admitted,"A1, A1, C5, B2, A1"
Scool of Transport,Logistics and Supply Chain Management,323,76.38,False,not admitted,"C6, C6, B2, B3, B2"
Social Sciences,Sociology,250,73.25,False,not admitted,"B2, A1, C6, A1, B3"
Agriculture,Animal Science,173,56.62,True,not admitted,"C4, C6, B2, C6, B2"
Education,Physics Education,300,77.5,True,admitted,"A1, C6, B3, B2, B3"
Law,Common/Islamic Law,168,61.0,False,not admitted,"B3, C6, B2, A1, B3"
Education,Geography Education,205,56.62,True,admitted,"C4, C6, C5, C4, C5"
Education,Computer Science Education,185,58.12,False,not admitted,"B2, C6, A1, C5, C6"
Science,Computer Science,148,49.5,False,not admitted,"C6, C4, C5, C6, B3"
Law,Common/Civil Law,120,49.0,True,not admitted,"C6, B2, B3, C4, C6"
Environmental Science,Estate Management,391,91.88,False,not admitted,"B3, A1, B2, B3, B3"
Science,Science Laboratory Technology,290,75.25,True,admitted,"C4, B3, B3, A1, C5"
Science,Science Laboratory Technology,259,69.38,False,not admitted,"B3, C6, C5, A1, B3"
Management Sciences,Banking and Finance,239,67.88,False,not admitted,"B3, C4, C6, A1, B3"
Social Sciences,Geography and Planning,165,54.62,True,not admitted,"C5, C5, C6, C4, A1"
Engineering,Industrial Enginerring,131,54.38,False,not admitted,"A1, A1, C5, C5, C5"
Agriculture,Animal Science,286,70.75,True,admitted,"A1, C6, C6, C5, B2"
College of MEdicine,Pharmacology,255,72.88,False,not admitted,"B3, A1, B3, B3, C4"
Communication and Media Studies,Mass Communication,175,63.88,True,not admitted,"A1, B3, B3, A1, C5"
Law,Common/Civil Law,329,78.12,True,admitted,"B3, C4, B2, C5, C4"
Law,Common/Islamic Law,393,91.12,True,admitted,"A1, A1, B3, C4, C4"
Social Sciences,Economics,262,62.75,False,not admitted,"C6, C5, C4, C5, C5"
Engineering,Electronic and Computer Engineering,355,80.38,False,not admitted,"C6, B2, B3, B3, C5"
Science,Mathematics,275,72.38,True,admitted,"C6, C4, B2, C4, A1"
Agriculture,Crop Production,295,79.88,True,admitted,"B3, A1, B3, B3, B2"
Environmental Science,Industrial Design,247,65.88,True,admitted,"B3, C5, C6, B3, B3"
College of MEdicine,Pharmacology,241,69.12,True,admitted,"B2, A1, C6, C5, B2"
Environmental Science,Industrial Design,172,65.5,False,not admitted,"A1, C4, B2, A1, B3"
College of MEdicine,Physiology,400,85.0,False,not admitted,"C4, C5, C4, C6, A1"
Science,Microbiology,356,85.5,True,admitted,"B2, C4, B3, B2, B3"
Engineering,Mechanical Engineering,268,69.5,True,admitted,"B3, C4, C4, B2, C6"
Management Sciences,Project Management,382,82.75,True,admitted,"A1, C5, C6, B3, C5"
College of MEdicine,Medicine & Surgery,275,70.38,False,not admitted,"C4, B3, C4, C5, B3"
Management Sciences,Local Government Development and Administration,221,67.62,True,admitted,"A1, C5, A1, B3, C5"
Scool of Transport,Transport Management and Operations,177,57.12,True,not admitted,"B3, C6, C5, B3, B3"
Scool of Transport,Transport Management and Operations,378,87.25,False,not admitted,"B2, A1, B3, C6, B3"
Scool of Library Archival and Information Science,Library and information Science,159,50.88,False,not admitted,"C6, C4, C5, C4, C5"
Scool of Transport,Logistics and Supply Chain Management,123,57.38,True,not admitted,"C5, B2, A1, A1, C4"
College of MEdicine,Medical Laboratory Science,130,53.25,True,not admitted,"C5, C4, C5, B3, A1"
College of MEdicine,Pharmacy,394,82.25,False,not admitted,"C4, C5, B3, C5, C5"
Communication and Media Studies,Mass Communication,224,64.0,False,not admitted,"B3, A1, C6, C5, C4"
Management Sciences,Banking and Finance,221,66.62,True,admitted,"C6, B3, A1, C5, A1"
Scool of Transport,Transport Management and Operations,173,63.62,True,not admitted,"C5, C4, B2, A1, A1"
College of MEdicine,Pharmacology,134,63.75,True,not admitted,"A1, A1, C4, A1, A1"
Science,Chemistry,174,61.75,False,not admitted,"C5, A1, C6, B2, A1"
College of MEdicine,Pharmacy,169,61.12,False,not admitted,"A1, C4, B2, C5, B3"
Environmental Science,Urban and Regional Planning,347,77.38,True,admitted,"C5, B2, C6, C5, B3"
Scool of Library Archival and Information Science,Library and information Science,140,53.5,True,not admitted,"A1, C6, C5, C5, B2"
Education,French Education,349,73.62,True,admitted,"C6, C4, C6, C4, C5"
Scool of Library Archival and Information Science,Library and information Science,175,52.88,True,not admitted,"B3, C6, C5, C6, C4"
Law,Common/Civil Law,203,66.38,False,not admitted,"B2, C6, A1, B2, B3"
Social Sciences,Sociology,309,75.62,True,admitted,"C6, B3, C4, C4, A1"
College of MEdicine,Medical Laboratory Science,198,54.75,True,admitted,"C4, C4, C6, C6, C5"
Engineering,Mechanical Engineering,386,90.25,False,not admitted,"A1, C6, B2, A1, B3"
Science,Physics,400,89.0,False,not admitted,"B3, B2, C5, C5, A1"
Scool of Transport,Transport Management and Operations,262,68.75,False,not admitted,"C5, C4, C6, B2, B2"
Social Sciences,Economics,125,48.62,False,not admitted,"B3, C6, A1, C6, C6"
Scool of Library Archival and Information Science,Library and information Science,171,52.38,False,not admitted,"C5, C4, C6, C4, C5"
Engineering,Electronic and Computer Engineering,310,77.75,True,admitted,"B2, C5, B2, C4, B3"
Engineering,Mechanical Engineering,238,65.75,True,admitted,"C6, B2, C5, A1, C5"
Scool of Transport,Transport Management and Operations,185,56.12,True,not admitted,"A1, C6, C5, C4, C6"
College of MEdicine,Radiography & Radiation Science,138,53.25,True,not admitted,"B2, C5, C4, B3, C5"
Environmental Science,Building,374,81.75,True,admitted,"B3, C4, C4, B3, C6"
Law,Common/Islamic Law,254,65.75,False,not admitted,"C5, C6, C4, A1, C5"
College of MEdicine,Physiology,320,74.0,True,admitted,"C4, C5, B2, C6, C4"
Scool of Library Archival and Information Science,Library and information Science,144,55.0,False,not admitted,"B3, B2, B3, C6, C4"
Engineering,Chemical Engineering,136,60.0,True,not admitted,"C4, A1, C4, A1, B2"
Law,Common/Islamic Law,127,51.88,False,not admitted,"C6, C5, C6, A1, A1"
Social Sciences,Geography and Planning,248,72.0,True,admitted,"B3, B2, C5, A1, B3"
Engineering,Industrial Enginerring,209,61.12,True,admitted,"B2, B3, C5, C4, C6"
Arts,English Language,219,62.38,False,not admitted,"B2, C6, B3, C4, C5"
College of MEdicine,Pharmacology,210,61.25,False,not admitted,"C4, B3, C4, B3, C6"
Social Sciences,Geography and Planning,355,79.38,True,admitted,"A1, B3, C4, C6, C6"
Environmental Science,Architecture,179,58.38,False,not admitted,"C5, C4, C5, A1, C4"
Scool of Library Archival and Information Science,Library and information Science,123,49.38,True,not admitted,"A1, C5, B3, C6, C6"
Scool of Library Archival and Information Science,Library and information Science,122,49.25,True,not admitted,"C5, A1, C6, C4, C5"
Law,Common/Islamic Law,373,84.62,True,admitted,"C4, B3, B2, B3, C5"
Social Sciences,Sociology,282,72.25,True,admitted,"B3, C6, C4, A1, C4"
Environmental Science,Urban and Regional Planning,158,58.75,True,not admitted,"B2, B2, C6, C4, B2"
Engineering,Aeronautical and Astronautical Engineering,170,56.25,True,not admitted,"B2, B2, C6, C6, C4"
Social Sciences,Economics,273,70.12,False,not admitted,"B2, C5, C4, C4, C4"
Arts,Philosophy,214,61.75,False,not admitted,"C6, B2, C5, C4, B3"
Scool of Transport,Logistics and Supply Chain Management,138,58.25,True,not admitted,"C4, A1, B2, B3, C4"
Science,Microbiology,307,74.38,False,not admitted,"C4, C6, B3, C5, A1"
Engineering,Industrial Enginerring,237,64.62,False,not admitted,"B3, B2, C6, B3, C6"
Communication and Media Studies,Mass Communication,179,56.38,True,not admitted,"C6, C5, C4, A1, C5"
College of MEdicine,Radiography & Radiation Science,340,75.5,False,not admitted,"C6, C6, C4, C4, B2"
Management Sciences,Insurance,137,56.12,True,not admitted,"B2, C4, A1, C4, C5"
Scool of Transport,Transport Management and Operations,253,68.62,False,not admitted,"B3, B3, C4, C5, B3"
Science,Zoology,306,79.25,True,admitted,"B3, C4, A1, B3, B3"
Agriculture,Animal Science,220,73.5,True,admitted,"A1, A1, C5, A1, A1"
Environmental Science,Survey and Geo-Informatics,381,83.62,False,not admitted,"C6, C4, A1, C5, B3"
Agriculture,Agricultural Economics,231,65.88,True,admitted,"C4, C4, C6, B2, B2"
Agriculture,Agricultural Extension & Rural Development,388,91.5,True,admitted,"B3, A1, C4, B2, B2"
Social Sciences,Economics,393,89.12,True,admitted,"B3, B3, B3, B3, B3"
Environmental Science,Environmental Management,213,59.62,True,admitted,"C6, C5, C6, C4, A1"
Law,Common/Islamic Law,121,50.12,False,not admitted,"B2, C4, C6, B2, C6"
Law,Common/Islamic Law,235,64.38,False,not admitted,"C6, C5, B3, C5, A1"
Environmental Science,Estate Management,351,83.88,True,admitted,"B2, C4, B3, A1, C5"
Arts,History and International studies,214,63.75,False,not admitted,"C5, B3, C6, B2, B2"
Science,Physics,160,60.0,True,not admitted,"B3, B2, C6, A1, B3"
Management Sciences,Insurance,184,60.0,True,not admitted,"B3, B2, C5, B3, C5"
Arts,French,168,59.0,True,not admitted,"C6, B3, B2, C5, A1"
Social Sciences,Political Science,191,64.88,True,not admitted,"B3, A1, C4, B2, C4"
Environmental Science,Estate Management,331,76.38,True,admitted,"C6, B3, B3, B2, C6"
Social Sciences,Psychology,168,57.0,True,not admitted,"B2, C5, A1, C5, C6"
College of MEdicine,Dentistry,371,78.38,True,admitted,"B2, C5, C6, C6, C4"
Scool of Transport,Transport Management and Operations,318,83.75,True,admitted,"B3, C5, A1, A1, A1"
Social Sciences,Political Science,356,81.5,True,admitted,"B3, A1, C6, B3, C5"
Arts,French,257,76.12,False,not admitted,"A1, B3, B2, C4, A1"
College of MEdicine,Medicine & Surgery,169,53.12,False,not admitted,"C5, C5, A1, C6, C6"
Law,Common/Civil Law,150,50.75,True,not admitted,"C5, C5, C4, C6, B3"
Environmental Science,Architecture,334,81.75,False,not admitted,"C6, A1, A1, C4, B3"
Engineering,Electronic and Computer Engineering,231,69.88,True,admitted,"C5, A1, C5, A1, B2"
Environmental Science,Environmental Management,369,85.12,False,not admitted,"C5, B2, C6, A1, B2"
Scool of Library Archival and Information Science,Library and information Science,357,79.62,True,admitted,"C4, C5, C6, A1, C4"
College of MEdicine,Physiology,385,83.12,False,not admitted,"B2, C4, C5, C4, C5"
Science,Zoology,159,58.88,False,not admitted,"B3, B3, B3, B2, C5"
Social Sciences,Geography and Planning,273,72.12,False,not admitted,"C6, C6, B3, A1, A1"
Scool of Transport,Transport Management and Operations,250,73.25,True,admitted,"B2, B2, C6, A1, B2"
Agriculture,Agricultural Economics,249,70.12,True,admitted,"C4, A1, B2, C4, C5"
Law,Common/Civil Law,399,87.88,True,admitted,"B2, B2, B3, C4, C6"
Engineering,Chemical Engineering,337,86.12,True,admitted,"C4, B2, A1, B3, A1"
Engineering,Electronic and Computer Engineering,387,92.38,True,admitted,"B2, B3, A1, B3, B2"
Communication and Media Studies,Mass Communication,379,83.38,True,admitted,"A1, C6, C5, A1, C6"
Arts,Linguistics,237,65.62,True,admitted,"C4, C4, B3, C5, B3"
Engineering,Mechanical Engineering,217,63.12,True,admitted,"C6, B2, C6, B3, B2"
Scool of Library Archival and Information Science,Library and information Science,317,79.62,True,admitted,"B3, A1, C4, C6, A1"
Environmental Science,Environmental Management,360,78.0,True,admitted,"C6, C4, C5, C5, B2"
Social Sciences,Geography and Planning,288,72.0,True,admitted,"B3, C5, A1, C5, C5"
Management Sciences,Taxation,187,61.38,True,not admitted,"B3, C4, C5, B2, B3"
Engineering,Industrial Enginerring,313,78.12,False,not admitted,"C4, C4, A1, A1, C6"
Agriculture,Agricultural Extension & Rural Development,206,52.75,True,admitted,"C6, C4, C6, C6, C6"
Scool of Transport,Logistics and Supply Chain Management,364,85.5,True,admitted,"B2, C4, B2, C5, B2"
College of MEdicine,Pharmacology,305,72.12,False,not admitted,"B2, B3, C5, C5, C6"
Engineering,Mechanical Engineering,198,61.75,True,admitted,"B3, C5, B2, C5, B3"
Social Sciences,Geography and Planning,387,88.38,True,admitted,"A1, C4, B2, B3, C5"
Law,Common/Civil Law,238,68.75,False,not admitted,"A1, B2, B3, C5, C5"
Scool of Library Archival and Information Science,Library and information Science,314,85.25,True,admitted,"A1, B2, B3, A1, B2"
Science,Microbiology,373,78.62,True,admitted,"B3, B2, C6, C6, C6"
Science,Science Laboratory Technology,318,75.75,False,not admitted,"B3, B2, B2, C6, C6"
Education,Special Education,155,55.38,False,not admitted,"C5, C6, B3, C4, A1"
Science,Botany,298,77.25,True,admitted,"B3, B2, B2, B3, C5"
Social Sciences,Sociology,299,78.38,False,not admitted,"C5, C5, A1, A1, B2"
College of MEdicine,Medicine & Surgery,346,74.25,False,not admitted,"C6, C5, B3, C6, C4"
Scool of Transport,Transport Management and Operations,322,74.25,True,admitted,"B3, C4, C4, C4, C6"
College of MEdicine,Nursing,165,53.62,True,not admitted,"C4, C4, B3, C5, C6"
Communication and Media Studies,Mass Communication,250,69.25,False,not admitted,"A1, C6, B2, C5, B3"
Engineering,Aeronautical and Astronautical Engineering,300,76.5,True,admitted,"A1, C5, B3, C4, B3"
Scool of Transport,Logistics and Supply Chain Management,331,74.38,False,not admitted,"C4, B2, C5, C6, C5"
Engineering,Industrial Enginerring,384,90.0,False,not admitted,"C5, A1, C5, A1, A1"
College of MEdicine,Physiotherapy,332,70.5,True,admitted,"C5, C6, C5, C5, C5"
College of MEdicine,Physiology,206,66.75,True,admitted,"C4, C4, A1, C4, A1"
Management Sciences,Project Management,165,57.62,True,not admitted,"B2, B3, C4, B3, C6"
Engineering,Mechanical Engineering,240,71.0,False,not admitted,"A1, C5, B2, B3, B3"
Communication and Media Studies,Mass Communication,352,77.0,False,not admitted,"B2, C6, B2, C6, C6"
Agriculture,Agricultural Extension & Rural Development,295,75.88,True,admitted,"A1, C5, A1, C6, B3"
Management Sciences,Banking and Finance,234,63.25,True,admitted,"C4, C5, C4, C4, C4"
Science,Microbiology,309,79.62,False,not admitted,"C6, A1, B2, B2, B3"
Scool of Transport,Transport Management and Operations,237,68.62,False,not admitted,"B2, C6, B3, B3, B2"
Science,Physics,262,72.75,True,admitted,"C5, A1, B3, B3, B3"
Environmental Science,Architecture,247,60.88,True,admitted,"C5, C6, C6, C4, C4"
Agriculture,Agricultural Economics,141,61.62,True,not admitted,"A1, A1, B3, C5, A1"
College of MEdicine,Physiotherapy,286,76.75,True,admitted,"B2, B2, B3, C5, B2"
Social Sciences,Political Science,128,59.0,False,not admitted,"B3, A1, C5, A1, B2"
