Faculty,Department,UTME_Score,Screening_Score,Olevel_Valid,olevel_avg_points,admitted_numeric
Social Sciences,Environmental Management,306,65.9,0,4.0,0
Social Sciences,Sociology,200,50.0,0,4.0,0
Law,Law,198,54.7,0,5.0,0
Social Sciences,Geography and Planning Science,294,63.1,0,3.8,0
Medicine,Nursing,227,61.05,0,5.4,0
Social Sciences,Political Science,383,80.45,0,4.6,0
Science,Physics,172,46.8,0,4.2,0
Law,Law,298,68.7,0,4.8,0
Social Sciences,Geography and Planning Science,216,56.4,0,4.8,0
Social Sciences,Tourism Studies,392,85.8,0,5.4,0
Engineering,Electrical/Electronic Engineering,193,52.95,1,4.8,1
Medicine,Nursing,163,48.45,0,4.8,0
Engineering,Mechanical Engineering,309,73.35,0,5.4,0
Management Sciences,Cooperative Studies,242,62.3,0,5.2,0
Education,Guidance and Counselling,335,69.25,0,3.8,0
Agricultural Science,Agricultural Economics and Extension Services,242,61.3,1,5.0,1
Arts,Religious Studies,393,93.95,1,7.0,1
Arts,Philosophy,390,75.5,0,3.4,0
Agricultural Science,Fisheries and Aquaculture Management,374,80.1,0,4.8,0
Medicine,Medicine and Surgery,272,68.8,1,5.6,1
Arts,History & International Studies,298,70.7,0,5.2,0
Agricultural Science,Forestry Resources and Wildlife Management,335,76.25,1,5.2,1
Arts,Christian Religious Studies,364,74.6,0,4.0,0
Agricultural Science,Animal Production & Health Sciences,210,53.5,0,4.4,0
Science,Science Laboratory Technology,270,67.5,0,5.4,0
Agricultural Science,Animal Production & Health Sciences,146,49.9,1,5.6,0
Agricultural Science,"Crop, Horticulture and Landscape Design",394,80.1,0,4.2,0
Social Sciences,Psychology,324,73.6,0,5.0,0
Social Sciences,Sociology,266,68.9,1,5.8,1
Agricultural Science,Fisheries and Aquaculture Management,340,74.0,0,4.6,0
Education,Mathematics Education,359,82.85,0,5.8,0
Arts,English & Literary Studies,391,82.65,1,4.8,1
Social Sciences,Sociology,226,62.9,1,5.8,1
Arts,Theatre and Media Arts,287,70.05,1,5.4,1
Arts,Christian Religious Studies,287,70.05,1,5.4,1
Engineering,Civil Engineering,337,75.55,0,5.0,0
Science,Plant Sciences and Biotechnology,229,62.35,1,5.6,1
Medicine,Physiology,144,39.6,0,3.6,0
Medicine,Anatomy,270,66.5,0,5.2,0
Management Sciences,Entrepreneurship,173,47.95,0,4.4,0
Law,Law,312,75.8,1,5.8,1
Education,Social Studies,289,66.35,0,4.6,0
Agricultural Science,Fisheries and Aquaculture Management,168,58.2,1,6.6,1
Education,Basic/Integrated Science Education,253,65.95,0,5.6,0
Medicine,Anatomy,298,71.7,1,5.4,1
Law,Law,213,62.95,1,6.2,1
Medicine,Nursing,284,66.6,1,4.8,1
Agricultural Science,Agricultural Economics and Extension Services,155,48.25,0,5.0,0
Arts,Linguistics & Nigerian Languages,301,66.15,1,4.2,1
Agricultural Science,Animal Production & Health Sciences,289,65.35,1,4.4,1
Social Sciences,Environmental Management,205,48.75,0,3.6,0
Law,Law,246,67.9,1,6.2,1
Engineering,Electrical/Electronic Engineering,157,49.55,1,5.2,0
Agricultural Science,Soil Resources and Environmental Management,328,70.2,0,4.2,0
Law,Law,263,69.45,1,6.0,1
Social Sciences,Tourism Studies,374,82.1,1,5.2,1
Arts,English & Literary Studies,247,67.05,1,6.0,1
Education,French Education,334,76.1,1,5.2,1
Law,Law,323,70.45,1,4.4,1
Law,Law,313,71.95,0,5.0,0
Law,Law,326,77.9,0,5.8,0
Agricultural Science,Fisheries and Aquaculture Management,242,52.3,0,3.2,0
Medicine,Anatomy,189,39.35,0,2.2,0
Arts,History & International Studies,334,81.1,0,6.2,0
Engineering,Electrical/Electronic Engineering,331,74.65,0,5.0,0
Education,English Education,169,51.35,1,5.2,1
Engineering,Mechanical Engineering,276,60.4,0,3.8,0
Education,Guidance and Counselling,253,62.95,0,5.0,0
Social Sciences,Environmental Management,340,71.0,0,4.0,0
Law,Law,203,55.45,1,5.0,1
Agricultural Science,Forestry Resources and Wildlife Management,286,70.9,1,5.6,1
Arts,Philosophy,376,86.4,1,6.0,1
Law,Law,379,83.85,0,5.4,0
Law,Law,260,67.0,1,5.6,1
Law,Law,280,68.0,1,5.2,1
Engineering,Computer Engineering,304,68.6,0,4.6,0
Engineering,Mechanical Engineering,238,61.7,1,5.2,1
Arts,English & Literary Studies,206,59.9,1,5.8,1
Law,Law,382,78.3,0,4.2,0
Law,Law,352,78.8,1,5.2,1
Management Sciences,Accounting,251,65.65,0,5.6,0
Medicine,Anatomy,348,78.2,0,5.2,0
Management Sciences,Business Administration,239,67.85,1,6.4,1
Law,Law,297,67.55,0,4.6,0
Arts,Yoruba,316,76.4,1,5.8,1
Science,Biochemistry,322,70.3,0,4.4,0
Law,Law,299,72.85,1,5.6,1
Science,Physics,182,49.3,1,4.4,0
Social Sciences,Sociology,224,63.6,1,6.0,1
Agricultural Science,Forestry Resources and Wildlife Management,400,95.0,1,7.0,1
Science,Geology,226,58.9,1,5.0,1
Management Sciences,Industrial Relations and Personnel Management,232,51.8,0,3.4,0
Science,Microbiology,313,70.95,0,4.8,0
Social Sciences,Psychology,376,86.4,0,6.0,0
Law,Law,315,70.25,1,4.6,1
Engineering,Computer Engineering,367,77.05,0,4.4,0
Engineering,Civil Engineering,379,74.85,0,3.6,0
Education,Basic/Integrated Science Education,270,66.5,0,5.2,0
Science,Zoology,228,62.2,1,5.6,1
Management Sciences,Banking and Finance,369,85.35,1,6.0,1
Engineering,Mechanical Engineering,171,47.65,0,4.4,0
Science,Chemistry,203,55.45,0,5.0,0
Management Sciences,Business Administration,383,78.45,0,4.2,0
Arts,Christian Religious Studies,388,86.2,0,5.6,0
Management Sciences,Marketing,174,54.1,1,5.6,1
Management Sciences,Accounting,344,68.6,0,3.4,0
Social Sciences,Psychology,282,65.3,0,4.6,0
Social Sciences,Tourism Studies,269,65.35,0,5.0,0
Management Sciences,Cooperative Studies,400,92.0,0,6.4,0
Management Sciences,Business Administration,335,79.25,1,5.8,1
Management Sciences,Insurance,384,79.6,0,4.4,0
Management Sciences,Entrepreneurship,165,52.75,1,5.6,1
Arts,Christian Religious Studies,306,72.9,0,5.4,0
Management Sciences,Actuarial Science,182,56.3,1,5.8,1
Social Sciences,Geography and Planning Science,144,56.6,1,7.0,1
Social Sciences,Geography and Planning Science,266,65.9,0,5.2,0
Engineering,Mechanical Engineering,394,92.1,1,6.6,1
Agricultural Science,Forestry Resources and Wildlife Management,239,56.85,0,4.2,0
Medicine,Medicine and Surgery,336,84.4,1,6.8,1
Education,Education Arabic Studies,288,57.2,0,2.8,0
Agricultural Science,Soil Resources and Environmental Management,260,64.0,1,5.0,1
Agricultural Science,Fisheries and Aquaculture Management,290,66.5,1,4.6,1
Medicine,Nursing,170,52.5,0,5.4,0
Social Sciences,Tourism Studies,186,47.9,1,4.0,0
Agricultural Science,Animal Production & Health Sciences,366,83.9,1,5.8,1
Engineering,Mechanical Engineering,298,64.7,0,4.0,0
Engineering,Computer Engineering,217,60.55,1,5.6,1
Agricultural Science,Animal Production & Health Sciences,290,75.5,1,6.4,1
Engineering,Mechanical Engineering,392,84.8,0,5.2,0
Medicine,Nursing,250,66.5,1,5.8,1
Science,Geo-Physics,209,52.35,1,4.2,1
Arts,English & Literary Studies,237,61.55,1,5.2,1
Law,Law,265,64.75,1,5.0,1
Management Sciences,Insurance,254,60.1,0,4.4,0
Medicine,Anatomy,225,53.75,0,4.0,0
Social Sciences,Sociology,301,75.15,0,6.0,0
Engineering,Electrical/Electronic Engineering,368,82.2,1,5.4,1
Law,Law,245,59.75,0,4.6,0
Science,Chemistry,199,57.85,0,5.6,0
Agricultural Science,Forestry Resources and Wildlife Management,168,52.2,1,5.4,1
Engineering,Electrical/Electronic Engineering,255,61.25,1,4.6,1
Medicine,Physiology,394,80.1,0,4.2,0
Social Sciences,Tourism Studies,251,58.65,1,4.2,1
Medicine,Anatomy,387,84.05,0,5.2,0
Education,Building and Woodwork Technology,274,66.1,1,5.0,1
Management Sciences,Banking and Finance,399,86.85,0,5.4,0
Science,Biochemistry,256,62.4,1,4.8,1
Law,Law,205,49.75,0,3.8,0
Management Sciences,Industrial Relations and Personnel Management,282,75.3,1,6.6,1
Management Sciences,Industrial Relations and Personnel Management,331,81.65,1,6.4,1
Social Sciences,Economics,177,49.55,0,4.6,0
Law,Law,241,61.15,0,5.0,0
Science,Mathematics,231,55.65,0,4.2,0
Agricultural Science,Fisheries and Aquaculture Management,385,79.75,0,4.4,0
Social Sciences,Sociology,281,59.15,0,3.4,0
Education,Agricultural Education,245,61.75,0,5.0,0
Management Sciences,Actuarial Science,269,58.35,0,3.6,0
Management Sciences,Cooperative Studies,314,72.1,0,5.0,0
Engineering,Civil Engineering,228,64.2,1,6.0,1
Agricultural Science,Fisheries and Aquaculture Management,232,70.8,1,7.2,1
Law,Law,381,84.15,1,5.4,1
Law,Law,247,57.05,0,4.0,0
Engineering,Civil Engineering,282,63.3,0,4.2,0
Medicine,Nursing,387,83.05,0,5.0,0
Science,Plant Sciences and Biotechnology,236,57.4,1,4.4,1
Arts,Linguistics & Nigerian Languages,212,55.8,1,4.8,1
Engineering,Mechanical Engineering,258,62.7,0,4.8,0
Agricultural Science,Agricultural Economics and Extension Services,330,77.5,0,5.6,0
Science,Mathematics,219,64.85,0,6.4,0
Medicine,Nursing,250,57.5,0,4.0,0
Education,Educational Technology,141,55.15,1,6.8,1
Agricultural Science,"Crop, Horticulture and Landscape Design",362,76.3,0,4.4,0
Medicine,Nursing,140,47.0,0,5.2,0
Arts,Islamic Religious Studies/Arabic,396,89.4,0,6.0,0
Arts,English & Literary Studies,300,70.0,0,5.0,0
Medicine,Nursing,312,77.8,1,6.2,1
Education,Yoruba Education,252,58.8,0,4.2,0
Agricultural Science,Soil Resources and Environmental Management,316,75.4,1,5.6,1
Science,Computer Science,348,84.2,1,6.4,1
Engineering,Civil Engineering,339,71.85,0,4.2,0
Arts,Philosophy,319,76.85,1,5.8,1
Law,Law,251,57.65,0,4.0,0
Social Sciences,Psychology,161,56.15,1,6.4,1
Medicine,Anatomy,373,75.95,0,4.0,0
Medicine,Nursing,350,70.5,0,3.6,0
Law,Law,140,49.0,1,5.6,0
Engineering,Computer Engineering,383,76.45,0,3.8,0
Agricultural Science,Fisheries and Aquaculture Management,278,59.7,0,3.6,0
Agricultural Science,Fisheries and Aquaculture Management,181,47.15,0,4.0,0
Agricultural Science,Fisheries and Aquaculture Management,204,53.6,1,4.6,1
Education,Electrical/Electronic Technology,244,54.6,1,3.6,1
Law,Law,205,56.75,1,5.2,1
Arts,Christian Religious Studies,366,84.9,1,6.0,1
Law,Law,354,75.1,0,4.4,0
Education,Education Arabic Studies,321,64.15,0,3.2,0
Social Sciences,Political Science,160,47.0,1,4.6,0
Medicine,Physiology,317,77.55,1,6.0,1
Education,Education Arabic Studies,234,60.1,1,5.0,1
Social Sciences,Psychology,327,71.05,0,4.4,0
Management Sciences,Insurance,299,70.85,1,5.2,1
Education,Mathematics Education,263,58.45,0,3.8,0
Arts,Islamic Religious Studies/Arabic,301,72.15,0,5.4,0
Medicine,Anatomy,333,77.95,1,5.6,1
Science,Zoology,335,77.25,0,5.4,0
Arts,History & International Studies,271,62.65,1,4.4,1
Arts,Christian Religious Studies,216,55.4,0,4.6,0
Law,Law,368,74.2,0,3.8,0
Social Sciences,Environmental Management,171,50.65,1,5.0,1
Social Sciences,Economics,208,58.2,1,5.4,1
Social Sciences,Political Science,354,75.1,0,4.4,0
Management Sciences,Entrepreneurship,184,50.6,0,4.6,0
Management Sciences,Entrepreneurship,323,82.45,1,6.8,1
Social Sciences,Economics,179,52.85,0,5.2,0
Social Sciences,Tourism Studies,265,65.75,0,5.2,0
Science,Plant Sciences and Biotechnology,352,81.8,0,5.8,0
Law,Law,362,79.3,1,5.0,1
Engineering,Computer Engineering,195,58.25,1,5.8,1
Education,Mathematics Education,229,53.35,0,3.8,0
Social Sciences,Political Science,350,73.5,0,4.2,0
Law,Law,314,69.1,0,4.4,0
Science,Physics,182,55.3,0,5.6,0
Engineering,Computer Engineering,186,52.9,1,5.0,1
Agricultural Science,Agricultural Economics and Extension Services,246,57.9,0,4.2,0
Engineering,Computer Engineering,179,44.85,0,3.6,0
Engineering,Civil Engineering,298,64.7,0,4.0,0
Agricultural Science,"Crop, Horticulture and Landscape Design",369,80.35,0,5.0,0
Science,Statistics,400,81.0,0,4.2,0
Education,Educational Management,336,68.4,0,3.6,0
Science,Science Laboratory Technology,152,51.8,1,5.8,1
Education,Adult Education,376,85.4,1,5.8,1
Medicine,Medicine and Surgery,274,64.1,1,4.6,1
Agricultural Science,Animal Production & Health Sciences,181,60.15,1,6.6,1
Social Sciences,Geography and Planning Science,167,48.05,0,4.6,0
Social Sciences,Psychology,179,55.85,1,5.8,1
Science,Industrial Chemistry,349,86.35,1,6.8,1
Arts,History & International Studies,363,73.45,0,3.8,0
Science,Microbiology,186,58.9,1,6.2,1
Agricultural Science,"Crop, Horticulture and Landscape Design",207,50.05,0,3.8,0
Social Sciences,Psychology,160,50.0,1,5.2,1
Engineering,Civil Engineering,162,54.3,1,6.0,1
Education,Education Arabic Studies,370,84.5,1,5.8,1
Law,Law,276,61.4,0,4.0,0
Medicine,Nursing,317,76.55,1,5.8,1
Social Sciences,Environmental Management,218,58.7,1,5.2,1
Engineering,Electrical/Electronic Engineering,397,80.55,1,4.2,1
Law,Law,354,76.1,0,4.6,0
Management Sciences,Banking and Finance,397,83.55,0,4.8,0
Medicine,Physiology,267,72.05,1,6.4,1
Engineering,Electrical/Electronic Engineering,333,68.95,0,3.8,0
Education,Educational Management,346,68.9,1,3.4,1
Law,Law,364,80.6,0,5.2,0
Law,Law,289,64.35,0,4.2,0
Agricultural Science,Soil Resources and Environmental Management,287,70.05,1,5.4,1
Social Sciences,Tourism Studies,296,58.4,0,2.8,0
Medicine,Medicine and Surgery,192,54.8,1,5.2,1
Agricultural Science,Soil Resources and Environmental Management,329,74.35,1,5.0,1
Education,Social Studies,362,79.3,1,5.0,1
Agricultural Science,Soil Resources and Environmental Management,331,84.65,1,7.0,1
Management Sciences,Accounting,342,72.3,0,4.2,0
Science,Industrial Chemistry,161,40.15,0,3.2,0
Engineering,Computer Engineering,299,68.85,1,4.8,1
Law,Law,311,64.65,0,3.6,0
Agricultural Science,Soil Resources and Environmental Management,197,57.55,1,5.6,1
Science,Zoology,223,64.45,1,6.2,1
Education,Social Studies,371,85.65,0,6.0,0
Law,Law,206,59.9,1,5.8,1
Medicine,Nursing,229,54.35,1,4.0,1
Social Sciences,Political Science,369,73.35,0,3.6,0
Law,Law,182,60.3,1,6.6,1
Medicine,Physiology,387,84.05,0,5.2,0
Education,Yoruba Education,197,53.55,0,4.8,0
Agricultural Science,Fisheries and Aquaculture Management,151,44.65,0,4.4,0
Law,Law,208,51.2,0,4.0,0
Agricultural Science,Agricultural Economics and Extension Services,280,68.0,1,5.2,1
Management Sciences,Insurance,175,55.25,1,5.8,1
Education,Health Education,311,66.65,0,4.0,0
Arts,Islamic Religious Studies/Arabic,312,67.8,1,4.2,1
Education,Business Education - Accounting,255,57.25,1,3.8,1
Agricultural Science,Fisheries and Aquaculture Management,354,81.1,1,5.6,1
Social Sciences,Sociology,198,56.7,1,5.4,1
Science,Zoology,157,50.55,0,5.4,0
Science,Statistics,387,79.05,0,4.2,0
Management Sciences,Banking and Finance,325,67.75,0,3.8,0
Education,Educational Management,210,53.5,0,4.4,0
Engineering,Civil Engineering,276,73.4,1,6.4,1
Agricultural Science,Agricultural Economics and Extension Services,219,55.85,1,4.6,1
Management Sciences,Entrepreneurship,391,86.65,1,5.6,1
Education,Building and Woodwork Technology,201,59.15,1,5.8,1
Engineering,Mechanical Engineering,158,41.7,0,3.6,0
Agricultural Science,Forestry Resources and Wildlife Management,303,72.45,1,5.4,1
Social Sciences,Economics,332,73.8,0,4.8,0
Agricultural Science,Agricultural Economics and Extension Services,378,83.7,0,5.4,0
Law,Law,260,60.0,0,4.2,0
Science,Zoology,178,52.7,0,5.2,0
Management Sciences,Business Administration,148,55.2,1,6.6,1
Science,Industrial Chemistry,208,55.2,1,4.8,1
Law,Law,186,52.9,0,5.0,0
Agricultural Science,Soil Resources and Environmental Management,378,77.7,0,4.2,0
Medicine,Medicine and Surgery,155,43.25,0,4.0,0
Arts,Yoruba,183,56.45,0,5.8,0
Education,Educational Management,149,48.35,0,5.2,0
Medicine,Nursing,194,51.1,0,4.4,0
Management Sciences,Cooperative Studies,355,79.25,1,5.2,1
Agricultural Science,Fisheries and Aquaculture Management,166,46.9,1,4.4,0
Law,Law,380,83.0,0,5.2,0
Management Sciences,Entrepreneurship,312,65.8,0,3.8,0
Medicine,Nursing,296,69.4,1,5.0,1
Arts,Theatre and Media Arts,155,50.25,1,5.4,1
Agricultural Science,Animal Production & Health Sciences,273,67.95,1,5.4,1
Science,Statistics,142,42.3,0,4.2,0
Science,Physics,197,61.55,1,6.4,1
Law,Law,340,73.0,1,4.4,1
Arts,History & International Studies,373,86.95,1,6.2,1
Management Sciences,Cooperative Studies,341,76.15,0,5.0,0
Social Sciences,Geography and Planning Science,356,79.4,1,5.2,1
Medicine,Anatomy,264,64.6,1,5.0,1
Arts,Philosophy,390,82.5,0,4.8,0
Management Sciences,Cooperative Studies,328,66.2,0,3.4,0
Medicine,Medicine and Surgery,217,57.55,0,5.0,0
Social Sciences,Political Science,237,57.55,0,4.4,0
Science,Statistics,187,52.05,0,4.8,0
Medicine,Physiology,240,64.0,0,5.6,0
Social Sciences,Sociology,370,78.5,0,4.6,0
Agricultural Science,Fisheries and Aquaculture Management,234,59.1,1,4.8,1
Agricultural Science,Soil Resources and Environmental Management,224,63.6,1,6.0,1
Science,Biochemistry,225,58.75,0,5.0,0
Law,Law,354,75.1,0,4.4,0
Education,Business Education - Accounting,277,67.55,1,5.2,1
Social Sciences,Tourism Studies,313,78.95,1,6.4,1
Engineering,Computer Engineering,272,69.8,1,5.8,1
Medicine,Nursing,264,64.6,1,5.0,1
Education,Yoruba Education,235,59.25,1,4.8,1
Science,Zoology,187,53.05,1,5.0,1
Management Sciences,Business Administration,315,76.25,0,5.8,0
Education,Chemistry Education,154,50.1,1,5.4,1
Medicine,Medicine and Surgery,267,70.05,1,6.0,1
Management Sciences,Accounting,328,71.2,0,4.4,0
Medicine,Anatomy,233,65.95,1,6.2,1
Arts,Theatre and Media Arts,356,81.4,1,5.6,1
Arts,French,371,79.65,0,4.8,0
Education,Economics Education,210,53.5,0,4.4,0
Medicine,Nursing,398,80.7,0,4.2,0
Agricultural Science,Animal Production & Health Sciences,379,87.85,0,6.2,0
Management Sciences,Entrepreneurship,347,73.05,0,4.2,0
Law,Law,184,55.6,1,5.6,1
Medicine,Anatomy,188,57.2,1,5.8,1
Social Sciences,Geography and Planning Science,214,53.1,0,4.2,0
Arts,French,185,52.75,1,5.0,1
Education,Mechanical Technology,378,75.7,0,3.8,0
Medicine,Physiology,159,48.85,0,5.0,0
Science,Microbiology,242,55.3,0,3.8,0
Science,Biochemistry,313,65.95,0,3.8,0
Agricultural Science,Animal Production & Health Sciences,281,60.15,0,3.6,0
Arts,Yoruba,257,58.55,0,4.0,0
Management Sciences,Cooperative Studies,319,70.85,0,4.6,0
Management Sciences,Cooperative Studies,146,44.9,0,4.6,0
Arts,English & Literary Studies,206,50.9,0,4.0,0
Education,Building and Woodwork Technology,315,69.25,0,4.4,0
Social Sciences,Political Science,382,80.3,0,4.6,0
Social Sciences,Political Science,350,74.5,0,4.4,0
Agricultural Science,Forestry Resources and Wildlife Management,178,53.7,0,5.4,0
Education,Building and Woodwork Technology,290,73.5,1,6.0,1
Education,Nursery & Primary/Early Childhood Education,145,49.75,1,5.6,0
Engineering,Computer Engineering,161,50.15,1,5.2,1
Social Sciences,Tourism Studies,221,54.15,1,4.2,1
Engineering,Computer Engineering,334,76.1,1,5.2,1
Education,Social Studies,361,84.15,1,6.0,1
Education,Basic/Integrated Science Education,201,60.15,1,6.0,1
Agricultural Science,Agricultural Economics and Extension Services,365,79.75,1,5.0,1
Medicine,Medicine and Surgery,287,77.05,1,6.8,1
Science,Geo-Physics,345,74.75,0,4.6,0
Management Sciences,Accounting,323,78.45,1,6.0,1
Agricultural Science,Animal Production & Health Sciences,217,54.55,0,4.4,0
Agricultural Science,Animal Production & Health Sciences,389,82.35,1,4.8,1
Law,Law,267,60.05,0,4.0,0
Medicine,Physiology,293,61.95,0,3.6,0
Management Sciences,Banking and Finance,164,48.6,1,4.8,0
Education,"Test, Measurement and Evaluation",336,74.4,0,4.8,0
Engineering,Computer Engineering,184,50.6,1,4.6,1
Agricultural Science,Agricultural Economics and Extension Services,385,86.75,1,5.8,1
Management Sciences,Cooperative Studies,192,55.8,1,5.4,1
Medicine,Anatomy,268,69.2,1,5.8,1
Arts,Yoruba,394,83.1,0,4.8,0
Education,English Education,172,42.8,0,3.4,0
Management Sciences,Cooperative Studies,227,45.05,0,2.2,0
Agricultural Science,Fisheries and Aquaculture Management,384,76.6,0,3.8,0
Social Sciences,Geography and Planning Science,162,59.3,1,7.0,1
Education,Nursery & Primary/Early Childhood Education,327,65.05,0,3.2,0
Education,Guidance and Counselling,212,63.8,0,6.4,0
Education,Yoruba Education,360,76.0,1,4.4,1
Medicine,Medicine and Surgery,315,75.25,1,5.6,1
Social Sciences,Geography and Planning Science,283,65.45,0,4.6,0
Education,Computer Science Education,240,62.0,0,5.2,0
Engineering,Civil Engineering,369,74.35,0,3.8,0
Arts,Yoruba,291,72.65,0,5.8,0
Agricultural Science,"Crop, Horticulture and Landscape Design",368,87.2,1,6.4,1
Education,Physics Education,371,78.65,0,4.6,0
Education,Political Science Education,245,60.75,0,4.8,0
Engineering,Computer Engineering,144,41.6,0,4.0,0
Management Sciences,Actuarial Science,174,52.1,1,5.2,1
Arts,Philosophy,394,84.1,0,5.0,0
Science,Industrial Chemistry,180,50.0,0,4.6,0
Management Sciences,Entrepreneurship,196,46.4,0,3.4,0
Engineering,Electrical/Electronic Engineering,162,52.3,0,5.6,0
Science,Physics,252,68.8,1,6.2,1
Agricultural Science,Agricultural Economics and Extension Services,345,76.75,0,5.0,0
Agricultural Science,"Crop, Horticulture and Landscape Design",386,77.9,0,4.0,0
Agricultural Science,Animal Production & Health Sciences,269,64.35,0,4.8,0
Education,Physics Education,219,63.85,1,6.2,1
Education,Human Kinetics/Physical & Health Education,184,49.6,1,4.4,0
Engineering,Computer Engineering,182,48.3,0,4.2,0
Education,Mechanical Technology,334,84.1,1,6.8,1
Management Sciences,Accounting,218,62.7,0,6.0,0
Law,Law,292,66.8,1,4.6,1
Education,French Education,245,64.75,0,5.6,0
Management Sciences,Entrepreneurship,198,52.7,1,4.6,1
Social Sciences,Environmental Management,352,74.8,1,4.4,1
Engineering,Computer Engineering,323,74.45,0,5.2,0
Science,Mathematics,256,60.4,1,4.4,1
Social Sciences,Sociology,346,74.9,1,4.6,1
Law,Law,150,42.5,0,4.0,0
Agricultural Science,Agricultural Economics and Extension Services,336,69.4,0,3.8,0
Science,Industrial Chemistry,338,76.7,1,5.2,1
Social Sciences,Environmental Management,180,55.0,1,5.6,1
Agricultural Science,"Crop, Horticulture and Landscape Design",399,83.85,0,4.8,0
Engineering,Electrical/Electronic Engineering,159,46.85,0,4.6,0
Social Sciences,Environmental Management,398,91.7,1,6.4,1
Management Sciences,Entrepreneurship,207,61.05,1,6.0,1
Law,Law,188,54.2,0,5.2,0
Agricultural Science,Agricultural Economics and Extension Services,286,70.9,1,5.6,1
Law,Law,266,72.9,0,6.6,0
Agricultural Science,Fisheries and Aquaculture Management,240,55.0,0,3.8,0
Law,Law,367,81.05,1,5.2,1
Education,"Test, Measurement and Evaluation",398,86.7,0,5.4,0
Agricultural Science,Fisheries and Aquaculture Management,335,72.25,1,4.4,1
Management Sciences,Insurance,238,62.7,1,5.4,1
Arts,Yoruba,366,84.9,0,6.0,0
Law,Law,255,64.25,1,5.2,1
Arts,Linguistics & Nigerian Languages,322,76.3,1,5.6,1
Social Sciences,Sociology,331,70.65,0,4.2,0
Medicine,Anatomy,379,85.85,1,5.8,1
Arts,English & Literary Studies,214,60.1,0,5.6,0
Management Sciences,Cooperative Studies,313,77.95,1,6.2,1
Social Sciences,Environmental Management,292,70.8,1,5.4,1
Social Sciences,Political Science,237,64.55,1,5.8,1
Medicine,Nursing,282,68.3,1,5.2,1
Law,Law,214,51.1,0,3.8,0
Management Sciences,Cooperative Studies,357,80.55,0,5.4,0
Education,English Education,201,48.15,0,3.6,0
Law,Law,393,78.95,0,4.0,0
Social Sciences,Environmental Management,339,68.85,0,3.6,0
Medicine,Nursing,233,69.95,1,7.0,1
Science,Science Laboratory Technology,238,59.7,0,4.8,0
Agricultural Science,Forestry Resources and Wildlife Management,203,54.45,0,4.8,0
Medicine,Nursing,199,57.85,1,5.6,1
Arts,Linguistics & Nigerian Languages,372,87.8,1,6.4,1
Arts,English & Literary Studies,260,66.0,1,5.4,1
Agricultural Science,Forestry Resources and Wildlife Management,186,45.9,0,3.6,0
Science,Physics,269,73.35,1,6.6,1
Science,Computer Science,395,85.25,0,5.2,0
Medicine,Physiology,293,60.95,0,3.4,0
Law,Law,371,77.65,0,4.4,0
Education,"Test, Measurement and Evaluation",273,68.95,1,5.6,1
Education,Economics Education,231,61.65,1,5.4,1
Social Sciences,Sociology,206,57.9,1,5.4,1
Social Sciences,Economics,299,78.85,1,6.8,1
Engineering,Computer Engineering,166,60.9,1,7.2,1
Arts,Linguistics & Nigerian Languages,271,68.65,0,5.6,0
Management Sciences,Actuarial Science,378,78.7,1,4.4,1
Medicine,Physiology,285,61.75,0,3.8,0
Agricultural Science,Forestry Resources and Wildlife Management,331,74.65,0,5.0,0
Agricultural Science,Animal Production & Health Sciences,243,62.45,1,5.2,1
Medicine,Medicine and Surgery,331,78.65,0,5.8,0
Medicine,Anatomy,169,54.35,1,5.8,1
Education,Computer Science Education,342,77.3,0,5.2,0
Arts,Islamic Religious Studies/Arabic,217,63.55,0,6.2,0
Medicine,Physiology,393,80.95,0,4.4,0
Education,French Education,390,84.5,1,5.2,1
Law,Law,354,67.1,0,2.8,0
Social Sciences,Economics,167,52.05,1,5.4,1
Management Sciences,Business Administration,150,49.5,1,5.4,0
Law,Law,334,76.1,0,5.2,0
Management Sciences,Accounting,158,52.7,1,5.8,1
Social Sciences,Sociology,191,52.65,1,4.8,1
Management Sciences,Banking and Finance,385,75.75,0,3.6,0
Science,Chemistry,237,63.55,0,5.6,0
Engineering,Computer Engineering,226,62.9,0,5.8,0
Arts,Philosophy,367,83.05,0,5.6,0
Arts,Philosophy,232,60.8,0,5.2,0
Arts,History & International Studies,223,67.45,0,6.8,0
Engineering,Electrical/Electronic Engineering,380,89.0,1,6.4,1
Science,Plant Sciences and Biotechnology,259,68.85,1,6.0,1
Law,Law,247,59.05,0,4.4,0
Management Sciences,Banking and Finance,218,52.7,0,4.0,0
Science,Microbiology,250,61.5,0,4.8,0
Education,Social Studies,392,76.8,0,3.6,0
Engineering,Mechanical Engineering,361,73.15,0,3.8,0
Education,"Test, Measurement and Evaluation",300,69.0,1,4.8,1
Medicine,Physiology,228,58.2,0,4.8,0
Science,Plant Sciences and Biotechnology,303,72.45,0,5.4,0
Agricultural Science,Forestry Resources and Wildlife Management,215,62.25,0,6.0,0
Arts,Islamic Religious Studies/Arabic,220,57.0,0,4.8,0
Law,Law,162,52.3,1,5.6,1
Agricultural Science,Fisheries and Aquaculture Management,326,75.9,0,5.4,0
Medicine,Anatomy,358,80.7,1,5.4,1
Science,Plant Sciences and Biotechnology,384,82.6,1,5.0,1
Arts,Christian Religious Studies,260,59.0,0,4.0,0
Management Sciences,Banking and Finance,258,63.7,1,5.0,1
