Faculty,Department,UTME_Score,Olevel_Grades,Post_UTME_Score,Aggregate,Cutoff,Admission_Status
Management Sciences,IRPM,365,"C5, C6, B3, C4, B2",10,69.62,50.0,not admitted
Law,Law,288,"B3, B2, C6, C5, C5",10,59.6,68.65,not admitted
Education,Education Physics,344,"B2, C6, B2, C4, A1",4,63.0,50.0,not admitted
Basic Medical Sciences,Pharmacology,308,"B3, C5, C5, C4, B3",12,64.5,72.625,considered
Science,Statistics,280,"B2, C4, B3, C5, C6",25,74.0,50.0,admitted
Basic Medical Sciences,Pharmacology,234,"B2, B3, C6, A1, C5",22,66.45,72.625,considered
Dental Sciences,Dentistry,334,"B3, C5, C4, A1, C6",30,86.15,77.4,admitted
Education,Education Home Economics,400,"B2, B3, C5, A1, B2",22,88.8,50.0,admitted
Education,Education French,262,"C4, C6, C4, B2, C5",29,75.35,50.0,admitted
Environmental Sciences,Quantity Surveying,341,"B2, C5, C4, A1, C6",4,61.42,50.0,not admitted
Law,Law,245,"C4, C6, A1, A1, C5",11,56.83,68.65,not admitted
Social Sciences,Economics,363,"A1, B2, B3, C5, B2",6,68.17,69.95,not admitted
Pharmacy,Pharmacy,393,"C6, C5, B3, C4, C4",18,80.33,76.125,admitted
Engineering,Electrical & Electronics Engineering,202,"C4, C4, B3, B3, A1",7,48.25,50.0,not admitted
Environmental Sciences,Estate Management,343,"C5, C4, C5, C4, A1",23,80.28,50.0,admitted
Clinical Sciences,Nursing,252,"C6, B3, C6, B3, C6",12,55.9,70.875,considered
Environmental Sciences,Architecture,218,"A1, C5, B3, C5, C5",20,61.65,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,202,"A1, C4, B2, C6, B2",18,59.25,74.675,considered
Basic Medical Sciences,Physiology,392,"B2, A1, A1, C4, B3",18,84.6,71.55,admitted
Science,Marine Biology,209,"C5, B2, C6, A1, B2",17,58.73,50.0,admitted
Dental Sciences,Dentistry,335,"A1, C5, B3, C6, C4",26,82.28,77.4,admitted
Social Sciences,Social Work,263,"A1, A1, B2, B3, B2",17,68.28,50.0,admitted
Law,Law,321,"B3, B3, C4, B3, B2",12,68.12,68.65,considered
Law,Law,372,"C6, B3, B2, C6, C4",6,66.1,68.65,not admitted
Clinical Sciences,Medicine and Surgery,214,"B2, A1, C4, C4, A1",12,55.95,80.8,considered
Arts,Islamic Religious Studies,299,"A1, B2, C4, B2, C6",26,79.38,60.225,admitted
Law,Law,360,"C6, B3, B3, B3, C4",4,63.4,68.65,not admitted
Education,Early Childhood Education,221,"C5, C4, B2, B3, B2",24,67.22,50.0,admitted
Management Sciences,Business Administration,342,"B2, B2, C5, C4, C5",24,81.55,68.65,admitted
Social Sciences,Sociology,377,"B3, B3, B2, C4, C6",12,73.92,66.15,admitted
Engineering,Mechanical Engineering,253,"C5, A1, C4, A1, C6",12,58.83,50.0,admitted
Science,Cell Biology & Genetics,218,"B2, C6, C4, A1, A1",13,56.65,50.0,admitted
Education,Early Childhood Education,268,"A1, C4, C6, C4, C6",14,61.1,50.0,admitted
Clinical Sciences,Medicine and Surgery,285,"C5, A1, C4, C5, B2",5,55.83,80.8,not admitted
Education,Early Childhood Education,369,"A1, A1, B3, C4, C4",10,72.92,50.0,not admitted
Law,Law,322,"C5, C4, C4, C6, A1",27,81.25,68.65,admitted
Management Sciences,Actuarial Science,286,"B2, A1, B3, C4, C4",23,75.15,61.875,admitted
Law,Law,299,"C4, C4, C6, C6, A1",24,74.97,68.65,admitted
Management Sciences,Business Administration,249,"C6, A1, B3, B2, C4",20,66.72,68.65,considered
Dental Sciences,Dentistry,204,"A1, C4, C4, B2, C5",30,71.1,77.4,considered
Clinical Sciences,Physiotherapy,228,"B3, B2, A1, B3, B2",15,61.1,73.75,considered
Engineering,Chemical & Petroleum Engineering,260,"B2, A1, A1, C5, C4",22,71.3,50.0,admitted
Clinical Sciences,Nursing,260,"C4, C6, B3, B3, C5",5,51.1,70.875,not admitted
Social Sciences,Political Science,242,"B3, C4, A1, B3, B2",23,70.05,68.6,admitted
Education,Adult Education,354,"B3, B2, B3, B3, B2",7,68.05,50.0,not admitted
Science,Geology,328,"C6, A1, C5, C5, C4",13,67.6,50.0,admitted
Clinical Sciences,Physiotherapy,327,"A1, C6, C6, B2, C6",9,63.48,73.75,not admitted
Pharmacy,Pharmacy,242,"B3, C5, C6, C5, A1",6,50.25,76.125,not admitted
Basic Medical Sciences,Pharmacology,208,"C6, A1, A1, C4, A1",4,46.8,72.625,not admitted
Dental Sciences,Dentistry,258,"A1, C6, C6, A1, C5",24,70.65,77.4,considered
Management Sciences,Business Administration,228,"A1, C4, B2, C6, B2",4,48.5,68.65,not admitted
Pharmacy,Pharmacy,273,"B3, C4, C6, B3, C5",10,57.73,76.125,not admitted
Science,Geophysics,240,"C5, A1, C6, A1, C6",16,60.4,50.0,admitted
Education,Education Islamic Religious Studies,304,"C4, B3, C4, C4, C4",27,79.4,50.0,admitted
Engineering,Civil & Environmental Engineering,353,"C6, A1, A1, B3, A1",19,80.33,50.0,admitted
Social Sciences,Psychology,251,"C4, B3, B3, B3, B2",22,69.38,67.4,admitted
Science,Mathematics,260,"A1, C6, B3, C4, B2",6,54.1,50.0,not admitted
Environmental Sciences,Urban & Regional Planning,362,"C6, C5, C6, C4, B2",5,63.05,50.0,not admitted
Clinical Sciences,Nursing,205,"A1, C5, B2, C5, C6",18,58.02,70.875,considered
Education,Education Biology,319,"C5, C5, B3, C4, B2",12,66.28,50.0,admitted
Education,Education English,235,"A1, C6, B2, C6, B2",8,52.58,50.0,not admitted
Arts,Islamic Religious Studies,248,"B2, C6, B3, C5, C4",26,71.0,60.225,admitted
Basic Medical Sciences,Medical Laboratory Science,384,"A1, B2, C6, A1, A1",4,69.6,74.675,not admitted
Social Sciences,Geography,346,"C4, C6, C5, C6, B2",14,70.05,50.0,admitted
Law,Law,370,"C5, B2, C5, C4, B3",18,78.65,68.65,admitted
Arts,Philosophy,254,"B3, B2, C4, B2, C4",25,72.75,67.4,admitted
Law,Law,312,"C5, C6, B2, C4, C5",29,81.2,68.65,admitted
Environmental Sciences,Urban & Regional Planning,370,"B2, C6, C5, B2, B3",14,75.05,50.0,admitted
Education,Education Chemistry,238,"C5, C6, C5, C6, C6",11,51.55,50.0,not admitted
Clinical Sciences,Physiotherapy,298,"A1, C4, A1, C6, C4",30,82.85,73.75,admitted
Environmental Sciences,Quantity Surveying,293,"A1, A1, A1, C4, C6",29,82.42,50.0,admitted
Clinical Sciences,Physiotherapy,400,"B3, C4, B3, A1, C6",20,85.2,73.75,admitted
Science,Statistics,279,"C6, A1, C4, B2, B3",12,62.48,50.0,admitted
Dental Sciences,Dentistry,283,"C4, C5, C6, A1, A1",14,64.58,77.4,considered
Education,Educational Administration,260,"C4, C5, C4, B3, A1",14,61.7,50.0,admitted
Pharmacy,Pharmacy,223,"A1, B2, A1, C4, C6",25,69.28,76.125,considered
Social Sciences,Mass Communication,314,"A1, A1, A1, B3, C4",16,73.25,72.35,admitted
Basic Medical Sciences,Pharmacology,380,"C4, B2, A1, C4, B3",3,66.9,72.625,not admitted
Social Sciences,Geography,216,"B3, B2, B2, A1, C5",30,73.8,50.0,admitted
Engineering,Electrical & Electronics Engineering,248,"C5, C4, A1, C4, C5",9,54.4,50.0,not admitted
Management Sciences,Business Administration,356,"A1, C4, C6, B2, C5",1,60.3,68.65,not admitted
Pharmacy,Pharmacy,338,"B2, C6, B3, C4, A1",22,79.85,76.125,admitted
Engineering,Mechanical Engineering,313,"C6, B2, C5, B3, C5",30,82.72,50.0,admitted
Pharmacy,Pharmacy,248,"A1, B2, C5, C6, B2",16,62.6,76.125,considered
Social Sciences,Sociology,290,"A1, C4, C4, C5, B3",30,81.45,66.15,admitted
Social Sciences,Economics,307,"C4, B3, B3, C6, A1",28,81.58,69.95,admitted
Arts,Philosophy,250,"C6, A1, C6, A1, B3",22,68.45,67.4,admitted
Basic Medical Sciences,Medical Laboratory Science,320,"C6, B2, C6, B3, A1",7,61.8,74.675,not admitted
Basic Medical Sciences,Physiology,212,"A1, B3, C6, C5, B3",30,71.3,71.55,considered
Engineering,Surveying & Geoinformatics Engineering,233,"C4, A1, C6, B3, C5",20,63.52,50.0,admitted
Education,Human Kinetics Education,228,"B2, C4, B3, C5, B3",26,69.7,50.0,admitted
Pharmacy,Pharmacy,279,"C4, B2, A1, B3, C5",24,74.88,76.125,considered
Clinical Sciences,Nursing,237,"A1, B3, B2, A1, B2",8,56.02,70.875,not admitted
Engineering,Biomedical Engineering,383,"A1, C4, C5, C5, C6",23,84.47,50.0,admitted
Dental Sciences,Dentistry,382,"B2, B2, C5, C4, C6",16,78.15,77.4,admitted
Management Sciences,Business Administration,346,"C5, B2, B3, C5, A1",18,76.85,68.65,admitted
Science,Geology,238,"C4, B2, C6, B3, C4",18,62.15,50.0,admitted
Basic Medical Sciences,Physiology,301,"C4, B3, C6, C6, C6",20,69.62,71.55,considered
Law,Law,374,"C5, C5, A1, C5, A1",22,83.95,68.65,admitted
Arts,Islamic Religious Studies,307,"B3, C5, A1, C4, C5",30,83.17,60.225,admitted
Management Sciences,Insurance,241,"C5, A1, C6, A1, C4",15,60.33,67.125,considered
Education,Education French,254,"C6, C6, C6, C4, C5",14,56.95,50.0,admitted
Law,Law,306,"B2, B2, C6, A1, B2",1,56.05,68.65,not admitted
Science,Statistics,343,"C4, B3, A1, B2, A1",2,62.48,50.0,not admitted
Social Sciences,Geography,363,"A1, A1, C6, B3, B2",12,74.17,50.0,admitted
Management Sciences,IRPM,211,"B2, C5, C4, B2, B3",6,47.98,50.0,not admitted
Pharmacy,Pharmacy,235,"C6, B2, A1, A1, B3",17,63.17,76.125,considered
Social Sciences,Geography,337,"B3, B2, C6, C6, B3",6,62.12,50.0,not admitted
Engineering,Computer Engineering,306,"C5, C5, B2, C4, B3",14,66.65,50.0,admitted
Pharmacy,Pharmacy,279,"C5, C4, B2, C4, C5",10,58.88,76.125,not admitted
Education,Education Physics,201,"B3, C4, B3, A1, C5",0,40.73,50.0,not admitted
Engineering,Civil & Environmental Engineering,207,"B2, B2, A1, C4, C6",26,67.88,50.0,admitted
Environmental Sciences,Estate Management,271,"B3, C4, B3, A1, A1",2,53.08,50.0,not admitted
Science,Microbiology,340,"C4, C5, C5, C5, B2",26,82.1,50.0,admitted
Law,Law,215,"A1, A1, B3, A1, C4",1,45.88,68.65,not admitted
Social Sciences,Political Science,258,"C5, B2, C6, A1, B3",19,66.45,68.6,considered
Engineering,Civil & Environmental Engineering,307,"B3, B3, C4, B3, B3",25,78.97,50.0,admitted
Dental Sciences,Dentistry,246,"C6, B3, B3, B2, A1",21,67.75,77.4,considered
Clinical Sciences,Nursing,322,"B2, B3, A1, C4, A1",28,85.85,70.875,admitted
Management Sciences,Accounting,228,"C6, B3, C6, C4, B2",16,58.1,74.1,considered
Clinical Sciences,Radiography,309,"B2, B3, C6, B2, B2",15,69.62,72.525,considered
Dental Sciences,Dentistry,247,"A1, A1, C4, C4, B3",18,65.67,77.4,considered
Clinical Sciences,Physiotherapy,322,"B3, C6, B3, B3, C4",12,66.65,73.75,considered
Social Sciences,Mass Communication,346,"C6, B2, C6, C4, A1",2,59.65,72.35,not admitted
Science,Geophysics,294,"C4, C4, B2, C6, C5",22,72.35,50.0,admitted
Environmental Sciences,Urban & Regional Planning,332,"C4, C5, A1, C5, B2",26,82.7,50.0,admitted
Engineering,Civil & Environmental Engineering,387,"B2, B2, C6, B3, A1",5,69.78,50.0,not admitted
Education,Education Physics,254,"C6, C6, C5, B3, A1",14,59.35,50.0,admitted
Engineering,Biomedical Engineering,311,"C6, A1, A1, C4, C5",12,66.08,50.0,admitted
Management Sciences,Finance,312,"B3, C4, C4, B3, C5",26,79.4,68.9,admitted
Basic Medical Sciences,Physiology,344,"B2, C6, C6, A1, C5",22,79.0,71.55,admitted
Basic Medical Sciences,Medical Laboratory Science,371,"C5, C5, C4, B2, B3",22,82.78,74.675,admitted
Pharmacy,Pharmacy,333,"B3, C4, B2, C5, B2",14,71.22,76.125,considered
Science,Cell Biology & Genetics,366,"B3, A1, B2, C6, B3",0,61.75,50.0,not admitted
Dental Sciences,Dentistry,200,"C6, C6, A1, B3, A1",11,51.2,77.4,not admitted
Management Sciences,Insurance,230,"B2, C6, C4, A1, C5",17,60.55,67.125,considered
Science,Mathematics,279,"C5, B2, B2, C5, A1",22,72.88,50.0,admitted
Arts,French,285,"C4, C4, C6, C4, B2",0,49.62,66.55,not admitted
Arts,English,306,"A1, B3, B3, B3, C6",19,72.85,68.175,admitted
Basic Medical Sciences,Pharmacology,336,"A1, A1, B2, A1, B3",25,85.8,72.625,admitted
Management Sciences,Insurance,227,"C5, B3, B2, C4, C6",0,42.38,67.125,not admitted
Arts,English,339,"C4, B3, B2, C5, C5",27,83.78,68.175,admitted
Arts,Linguistic Igbo/Yoruba,352,"C4, A1, B3, B3, B2",4,64.8,61.175,not admitted
Pharmacy,Pharmacy,382,"C6, C4, C6, B2, B2",9,70.75,76.125,not admitted
Engineering,Computer Engineering,249,"A1, C5, B3, B2, C5",25,71.72,50.0,admitted
Social Sciences,Social Work,238,"C6, C4, C5, A1, B3",20,64.15,50.0,admitted
Management Sciences,Business Administration,356,"B3, B2, B2, C4, B2",23,84.3,68.65,admitted
Dental Sciences,Dentistry,303,"B3, C4, A1, C6, C6",23,74.88,77.4,considered
Social Sciences,Sociology,279,"C5, A1, B2, B2, C4",8,59.27,66.15,not admitted
Clinical Sciences,Medicine and Surgery,378,"C6, C6, C5, C5, C4",11,69.85,80.8,not admitted
Law,Law,206,"B2, C5, B3, B2, C5",14,54.95,68.65,considered
Dental Sciences,Dentistry,251,"B3, B3, A1, C5, C6",30,76.17,77.4,considered
Management Sciences,Business Administration,358,"B2, B3, C6, C6, B3",14,72.75,68.65,admitted
Arts,Chinese,299,"C4, C5, B3, B2, C5",19,70.78,66.7,admitted
Basic Medical Sciences,Medical Laboratory Science,266,"B2, C5, C5, C5, C6",0,46.05,74.675,not admitted
Management Sciences,Actuarial Science,374,"C6, C4, A1, A1, C5",26,87.95,61.875,admitted
Pharmacy,Pharmacy,389,"B3, B3, B2, A1, C4",5,70.42,76.125,not admitted
Basic Medical Sciences,Pharmacology,321,"B2, A1, C4, C5, C5",14,69.33,72.625,considered
Management Sciences,Insurance,339,"B3, C6, B2, C4, C4",0,56.77,67.125,not admitted
Law,Law,296,"C4, A1, C5, C6, C6",6,56.2,68.65,not admitted
Engineering,Surveying & Geoinformatics Engineering,277,"A1, B2, C4, C4, A1",24,75.83,50.0,admitted
Basic Medical Sciences,Pharmacology,310,"B2, C5, C4, B2, B3",20,74.35,72.625,admitted
Clinical Sciences,Nursing,251,"B2, B3, B3, C5, A1",6,53.77,70.875,not admitted
Social Sciences,Psychology,271,"A1, B2, B3, A1, B2",3,55.27,67.4,not admitted
Education,Business Education,366,"C4, B3, C4, A1, C6",25,85.55,50.0,admitted
Social Sciences,Economics,299,"B3, B2, B2, B2, B3",10,64.58,69.95,not admitted
Management Sciences,IRPM,377,"C5, C6, C6, B3, C6",16,74.72,50.0,admitted
Management Sciences,Insurance,274,"B2, C5, B3, B3, C4",25,74.45,67.125,admitted
Clinical Sciences,Radiography,273,"B2, B2, B3, B3, C4",24,74.53,72.525,admitted
Basic Medical Sciences,Physiology,350,"C6, C5, B2, C5, B3",5,62.35,71.55,not admitted
Pharmacy,Pharmacy,390,"C5, A1, A1, A1, B3",0,66.35,76.125,not admitted
Social Sciences,Geography,380,"B3, A1, B2, C6, C6",24,86.3,50.0,admitted
Arts,Chinese,223,"C5, C5, C6, C4, B3",20,60.67,66.7,considered
Science,Zoology,213,"C4, B2, B2, C6, A1",0,42.62,50.0,not admitted
Management Sciences,Accounting,224,"C4, C5, B3, C4, B3",9,51.4,74.1,not admitted
Pharmacy,Pharmacy,203,"C4, C6, C4, C4, B2",6,45.38,76.125,not admitted
Management Sciences,Finance,374,"C4, B2, C6, B2, B2",10,72.35,68.9,not admitted
Clinical Sciences,Physiotherapy,375,"C6, C5, C5, C6, B3",22,80.88,73.75,admitted
Environmental Sciences,Estate Management,331,"A1, A1, C5, B3, C5",14,71.38,50.0,admitted
Arts,Christian Religious Studies,394,"B3, B3, B3, C4, B3",14,78.85,61.625,admitted
Education,Technology Education,343,"C4, A1, B2, B3, A1",6,66.47,50.0,not admitted
Environmental Sciences,Urban & Regional Planning,397,"A1, C6, C5, C5, B3",13,76.62,50.0,admitted
Management Sciences,Finance,252,"C5, C5, B2, C4, B2",8,54.3,68.9,not admitted
Arts,Christian Religious Studies,214,"B2, C4, A1, A1, C6",20,63.15,61.625,admitted
Basic Medical Sciences,Pharmacology,369,"C6, C4, C6, C4, C4",11,69.53,72.625,not admitted
Engineering,Chemical & Petroleum Engineering,373,"A1, A1, A1, C6, B3",3,66.83,50.0,not admitted
Clinical Sciences,Nursing,200,"C6, A1, B3, B2, C4",10,50.6,70.875,not admitted
Clinical Sciences,Physiotherapy,393,"C5, C4, A1, C4, C4",5,68.92,73.75,not admitted
Environmental Sciences,Estate Management,258,"A1, C5, A1, C6, A1",15,63.65,50.0,admitted
Education,Integrated Science Education,242,"C6, A1, C4, C4, C6",2,45.85,50.0,not admitted
Arts,Christian Religious Studies,295,"B2, C5, C6, C5, C6",25,74.28,61.625,admitted
Basic Medical Sciences,Physiology,266,"C6, B3, B3, C4, B2",20,68.05,71.55,considered
Pharmacy,Pharmacy,302,"C4, A1, C5, C4, B2",14,67.35,76.125,considered
Arts,Islamic Religious Studies,225,"A1, B3, B3, B2, C4",24,68.92,60.225,admitted
Science,Mathematics,367,"B2, B2, B3, B3, C5",9,70.88,50.0,not admitted
Clinical Sciences,Medicine and Surgery,304,"B2, C6, B2, C4, C6",11,63.0,80.8,not admitted
Environmental Sciences,Estate Management,261,"A1, C4, A1, B2, C6",30,79.03,50.0,admitted
Pharmacy,Pharmacy,285,"C4, B2, C4, A1, C6",22,72.83,76.125,considered
Social Sciences,Sociology,240,"B2, A1, C6, C5, B2",21,66.6,66.15,admitted
Engineering,Electrical & Electronics Engineering,381,"A1, B3, B2, C5, A1",22,86.83,50.0,admitted
Engineering,Mechanical Engineering,315,"C4, C6, C4, C5, C6",28,79.38,50.0,admitted
Management Sciences,IRPM,202,"B2, B2, C4, C6, C6",12,51.25,50.0,admitted
Education,Education Mathematics,385,"A1, C4, C6, C5, B2",20,82.92,50.0,admitted
Environmental Sciences,Estate Management,398,"C6, B2, B3, C6, C6",8,70.55,50.0,not admitted
Arts,Islamic Religious Studies,324,"C4, C4, C4, C6, C4",18,71.7,60.225,admitted
Arts,Linguistic Igbo/Yoruba,215,"B2, B2, B3, C5, B3",12,54.88,61.175,considered
Management Sciences,Actuarial Science,366,"B3, C5, C5, C6, C5",29,87.15,61.875,admitted
Arts,Philosophy,232,"C6, B2, B2, C4, C5",24,67.4,67.4,admitted
Basic Medical Sciences,Pharmacology,284,"C6, C6, C4, C4, B3",18,66.3,72.625,considered
Engineering,Computer Engineering,206,"C5, B3, C4, C6, B3",25,64.35,50.0,admitted
Dental Sciences,Dentistry,204,"A1, C5, A1, C4, A1",10,52.7,77.4,not admitted
Basic Medical Sciences,Physiology,309,"C6, C6, C4, B2, B3",27,79.22,71.55,admitted
Clinical Sciences,Physiotherapy,283,"C5, C5, B3, C5, C4",18,66.58,73.75,considered
Arts,Christian Religious Studies,337,"C6, B3, A1, B2, A1",27,85.92,61.625,admitted
Pharmacy,Pharmacy,226,"B2, B3, C6, C5, B2",0,43.05,76.125,not admitted
Law,Law,386,"A1, B3, C6, B3, A1",18,82.65,68.65,admitted
Basic Medical Sciences,Medical Laboratory Science,345,"B2, B2, C4, B3, C4",14,73.12,74.675,considered
Clinical Sciences,Medicine and Surgery,339,"B2, C4, C4, A1, A1",13,72.58,80.8,considered
Clinical Sciences,Nursing,240,"B3, C4, B2, B3, C4",19,64.6,70.875,considered
Arts,French,348,"B2, C4, C6, B3, B2",3,61.7,66.55,not admitted
Management Sciences,IRPM,394,"C4, C5, B3, A1, C4",26,90.45,50.0,admitted
Science,Cell Biology & Genetics,262,"C5, C5, C5, C6, C6",19,62.95,50.0,admitted
Social Sciences,Mass Communication,393,"C4, C4, C6, C6, C6",13,73.72,72.35,admitted
Arts,Creative Arts,282,"B3, C5, A1, C6, B2",16,66.45,67.05,considered
Arts,English,214,"C4, B3, A1, C6, C4",30,71.55,68.175,admitted
Law,Law,218,"C5, B2, C4, B3, B3",27,69.45,68.65,admitted
Dental Sciences,Dentistry,367,"B2, B2, B2, B3, B3",27,90.08,77.4,admitted
Management Sciences,IRPM,313,"C5, A1, A1, A1, C6",6,61.52,50.0,not admitted
Law,Law,222,"C5, C4, C4, B2, A1",8,51.35,68.65,not admitted
Environmental Sciences,Building,383,"A1, C4, B2, C6, C6",29,91.28,50.0,admitted
Engineering,Chemical & Petroleum Engineering,356,"A1, C5, C4, B2, C5",8,67.7,50.0,not admitted
Social Sciences,Psychology,305,"A1, B3, C4, B3, C6",5,58.33,67.4,not admitted
Arts,English,279,"B3, B2, B3, C5, B2",3,53.88,68.175,not admitted
Pharmacy,Pharmacy,301,"B2, C5, B3, C4, C6",28,79.62,76.125,admitted
Basic Medical Sciences,Medical Laboratory Science,277,"C6, B2, A1, C5, C5",13,62.02,74.675,considered
Dental Sciences,Dentistry,285,"C6, C6, C6, B3, B2",16,64.42,77.4,considered
Clinical Sciences,Physiotherapy,355,"C4, A1, C5, C6, C5",16,73.97,73.75,admitted
Dental Sciences,Dentistry,263,"A1, B3, B3, B3, B3",9,58.67,77.4,not admitted
Dental Sciences,Dentistry,312,"C6, C6, C4, B2, A1",18,71.4,77.4,considered
Environmental Sciences,Urban & Regional Planning,355,"C6, A1, B2, B3, C5",17,76.58,50.0,admitted
Social Sciences,Geography,262,"A1, B2, C6, C4, C5",19,66.55,50.0,admitted
Clinical Sciences,Physiotherapy,276,"B3, B3, C5, B2, C5",29,78.3,73.75,admitted
Engineering,Systems Engineering,354,"C5, B3, B2, A1, C6",25,84.45,50.0,admitted
Environmental Sciences,Quantity Surveying,290,"C4, C4, B3, B3, C4",18,69.05,50.0,admitted
Arts,Russian,221,"B3, B3, C6, C6, C6",13,53.02,67.65,considered
Education,Education Chemistry,361,"A1, A1, B3, B2, B2",24,87.53,50.0,admitted
Social Sciences,Psychology,252,"A1, C4, B2, A1, C4",17,65.7,67.4,considered
Education,Education Physics,361,"B3, C4, B3, C4, C5",11,70.53,50.0,not admitted
Education,Education Igbo,334,"B2, C6, C5, B3, C4",22,77.75,50.0,admitted
Dental Sciences,Dentistry,209,"B3, C5, B3, C4, B3",2,42.92,77.4,not admitted
Social Sciences,Social Work,374,"B2, B2, C4, C5, B3",6,68.35,50.0,not admitted
Environmental Sciences,Estate Management,350,"B3, C4, C5, B3, B2",26,84.95,50.0,admitted
Law,Law,214,"B3, C5, B3, C5, A1",25,66.95,68.65,considered
Science,Industrial Mathematics,218,"B3, C4, B3, C6, C6",2,42.45,50.0,not admitted
Engineering,Electrical & Electronics Engineering,387,"C4, B3, C6, C5, A1",27,89.78,50.0,admitted
Environmental Sciences,Quantity Surveying,296,"C6, C6, B2, C5, A1",29,80.0,50.0,admitted
Environmental Sciences,Urban & Regional Planning,317,"B2, A1, C4, C6, C5",15,69.42,50.0,admitted
Education,Education Christian Religious Studies,321,"C5, C6, C6, C5, C4",26,77.72,50.0,admitted
Social Sciences,Sociology,279,"C4, C5, C6, A1, B2",19,68.67,66.15,admitted
Management Sciences,IRPM,361,"C5, A1, C6, B3, C4",12,71.53,50.0,admitted
Social Sciences,Mass Communication,329,"A1, C5, C4, B3, B2",26,83.12,72.35,admitted
Science,Cell Biology & Genetics,291,"C6, A1, B2, B2, C5",18,69.97,50.0,admitted
Education,Education Igbo,204,"C6, C6, C4, C6, C4",30,67.1,50.0,admitted
Law,Law,336,"C5, B3, C6, B3, B3",30,86.0,68.65,admitted
Social Sciences,Social Work,205,"C6, A1, C5, C5, B3",16,55.62,50.0,admitted
Environmental Sciences,Building,381,"B2, B3, C6, B2, B2",5,68.62,50.0,not admitted
Environmental Sciences,Quantity Surveying,386,"B3, A1, C4, B2, C4",2,66.65,50.0,not admitted
Law,Law,234,"C4, C4, C6, B3, C5",22,64.45,68.65,considered
Basic Medical Sciences,Pharmacology,398,"C6, B2, B2, B2, B2",16,82.15,72.625,admitted
Education,Early Childhood Education,281,"C5, C6, B2, B2, B2",27,77.33,50.0,admitted
Arts,Russian,393,"C5, C6, C6, C4, C6",29,89.33,67.65,admitted
Pharmacy,Pharmacy,327,"C5, B2, C6, B2, C5",26,80.88,76.125,admitted
Science,Chemistry,298,"C4, C6, A1, A1, C4",14,66.85,50.0,admitted
Arts,Philosophy,260,"C5, A1, A1, C4, B3",0,48.9,67.4,not admitted
Basic Medical Sciences,Physiology,392,"B3, A1, B3, C6, B2",4,69.0,71.55,not admitted
Arts,Linguistic Igbo/Yoruba,227,"C4, C6, B2, C6, C6",23,63.77,61.175,admitted
Clinical Sciences,Physiotherapy,346,"C6, B2, C4, A1, B2",4,63.25,73.75,not admitted
Arts,Philosophy,275,"A1, B2, B3, C4, B3",27,78.17,67.4,admitted
Science,Chemistry,266,"B2, A1, B2, A1, A1",24,76.45,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,288,"C5, B3, C6, B3, A1",10,60.8,74.675,not admitted
Management Sciences,Accounting,379,"C5, C6, B2, B2, C6",25,85.97,74.1,admitted
Science,Cell Biology & Genetics,255,"B3, B3, C5, C4, A1",8,55.48,50.0,not admitted
Engineering,Electrical & Electronics Engineering,241,"A1, C6, C6, B3, A1",25,70.33,50.0,admitted
Social Sciences,Geography,296,"B2, C4, C4, C6, C6",27,77.2,50.0,admitted
Dental Sciences,Dentistry,361,"C6, B3, C5, B2, A1",18,78.33,77.4,admitted
Law,Law,247,"C5, C6, C6, C6, B2",29,71.88,68.65,admitted
Management Sciences,Actuarial Science,366,"A1, C4, C6, C5, B2",30,90.55,61.875,admitted
Science,Physics,207,"B3, B3, C4, B2, C5",23,64.08,50.0,admitted
Social Sciences,Psychology,387,"A1, B2, C4, C5, B3",2,66.38,67.4,not admitted
Social Sciences,Social Work,228,"B3, C4, C5, B2, B3",14,57.7,50.0,admitted
Pharmacy,Pharmacy,391,"B2, B3, C6, C5, C6",25,87.08,76.125,admitted
Science,Mathematics,219,"C6, C6, B2, C5, A1",23,64.38,50.0,admitted
Management Sciences,Actuarial Science,225,"C5, C4, B2, A1, C5",13,56.33,61.875,considered
Dental Sciences,Dentistry,368,"A1, B3, C6, B2, C4",17,78.6,77.4,admitted
Basic Medical Sciences,Physiology,267,"B2, B3, C4, B2, B2",4,54.17,71.55,not admitted
Law,Law,372,"C5, A1, A1, B2, C5",15,77.9,68.65,admitted
Social Sciences,Mass Communication,361,"C4, B3, B2, B3, C6",13,72.92,72.35,admitted
Science,Marine Biology,324,"C6, C6, A1, C6, C6",5,57.5,50.0,not admitted
Science,Industrial Mathematics,225,"C6, B3, A1, B3, C5",5,47.92,50.0,not admitted
Law,Law,385,"C6, C5, C6, A1, A1",8,70.53,68.65,not admitted
Management Sciences,Business Administration,231,"C6, B3, B3, B3, B3",22,65.67,68.65,considered
Management Sciences,Accounting,370,"C4, B2, B3, C6, B2",3,64.45,74.1,not admitted
Law,Law,278,"C5, C4, C6, B3, C4",13,60.95,68.65,considered
Arts,English,375,"B2, B2, C5, B3, B2",14,77.28,68.175,admitted
Clinical Sciences,Nursing,374,"B2, B3, A1, C6, C4",25,87.35,70.875,admitted
Science,Computer Science,361,"C6, B2, C4, B2, C4",14,73.92,71.75,admitted
Science,Physics,250,"A1, C4, B2, C6, A1",29,76.65,50.0,admitted
Social Sciences,Social Work,317,"B3, C4, C6, B3, C6",18,70.83,50.0,admitted
