Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,utme_gap,aggregate_gap,Olevel_Valid,olevel_avg_points,admitted_numeric
Environmental Design and Management,Quantity Surveying,235,170,63.25,60.5,65,2.75,1,3.6,1
Communications and Media Studies,Journalism,264,150,64.6,64.0,114,0.6,1,3.0,1
Arts,Linguistics and Language,170,150,40.5,55.0,20,-14.5,1,3.0,0
Education,Mathematics Education,345,150,67.75,55.5,195,12.25,1,3.2,1
Environmental Design and Management,Architecture,345,210,81.75,66.25,135,15.5,1,4.0,1
Science,Geology,188,150,48.2,59.5,38,-11.3,1,2.0,0
Pharmacy,Doctor of Pharmacy,328,240,70.2,55.0,88,15.2,1,4.2,1
Science,Industrial Chemistry,257,150,68.55,60.5,107,8.05,1,4.0,1
Engineering,Meterials and Metallurgical Engineering,251,150,48.65,55.0,101,-6.35,1,2.2,0
Agriculture,Agricultural Economics and Extension,247,150,54.05,57.8,97,-3.75,1,3.4,0
Pharmacy,Doctor of Pharmacy,319,240,78.85,55.0,79,23.85,1,4.2,1
Education,Chemistry Education,274,150,59.1,55.0,124,4.1,1,3.6,1
Science,Mathematics,284,150,73.6,55.5,134,18.1,1,4.2,1
Engineering,Agricultural and Bio-Resources Engineering,207,160,57.05,55.0,47,2.05,1,3.2,1
Environmental Design and Management,Estate Management,216,160,64.4,57.5,56,6.9,1,4.4,1
Engineering,Electrical and Electronics Engineering,331,200,69.65,63.3,131,6.35,1,4.0,1
College of Medicine,Medicine and Surgery,290,260,74.5,55.0,30,19.5,1,4.2,1
Pharmacy,Doctor of Pharmacy,249,240,68.35,55.0,9,13.35,1,4.2,1
Education,Human Kinetics,268,150,56.2,54.9,118,1.3,1,3.2,1
Basic Medical Science,Anatomy,197,180,57.55,63.3,17,-5.75,1,3.6,0
Arts,Linguistics and Language,263,150,57.45,55.0,113,2.45,1,3.6,1
Communications and Media Studies,Broadcasting,216,150,45.4,64.0,66,-18.6,1,2.6,0
Arts, English and Literary Studies,166,150,51.9,55.0,16,-3.1,1,3.4,0
Law,Law,235,240,52.25,55.0,-5,-2.75,1,3.4,0
Pharmacy,Doctor of Pharmacy,311,240,62.65,55.0,71,7.65,1,3.2,1
Law,Law,168,240,57.2,55.0,-72,2.2,1,4.4,0
Agriculture,Hospitality and Tourism Management,181,150,55.15,58.45,31,-3.3,1,3.6,0
Science,Biochemistry,162,180,45.3,63.75,-18,-18.45,1,4.2,0
Communications and Media Studies,Pulic Relations,269,150,60.35,55.0,119,5.35,1,2.0,1
Pharmacy,Doctor of Pharmacy,182,240,41.3,55.0,-58,-13.7,1,2.8,0
Basic Medical Science,Medical Laboratory Science,255,200,62.25,72.3,55,-10.05,1,2.8,0
Environmental Design and Management,Quantity Surveying,187,170,49.05,60.5,17,-11.45,1,4.2,0
Social Sciences,Psychology,324,150,68.6,64.5,174,4.1,1,4.0,1
Education,Human Kinetics,180,150,47.0,54.9,30,-7.9,1,4.0,0
College of Medicine,Medicine and Surgery,268,260,67.2,55.0,8,12.2,1,3.4,1
Environmental Design and Management,Building,270,170,62.5,57.5,100,5.0,1,2.4,1
Engineering,Computer Engineering,350,200,70.5,64.3,150,6.2,1,3.6,1
Agriculture,Agricultural Economics and Extension,149,150,36.35,57.8,-1,-21.45,1,2.8,0
Arts,Theatre and Media Arts,222,200,43.3,65.8,22,-22.5,1,2.0,0
Management Sciences,Public Administration,311,160,62.65,55.0,151,7.65,1,3.2,1
College of Medicine,Medicine and Surgery,229,260,49.35,55.0,-31,-5.65,1,3.0,0
Communications and Media Studies,Pulic Relations,202,150,50.3,55.0,52,-4.7,1,4.0,0
Education,Physics Education,206,150,44.9,53.6,56,-8.7,1,2.8,0
Agriculture,Hospitality and Tourism Management,289,150,66.35,58.45,139,7.9,1,4.6,1
Arts,Linguistics and Language,232,150,53.8,55.0,82,-1.2,1,3.8,0
Law,Law,273,240,70.95,55.0,33,15.95,1,4.0,1
Basic Medical Science,Physiology,249,180,58.35,61.5,69,-3.15,1,4.2,0
Social Sciences,Sociology,195,160,51.25,63.95,35,-12.7,1,2.4,0
Environmental Design and Management,Urban and Regional Planning,178,150,49.7,56.0,28,-6.3,1,2.6,0
Education,Biology Education,247,150,55.05,55.0,97,0.05,1,3.6,1
Management Sciences,Finance,235,160,67.25,55.0,75,12.25,1,4.4,1
Environmental Design and Management,Quantity Surveying,299,170,69.85,60.5,129,9.35,1,5.0,1
Social Sciences,Demography and Social Statistics,212,150,52.8,60.5,62,-7.7,1,2.2,0
Law,Law,297,240,70.55,55.0,57,15.55,1,3.2,1
Communications and Media Studies,Journalism,254,150,56.1,64.0,104,-7.9,1,3.6,0
Agriculture,Agricultural Economics and Extension,329,150,70.35,57.8,179,12.55,1,4.2,1
Pharmacy,Doctor of Pharmacy,141,240,48.15,55.0,-99,-6.85,1,3.4,0
Law,Law,332,240,82.8,55.0,92,27.8,1,4.6,1
Communications and Media Studies,Broadcasting,171,150,39.65,64.0,21,-24.35,1,2.8,0
Education,Mathematics Education,195,150,46.25,55.5,45,-9.25,1,3.4,0
Education,Biology Education,198,150,59.7,55.0,48,4.7,1,4.0,1
Education,Biology Education,253,150,64.95,55.0,103,9.95,1,3.4,1
Management Sciences,Accounting,189,200,50.35,55.0,-11,-4.65,1,4.4,0
Law,Law,202,240,41.3,55.0,-38,-13.7,1,2.2,0
Agriculture,Fisheries and Aquaculture,271,150,71.65,50.3,121,21.35,1,4.2,1
Education,Mathematics Education,289,150,58.35,55.5,139,2.85,1,3.0,1
Social Sciences,Demography and Social Statistics,300,150,69.0,60.5,150,8.5,1,2.8,1
Science,Geology,157,150,54.55,59.5,7,-4.95,1,4.2,0
Social Sciences,Geography,344,150,83.6,55.0,194,28.6,1,4.4,1
Law,Law,323,240,67.45,55.0,83,12.45,1,3.8,1
Management Sciences,Finance,341,160,70.15,55.0,181,15.15,1,3.8,1
Basic Medical Science,Anatomy,201,180,43.15,63.3,21,-20.15,1,2.6,0
Agriculture,Hospitality and Tourism Management,155,150,54.25,58.45,5,-4.2,1,4.2,0
Communications and Media Studies,Pulic Relations,329,150,71.35,55.0,179,16.35,1,4.4,1
Science,Mathematics,261,150,63.15,55.5,111,7.65,1,2.8,1
Education,Health Education,300,150,77.0,57.95,150,19.05,1,4.4,1
College of Medicine,Medicine and Surgery,194,260,45.1,55.0,-66,-9.9,1,3.2,0
Pharmacy,Doctor of Pharmacy,256,240,54.4,55.0,16,-0.6,1,3.2,0
Engineering,Electrical and Electronics Engineering,300,200,76.0,63.3,100,12.7,1,4.2,1
Engineering,Electrical and Electronics Engineering,197,200,60.55,63.3,-3,-2.75,1,4.2,0
Law,Law,190,240,48.5,55.0,-50,-6.5,1,2.0,0
Management Sciences,Finance,275,160,69.25,55.0,115,14.25,1,3.6,1
Agriculture,Water Resources Management and Agrometeorology,201,150,61.15,55.0,51,6.15,1,4.2,1
Communications and Media Studies,Broadcasting,227,150,60.05,64.0,77,-3.95,1,3.2,0
Social Sciences,Sociology,239,160,69.85,63.95,79,5.9,1,4.8,1
Basic Medical Science,Anatomy,241,180,56.15,63.3,61,-7.15,1,4.0,0
Agriculture,Agricultural Economics and Extension,347,150,73.05,57.8,197,15.25,1,4.2,1
Basic Medical Science,Physiology,272,180,61.8,61.5,92,0.3,1,4.2,1
Arts, English and Literary Studies,206,150,60.9,55.0,56,5.9,1,4.0,1
Basic Medical Science,Medical Laboratory Science,170,200,43.5,72.3,-30,-28.8,1,3.6,0
Engineering,Electrical and Electronics Engineering,340,200,71.0,63.3,140,7.7,1,4.0,1
Communications and Media Studies,Mass Communication,218,220,61.7,66.3,-2,-4.6,1,3.8,0
Law,Law,302,240,67.3,55.0,62,12.3,1,2.4,1
Agriculture,Animal Production and Health,339,150,67.85,61.3,189,6.55,1,3.4,1
Social Sciences,Economics,178,180,43.7,63.75,-2,-20.05,1,3.4,0
Law,Law,174,240,55.1,55.0,-66,0.1,1,3.8,0
Environmental Design and Management,Survey and Geo-informatics,252,150,52.8,55.0,102,-2.2,1,3.0,0
Science,Biochemistry,259,180,55.85,63.75,79,-7.9,1,3.4,0
Communications and Media Studies,Mass Communication,279,220,57.85,66.3,59,-8.45,1,3.2,0
Science,Statistics,183,150,57.45,54.5,33,2.95,1,4.0,1
Communications and Media Studies,Pulic Relations,269,150,67.35,55.0,119,12.35,1,3.4,1
Engineering,Mechanical Engineering,180,200,58.0,65.0,-20,-7.0,1,4.2,0
Law,Law,220,240,64.0,55.0,-20,9.0,1,4.2,0
Pharmacy,Doctor of Pharmacy,153,240,57.95,55.0,-87,2.95,1,5.0,0
Basic Medical Science,Nursing Science,238,150,61.7,55.0,88,6.7,1,3.2,1
Science,Zoology,157,150,46.55,55.5,7,-8.95,1,4.6,0
Pharmacy,Doctor of Pharmacy,320,240,72.0,55.0,80,17.0,1,2.8,1
Management Sciences,Business Administration,150,200,36.5,55.0,-50,-18.5,1,2.8,0
Environmental Design and Management,Survey and Geo-informatics,152,150,45.8,55.0,2,-9.2,1,2.6,0
Pharmacy,Doctor of Pharmacy,277,240,59.55,55.0,37,4.55,1,3.6,1
College of Medicine,Medicine and Surgery,281,260,63.15,55.0,21,8.15,1,4.2,1
Engineering,Meterials and Metallurgical Engineering,291,150,61.65,55.0,141,6.65,1,3.6,1
Agriculture,Hospitality and Tourism Management,203,150,44.45,58.45,53,-14.0,1,2.8,0
Social Sciences,Political Science,277,180,62.55,62.5,97,0.05,1,2.2,1
Arts, English and Literary Studies,277,150,76.55,55.0,127,21.55,1,5.0,1
Social Sciences,Political Science,289,180,66.35,62.5,109,3.85,1,2.6,1
Communications and Media Studies,Pulic Relations,239,150,56.85,55.0,89,1.85,1,4.2,1
Basic Medical Science,Anatomy,149,180,42.35,63.3,-31,-20.95,1,4.0,0
College of Medicine,Medicine and Surgery,242,260,58.3,55.0,-18,3.3,1,4.4,0
Management Sciences,Business Administration,162,200,41.3,55.0,-38,-13.7,1,3.4,0
Engineering,Mechanical Engineering,263,200,55.45,65.0,63,-9.55,1,3.2,0
Basic Medical Science,Anatomy,206,180,50.9,63.3,26,-12.4,1,4.0,0
Communications and Media Studies,Mass Communication,276,220,72.4,66.3,56,6.1,1,4.2,1
Law,Law,346,240,67.9,55.0,106,12.9,1,3.2,1
Pharmacy,Doctor of Pharmacy,271,240,58.65,55.0,31,3.65,1,3.6,1
Law,Law,148,240,39.2,55.0,-92,-15.8,1,3.4,0
Engineering,Computer Engineering,339,200,80.85,64.3,139,16.55,1,4.0,1
Science,Geology,328,150,62.2,59.5,178,2.7,1,2.6,1
Engineering,Meterials and Metallurgical Engineering,173,150,43.95,55.0,23,-11.05,1,3.6,0
Pharmacy,Doctor of Pharmacy,221,240,51.15,55.0,-19,-3.85,1,1.6,0
Pharmacy,Doctor of Pharmacy,299,240,69.85,55.0,59,14.85,1,3.0,1
Engineering,Mechanical Engineering,315,200,65.25,65.0,115,0.25,1,3.6,1
Communications and Media Studies,Mass Communication,145,220,36.75,66.3,-75,-29.55,1,3.0,0
College of Medicine,Medicine and Surgery,188,260,48.2,55.0,-72,-6.8,1,4.0,0
Environmental Design and Management,Building,149,170,53.35,57.5,-21,-4.15,1,4.2,0
Arts,Linguistics and Language,193,150,51.95,55.0,43,-3.05,1,2.6,0
Education,Biology Education,249,150,58.35,55.0,99,3.35,1,4.2,1
Pharmacy,Doctor of Pharmacy,168,240,48.2,55.0,-72,-6.8,1,4.6,0
Basic Medical Science,Anatomy,203,180,53.45,63.3,23,-9.85,1,2.6,0
College of Medicine,Medicine and Surgery,329,260,78.35,55.0,69,23.35,1,3.8,1
Arts,Linguistics and Language,340,150,69.0,55.0,190,14.0,1,3.6,1
Education,Biology Education,314,150,64.1,55.0,164,9.1,1,3.4,1
Education,Mathematics Education,279,150,59.85,55.5,129,4.35,1,3.6,1
Law,Law,280,240,64.0,55.0,40,9.0,1,4.4,1
Agriculture,Food Science and Technology,199,150,45.85,58.0,49,-12.15,1,3.2,0
Environmental Design and Management,Estate Management,271,160,65.65,57.5,111,8.15,1,3.0,1
Agriculture,Food Science and Technology,236,150,66.4,58.0,86,8.4,1,4.2,1
Communications and Media Studies,Mass Communication,291,220,70.65,66.3,71,4.35,1,3.4,1
College of Medicine,Medicine and Surgery,322,260,73.3,55.0,62,18.3,1,3.0,1
Pharmacy,Doctor of Pharmacy,173,240,42.95,55.0,-67,-12.05,1,3.4,0
Environmental Design and Management,Survey and Geo-informatics,203,150,68.45,55.0,53,13.45,1,5.6,1
Education,Library and Information Science,317,150,72.55,64.5,167,8.05,1,3.0,1
Environmental Design and Management,Survey and Geo-informatics,179,150,55.85,55.0,29,0.85,1,3.8,1
Engineering,Electrical and Electronics Engineering,179,200,52.85,63.3,-21,-10.45,1,3.2,0
Management Sciences,Business Administration,158,200,52.7,55.0,-42,-2.3,1,3.8,0
Social Sciences,Sociology,317,160,66.55,63.95,157,2.6,1,3.8,1
Education,Human Kinetics,196,150,57.4,54.9,46,2.5,1,3.6,1
Education,Mathematics Education,309,150,67.35,55.5,159,11.85,1,4.2,1
College of Medicine,Medicine and Surgery,209,260,36.35,55.0,-51,-18.65,1,1.0,0
Social Sciences,Demography and Social Statistics,312,150,69.8,60.5,162,9.3,1,4.6,1
Pharmacy,Doctor of Pharmacy,162,240,41.3,55.0,-78,-13.7,1,3.4,0
Engineering,Agricultural and Bio-Resources Engineering,235,160,59.25,55.0,75,4.25,1,2.8,1
Science,Industrial Chemistry,148,150,45.2,60.5,-2,-15.3,1,4.6,0
Law,Law,198,240,41.7,55.0,-42,-13.3,1,2.4,0
Agriculture,Water Resources Management and Agrometeorology,156,150,54.4,55.0,6,-0.6,1,4.2,0
Management Sciences,Finance,168,160,40.2,55.0,8,-14.8,1,3.0,0
Engineering,Electrical and Electronics Engineering,221,200,51.15,63.3,21,-12.15,1,3.6,0
Education,Guidance and Counselling,188,150,58.2,59.05,38,-0.85,1,4.0,0
Environmental Design and Management,Architecture,174,210,55.1,66.25,-36,-11.15,1,3.8,0
Law,Law,313,240,57.95,55.0,73,2.95,1,2.2,1
Arts,Linguistics and Language,287,150,57.05,55.0,137,2.05,1,2.8,1
Basic Medical Science,Physiology,227,180,58.05,61.5,47,-3.45,1,2.8,0
Social Sciences,Psychology,202,150,64.3,64.5,52,-0.2,1,4.8,0
Science,Computer Science,171,200,43.65,65.3,-29,-21.65,1,3.6,0
Management Sciences,Accounting,161,200,51.15,55.0,-39,-3.85,1,3.4,0
Education,Physics Education,183,150,54.45,53.6,33,0.85,1,3.4,1
Agriculture,Fisheries and Aquaculture,285,150,57.75,50.3,135,7.45,1,3.0,1
Basic Medical Science,Physiology,341,180,83.15,61.5,161,21.65,1,4.4,1
Engineering,Civil Engineering,348,200,76.2,65.0,148,11.2,1,2.8,1
Management Sciences,Business Administration,212,200,58.8,55.0,12,3.8,1,3.4,1
Environmental Design and Management,Urban and Regional Planning,211,150,42.65,56.0,61,-13.35,1,2.2,0
Management Sciences,Business Administration,208,200,44.2,55.0,8,-10.8,1,2.6,0
Science,Botany,184,150,58.6,53.5,34,5.1,1,4.2,1
Basic Medical Science,Anatomy,349,180,75.35,63.3,169,12.05,1,4.6,1
Environmental Design and Management,Quantity Surveying,293,170,60.95,60.5,123,0.45,1,3.4,1
Engineering,Mechanical Engineering,162,200,48.3,65.0,-38,-16.7,1,2.8,0
Education,Library and Information Science,209,150,45.35,64.5,59,-19.15,1,2.8,0
Communications and Media Studies,Pulic Relations,207,150,56.05,55.0,57,1.05,1,3.0,1
Agriculture,Food Science and Technology,264,150,64.6,58.0,114,6.6,1,3.0,1
Engineering,Civil Engineering,350,200,68.5,65.0,150,3.5,1,3.2,1
Law,Law,250,240,56.5,55.0,10,1.5,1,3.8,1
Engineering,Electrical and Electronics Engineering,318,200,73.7,63.3,118,10.4,1,3.2,1
Management Sciences,Public Administration,338,160,79.7,55.0,178,24.7,1,5.8,1
Arts, English and Literary Studies,267,150,59.05,55.0,117,4.05,1,1.8,1
Agriculture,Water Resources Management and Agrometeorology,313,150,67.95,55.0,163,12.95,1,4.2,1
Arts,Linguistics and Language,206,150,60.9,55.0,56,5.9,1,4.0,1
Arts, English and Literary Studies,346,150,71.9,55.0,196,16.9,1,4.0,1
Environmental Design and Management,Urban and Regional Planning,276,150,54.4,56.0,126,-1.6,1,2.6,0
Arts,History and International Studies,317,180,65.55,67.8,137,-2.25,1,3.6,0
Arts, English and Literary Studies,347,150,80.05,55.0,197,25.05,1,3.6,1
Education,Library and Information Science,216,150,64.4,64.5,66,-0.1,1,4.4,0
Agriculture,Fisheries and Aquaculture,271,150,66.65,50.3,121,16.35,1,3.2,1
Social Sciences,Political Science,244,180,62.6,62.5,64,0.1,1,3.2,1
Social Sciences,Political Science,284,180,74.6,62.5,104,12.1,1,4.4,1
Basic Medical Science,Anatomy,300,180,72.0,63.3,120,8.7,1,3.4,1
Management Sciences,Accounting,248,200,48.2,55.0,48,-6.8,1,2.2,0
Science,Statistics,269,150,59.35,54.5,119,4.85,1,3.8,1
Engineering,Meterials and Metallurgical Engineering,243,150,64.45,55.0,93,9.45,1,3.6,1
Arts,Linguistics and Language,333,150,64.95,55.0,183,9.95,1,3.0,1
Pharmacy,Doctor of Pharmacy,192,240,44.8,55.0,-48,-10.2,1,3.2,0
College of Medicine,Medicine and Surgery,215,260,54.25,55.0,-45,-0.75,1,4.4,0
College of Medicine,Medicine and Surgery,254,260,61.1,55.0,-6,6.1,1,2.6,0
Basic Medical Science,Radiology and Radiography,335,200,74.25,71.3,135,2.95,1,2.8,1
Engineering,Mechanical Engineering,313,200,64.95,65.0,113,-0.05,1,3.6,0
Social Sciences,Psychology,315,150,83.25,64.5,165,18.75,1,5.2,1
Arts,Theatre and Media Arts,320,200,71.0,65.8,120,5.2,1,2.6,1
Management Sciences,Accounting,216,200,51.4,55.0,16,-3.6,1,3.8,0
Communications and Media Studies,Broadcasting,273,150,55.95,64.0,123,-8.05,1,3.0,0
Basic Medical Science,Anatomy,297,180,64.55,63.3,117,1.25,1,2.0,1
Basic Medical Science,Nursing Science,207,150,58.05,55.0,57,3.05,1,3.4,1
Science,Industrial Chemistry,158,150,42.7,60.5,8,-17.8,1,3.8,0
Law,Law,174,240,51.1,55.0,-66,-3.9,1,5.0,0
Basic Medical Science,Radiology and Radiography,153,200,38.95,71.3,-47,-32.35,1,3.2,0
Education,Library and Information Science,195,150,48.25,64.5,45,-16.25,1,3.8,0
Basic Medical Science,Anatomy,152,180,46.8,63.3,-28,-16.5,1,2.8,0
Environmental Design and Management,Building,153,170,52.95,57.5,-17,-4.55,1,4.0,0
Engineering,Mechatronics Engineering,157,220,40.55,65.0,-63,-24.45,1,3.4,0
Management Sciences,Accounting,164,200,47.6,55.0,-36,-7.4,1,2.6,0
Social Sciences,Criminology and Security Studies,349,200,81.35,55.0,149,26.35,1,3.8,1
Basic Medical Science,Physiology,258,180,60.7,61.5,78,-0.8,1,2.4,0
Environmental Design and Management,Survey and Geo-informatics,148,150,40.2,55.0,-2,-14.8,1,3.6,0
Communications and Media Studies,Journalism,180,150,56.0,64.0,30,-8.0,1,3.8,0
College of Medicine,Medicine and Surgery,238,260,50.7,55.0,-22,-4.3,1,3.0,0
Law,Law,144,240,35.6,55.0,-96,-19.4,1,2.8,0
Law,Law,285,240,63.75,55.0,45,8.75,1,4.2,1
Communications and Media Studies,Mass Communication,256,220,59.4,66.3,36,-6.9,1,4.2,0
Science,Mathematics,167,150,56.05,55.5,17,0.55,1,4.2,1
Pharmacy,Doctor of Pharmacy,250,240,57.5,55.0,10,2.5,1,4.0,1
Engineering,Computer Engineering,155,200,42.25,64.3,-45,-22.05,1,3.8,0
Communications and Media Studies,Broadcasting,254,150,70.1,64.0,104,6.1,1,4.4,1
Basic Medical Science,Physiology,186,180,44.9,61.5,6,-16.6,1,3.4,0
Communications and Media Studies,Mass Communication,300,220,62.0,66.3,80,-4.3,1,3.4,0
Pharmacy,Doctor of Pharmacy,153,240,41.95,55.0,-87,-13.05,1,3.8,0
Education,Human Kinetics,187,150,43.05,54.9,37,-11.85,1,3.0,0
Agriculture,Soil Science and Land Resources Management,167,150,50.05,55.0,17,-4.95,1,3.0,0
Social Sciences,Criminology and Security Studies,312,200,70.8,55.0,112,15.8,1,2.8,1
Law,Law,306,240,69.9,55.0,66,14.9,1,2.8,1
Environmental Design and Management,Building,164,170,52.6,57.5,-6,-4.9,1,3.6,0
Arts, English and Literary Studies,153,150,47.95,55.0,3,-7.05,1,3.0,0
Engineering,Electrical and Electronics Engineering,189,200,60.35,63.3,-11,-2.95,1,4.4,0
Law,Law,264,240,64.6,55.0,24,9.6,1,3.0,1
Engineering,Mechatronics Engineering,158,220,51.7,65.0,-62,-13.3,1,3.6,0
Law,Law,259,240,61.85,55.0,19,6.85,1,2.6,1
Environmental Design and Management,Quantity Surveying,341,170,83.15,60.5,171,22.65,1,4.4,1
Social Sciences,Geography,252,150,53.8,55.0,102,-1.2,1,3.2,0
Communications and Media Studies,Mass Communication,150,220,35.5,66.3,-70,-30.8,1,2.6,0
College of Medicine,Medicine and Surgery,311,260,67.65,55.0,51,12.65,1,2.2,1
Pharmacy,Doctor of Pharmacy,247,240,52.05,55.0,7,-2.95,1,3.0,0
Management Sciences,Public Administration,227,160,51.05,55.0,67,-3.95,1,3.4,0
Social Sciences,Psychology,286,150,64.9,64.5,136,0.4,1,2.4,1
Science,Geology,189,150,56.35,59.5,39,-3.15,1,3.6,0
Management Sciences,Public Administration,142,160,46.3,55.0,-18,-8.7,1,3.0,0
Pharmacy,Doctor of Pharmacy,220,240,47.0,55.0,-20,-8.0,1,2.8,0
Pharmacy,Doctor of Pharmacy,326,240,74.9,55.0,86,19.9,1,3.2,1
Science,Industrial Chemistry,169,150,46.35,60.5,19,-14.15,1,4.2,0
Basic Medical Science,Physiology,249,180,66.35,61.5,69,4.85,1,3.8,1
Education,Biology Education,200,150,49.0,55.0,50,-6.0,1,3.8,0
Management Sciences,Finance,176,160,57.4,55.0,16,2.4,1,4.2,1
Education,Physics Education,284,150,77.6,53.6,134,24.0,1,5.0,1
Basic Medical Science,Medical Laboratory Science,177,200,47.55,72.3,-23,-24.75,1,4.2,0
Pharmacy,Doctor of Pharmacy,299,240,60.85,55.0,59,5.85,1,3.2,1
Agriculture,Agricultural Economics and Extension,209,150,44.35,57.8,59,-13.45,1,2.6,0
Communications and Media Studies,Journalism,299,150,65.85,64.0,149,1.85,1,2.2,1
College of Medicine,Medicine and Surgery,198,260,43.7,55.0,-62,-11.3,1,2.8,0
Social Sciences,Geography,221,150,49.15,55.0,71,-5.85,1,3.2,0
Management Sciences,Public Administration,227,160,60.05,55.0,67,5.05,1,3.2,1
Pharmacy,Doctor of Pharmacy,140,240,56.0,55.0,-100,1.0,1,5.0,0
College of Medicine,Medicine and Surgery,341,260,64.15,55.0,81,9.15,1,2.6,1
Pharmacy,Doctor of Pharmacy,158,240,41.7,55.0,-82,-13.3,1,3.6,0
Social Sciences,Sociology,259,160,72.85,63.95,99,8.9,1,4.8,1
Pharmacy,Doctor of Pharmacy,244,240,52.6,55.0,4,-2.4,1,3.2,0
Social Sciences,Criminology and Security Studies,202,200,55.3,55.0,2,0.3,1,3.0,1
College of Medicine,Medicine and Surgery,250,260,53.5,55.0,-10,-1.5,1,3.2,0
Basic Medical Science,Nursing Science,228,150,69.2,55.0,78,14.2,1,5.0,1
Basic Medical Science,Nursing Science,143,150,50.45,55.0,-7,-4.55,1,3.8,0
Communications and Media Studies,Journalism,184,150,55.6,64.0,34,-8.4,1,3.6,0
Environmental Design and Management,Architecture,328,210,78.2,66.25,118,11.95,1,3.8,1
Pharmacy,Doctor of Pharmacy,204,240,46.6,55.0,-36,-8.4,1,3.2,0
Engineering,Agricultural and Bio-Resources Engineering,268,160,64.2,55.0,108,9.2,1,2.8,1
Education,Library and Information Science,287,150,60.05,64.5,137,-4.45,1,3.4,0
Social Sciences,Criminology and Security Studies,280,200,62.0,55.0,80,7.0,1,4.0,1
Social Sciences,Geography,349,150,78.35,55.0,199,23.35,1,3.2,1
Education,Library and Information Science,262,150,66.3,64.5,112,1.8,1,3.4,1
Education,Health Education,254,150,64.1,57.95,104,6.15,1,3.2,1
Science,Industrial Chemistry,144,150,45.6,60.5,-6,-14.9,1,2.8,0
Pharmacy,Doctor of Pharmacy,319,240,77.85,55.0,79,22.85,1,4.0,1
Environmental Design and Management,Urban and Regional Planning,302,150,65.3,56.0,152,9.3,1,4.0,1
Law,Law,143,240,43.45,55.0,-97,-11.55,1,2.4,0
Education,Library and Information Science,318,150,64.7,64.5,168,0.2,1,3.4,1
Social Sciences,Demography and Social Statistics,191,150,61.65,60.5,41,1.15,1,4.6,1
Social Sciences,Political Science,144,180,40.6,62.5,-36,-21.9,1,1.8,0
Social Sciences,Economics,164,180,48.6,63.75,-16,-15.15,1,2.8,0
Law,Law,340,240,86.0,55.0,100,31.0,1,5.0,1
Management Sciences,Accounting,223,200,59.45,55.0,23,4.45,1,3.2,1
Engineering,Civil Engineering,294,200,59.1,65.0,94,-5.9,1,3.0,0
Basic Medical Science,Medical Laboratory Science,259,200,51.85,72.3,59,-20.45,1,2.6,0
Law,Law,172,240,53.8,55.0,-68,-1.2,1,3.6,0
Pharmacy,Doctor of Pharmacy,310,240,78.5,55.0,70,23.5,1,4.4,1
Social Sciences,Geography,283,150,57.45,55.0,133,2.45,1,3.0,1
Law,Law,302,240,75.3,55.0,62,20.3,1,4.0,1
Communications and Media Studies,Pulic Relations,316,150,67.4,55.0,166,12.4,1,4.0,1
Arts, English and Literary Studies,142,150,35.3,55.0,-8,-19.7,1,2.8,0
College of Medicine,Medicine and Surgery,190,260,55.5,55.0,-70,0.5,1,3.4,0
Engineering,Electrical and Electronics Engineering,318,200,68.7,63.3,118,5.4,1,2.2,1
Education,Chemistry Education,180,150,60.0,55.0,30,5.0,1,4.6,1
Law,Law,156,240,48.4,55.0,-84,-6.6,1,3.0,0
Basic Medical Science,Anatomy,146,180,32.9,63.3,-34,-30.4,1,2.2,0
Law,Law,172,240,50.8,55.0,-68,-4.2,1,3.0,0
Basic Medical Science,Physiology,244,180,60.6,61.5,64,-0.9,1,4.8,0
Basic Medical Science,Radiology and Radiography,199,200,67.85,71.3,-1,-3.45,1,5.6,0
Basic Medical Science,Radiology and Radiography,336,200,68.4,71.3,136,-2.9,1,3.6,0
Law,Law,303,240,80.45,55.0,63,25.45,1,5.0,1
Law,Law,292,240,67.8,55.0,52,12.8,1,4.8,1
Basic Medical Science,Radiology and Radiography,294,200,59.1,71.3,94,-12.2,1,3.0,0
Education,Chemistry Education,282,150,61.3,55.0,132,6.3,1,3.8,1
Basic Medical Science,Anatomy,256,180,61.4,63.3,76,-1.9,1,2.6,0
Agriculture,Hospitality and Tourism Management,215,150,61.25,58.45,65,2.8,1,3.8,1
College of Medicine,Medicine and Surgery,193,260,53.95,55.0,-67,-1.05,1,3.0,0
Communications and Media Studies,Pulic Relations,259,150,63.85,55.0,109,8.85,1,3.0,1
Science,Statistics,312,150,63.8,54.5,162,9.3,1,3.4,1
Arts, English and Literary Studies,346,150,76.9,55.0,196,21.9,1,3.0,1
Social Sciences,Political Science,201,180,43.15,62.5,21,-19.35,1,2.6,0
Engineering,Meterials and Metallurgical Engineering,284,150,68.6,55.0,134,13.6,1,3.2,1
Pharmacy,Doctor of Pharmacy,341,240,82.15,55.0,101,27.15,1,4.2,1
Law,Law,309,240,77.35,55.0,69,22.35,1,4.2,1
Engineering,Civil Engineering,175,200,61.25,65.0,-25,-3.75,1,5.0,0
Communications and Media Studies,Pulic Relations,192,150,46.8,55.0,42,-8.2,1,3.6,0
Social Sciences,Sociology,305,160,72.75,63.95,145,8.8,1,3.4,1
