faculty,department,utme_score,screening_score,olevel_passed,admitted,olevel_grades
Management and Social Sciences,Accounting and Finance,308,72.5,True,not admitted,"C6, C4, C4, B2, C5"
Information and Communication Technology,Mass Communication,243,69.38,True,not admitted,"C5, A1, B2, B3, C5"
Allied Health Science,Environmental Health Science,229,66.62,True,not admitted,"A1, C5, B2, C4, C5"
Education,Business and Entrepreneurship Education,139,52.38,True,not admitted,"B2, C5, C6, A1, C6"
Engineering and Technology,Electrical and Computer Engineering,315,82.38,True,not admitted,"C4, C5, A1, A1, A1"
Pure and Applied Science,Chemistry and Industrial Chemistry,162,56.25,True,not admitted,"C4, C5, C4, C5, A1"
Agriculture,Crop Production,313,80.12,True,not admitted,"C4, B3, B3, B2, B2"
Engineering and Technology,Electrical and Computer Engineering,342,80.75,True,not admitted,"B3, A1, C6, B2, C5"
Agriculture,Food Science and Technology,218,70.25,True,not admitted,"B2, C5, A1, A1, B3"
Information and Communication Technology,Computer Science,302,77.75,True,not admitted,"B2, C4, C5, B2, B2"
Engineering and Technology,Mechanical Engineering,201,63.12,True,not admitted,"C6, B3, A1, C4, B3"
Pure and Applied Science,Environmental Management and Toxicology,216,61.0,True,not admitted,"C6, B3, C6, A1, C5"
Pure and Applied Science,Geology and Mineral Sciences,395,83.38,True,not admitted,"C6, C4, B3, C4, C4"
Agriculture,Food Science and Technology,228,64.5,False,not admitted,"C5, C5, A1, B3, C5"
Education,Arts and Science Education,267,70.38,False,not admitted,"A1, C4, C5, C4, C4"
Allied Health Science,Environmental Health Science,243,65.38,True,not admitted,"C4, C4, B3, C6, B3"
Pure and Applied Science,Chemistry and Industrial Chemistry,276,72.5,True,not admitted,"B3, C4, A1, C5, C4"
Education,Educational Management,241,67.12,True,not admitted,"B3, B3, A1, C5, C6"
Engineering and Technology,Materials Science and Engineering,222,64.75,True,not admitted,"C6, A1, A1, C5, C5"
Arts,Arabic and French,141,56.62,True,not admitted,"B2, C5, C6, B2, A1"
Pure and Applied Science,Chemistry and Industrial Chemistry,285,77.62,False,not admitted,"A1, C4, B2, C5, A1"
Education,Human Kinetic and Health Education,287,68.88,True,not admitted,"C5, C5, B2, C5, C5"
Allied Health Science,Environmental Health Science,183,58.88,True,not admitted,"A1, C6, B2, C6, C4"
Agriculture,Crop Production,211,62.38,True,not admitted,"A1, C6, A1, C5, C6"
Agriculture,Crop Production,235,68.38,True,not admitted,"B3, C4, B2, C6, A1"
Arts,English Language and Linguistics,328,81.0,True,not admitted,"B2, B2, C6, B2, B3"
Agriculture,Agricultural Economics and Extension Services,311,78.88,False,not admitted,"A1, A1, B3, C6, C4"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",305,67.12,True,not admitted,"C5, C6, C6, C5, C4"
Allied Health Science,Public Health,315,78.38,True,not admitted,"C6, A1, B3, B3, B3"
Education,Special Education,367,87.88,True,not admitted,"B2, B2, C4, A1, C4"
Education,Educational Management,252,60.5,False,not admitted,"C4, C4, C6, C6, C6"
Agriculture,Agricultural Economics and Extension Services,206,62.75,True,not admitted,"C4, B3, C6, C4, A1"
Law,Jurisprudence and Public Law,173,56.62,True,not admitted,"A1, C4, C5, C6, C4"
Pure and Applied Science,Geology and Mineral Sciences,276,74.5,False,not admitted,"C5, A1, C5, B2, B2"
Law,Business and Private Law,337,86.12,False,not admitted,"B2, A1, A1, C4, B3"
Law,Common Law,203,59.38,True,not admitted,"C4, C6, B3, B2, C6"
Engineering and Technology,Mechanical Engineering,259,66.38,False,not admitted,"C4, C6, C6, A1, C4"
Pure and Applied Science,Biochemistry,246,68.75,False,not admitted,"B3, B2, B2, C6, C4"
Arts,Performing Arts and Film Studies,323,82.38,True,not admitted,"B3, B2, C4, B2, B2"
Education,Human Kinetic and Health Education,294,79.75,True,not admitted,"A1, A1, C5, B2, B3"
Management and Social Sciences,Tourism and Hospitality Management,363,82.38,False,not admitted,"C6, A1, C5, B3, B3"
Law,Jurisprudence and Public Law,315,77.38,False,not admitted,"A1, A1, C5, C6, C4"
Agriculture,Food Science and Technology,380,85.5,True,not admitted,"C4, B2, B2, C5, C4"
Engineering and Technology,Electrical and Computer Engineering,391,93.88,False,not admitted,"A1, A1, A1, A1, C6"
Agriculture,Crop Production,288,72.0,True,not admitted,"C4, C6, B2, C6, A1"
Arts,Arabic and French,184,64.0,True,not admitted,"B3, B3, A1, A1, C6"
Law,Jurisprudence and Public Law,125,55.62,True,not admitted,"C5, A1, B3, C5, A1"
Arts,"Religions, History and Heritage Studies",159,54.88,False,not admitted,"B3, A1, C5, C5, C6"
Agriculture,Crop Production,317,77.62,True,not admitted,"C5, A1, B3, C6, B2"
Pure and Applied Science,Mathematics and Statistics,390,91.75,True,not admitted,"A1, B2, B3, C5, A1"
Education,Arts and Science Education,256,67.0,True,not admitted,"C4, B3, C6, C4, B3"
Engineering and Technology,Food and Agricultural Engineering,259,71.38,True,not admitted,"B2, C5, B2, B3, C4"
Education,Special Education,351,86.88,False,not admitted,"C4, B2, A1, C4, A1"
Law,Jurisprudence and Public Law,222,62.75,True,not admitted,"A1, C5, C6, C4, C4"
Pure and Applied Science,Zoology,320,75.0,True,not admitted,"C6, C6, C6, A1, A1"
Allied Health Science,Public Health,258,68.25,False,not admitted,"C6, C5, C5, A1, B2"
Management and Social Sciences,Politics and Governance,346,80.25,True,not admitted,"C5, A1, B3, C4, C5"
Allied Health Science,Public Health,294,78.75,False,not admitted,"A1, C5, B3, A1, B3"
Management and Social Sciences,Business and Entrepreneurship,388,87.5,True,not admitted,"B3, C4, B3, C5, A1"
Allied Health Science,Medical Laboratory Science,302,73.75,True,not admitted,"C4, B3, A1, C6, C5"
Engineering and Technology,Materials Science and Engineering,216,64.0,False,not admitted,"B3, B2, B3, C6, C4"
Law,Common Law,123,56.38,True,not admitted,"C6, A1, A1, C4, B2"
Law,Business and Private Law,234,62.25,True,not admitted,"C4, C4, B3, C6, C5"
Education,Early Childhood and Primary Education,228,75.5,False,not admitted,"B2, A1, A1, B2, B2"
Pure and Applied Science,Microbiology,133,57.62,False,not admitted,"C4, B3, A1, B2, C4"
Management and Social Sciences,Accounting and Finance,234,67.25,True,not admitted,"A1, A1, C5, C6, C4"
Information and Communication Technology,Computer Science,398,90.75,False,not admitted,"B3, C4, B2, C4, A1"
Engineering and Technology,Mechanical Engineering,156,52.5,False,not admitted,"C5, C5, B3, C4, C5"
Agriculture,Agricultural Economics and Extension Services,142,51.75,False,not admitted,"C4, C5, C4, C4, C4"
Management and Social Sciences,Politics and Governance,371,80.38,True,not admitted,"B2, C6, C5, B2, C6"
Information and Communication Technology,Mass Communication,334,85.75,True,not admitted,"B2, C5, A1, B2, A1"
Arts,Fine and Applied Arts,300,74.5,True,not admitted,"B2, B3, C5, B2, C6"
Management and Social Sciences,Tourism and Hospitality Management,330,71.25,True,not admitted,"C6, B2, C6, C6, C5"
Allied Health Science,Public Health,126,48.75,True,not admitted,"C6, C4, C4, C5, B3"
Education,Business and Entrepreneurship Education,224,62.0,True,not admitted,"C5, C6, C4, B2, C4"
Education,Human Kinetic and Health Education,219,65.38,True,not admitted,"C4, C6, B2, B2, B3"
Information and Communication Technology,Library and Information Science,292,72.5,True,not admitted,"B3, C4, B3, C4, C5"
Allied Health Science,Environmental Health Science,163,60.38,True,not admitted,"A1, C4, B3, C6, A1"
Management and Social Sciences,Economics and Development Studies,222,60.75,False,not admitted,"C5, C4, C4, C5, C4"
Information and Communication Technology,Computer Science,308,81.5,True,not admitted,"C6, A1, A1, A1, B3"
Management and Social Sciences,Economics and Development Studies,278,72.75,False,not admitted,"C5, C6, B3, B2, A1"
Agriculture,Food Science and Technology,347,83.38,False,not admitted,"B2, A1, B2, C6, C4"
Pure and Applied Science,Plant and Environmental Biology,155,54.38,True,not admitted,"B2, A1, C6, C5, C6"
Law,Common Law,130,55.25,True,not admitted,"C5, B3, C6, A1, A1"
Arts,English Language and Linguistics,247,55.88,True,not admitted,"C6, C6, C6, C6, C6"
Information and Communication Technology,Library and Information Science,286,71.75,True,not admitted,"B2, C6, A1, C6, C4"
Agriculture,"Animal Production, Fisheries and Aquaculture",335,78.88,True,not admitted,"A1, C5, B2, C6, C4"
Engineering and Technology,Electrical and Computer Engineering,382,87.75,False,not admitted,"A1, C4, B3, C4, B3"
Pure and Applied Science,Microbiology,120,49.0,False,not admitted,"C6, B2, C6, C6, A1"
Information and Communication Technology,Library and Information Science,371,81.38,True,not admitted,"C6, B3, C6, B2, B3"
Management and Social Sciences,Business and Entrepreneurship,327,75.88,True,not admitted,"A1, B3, C6, C6, C4"
Agriculture,Crop Production,340,78.5,True,not admitted,"A1, C4, C6, B2, C6"
Education,Early Childhood and Primary Education,398,96.75,True,not admitted,"A1, A1, B2, B2, B2"
Allied Health Science,Public Health,222,59.75,False,not admitted,"C6, C6, B3, C4, C4"
Information and Communication Technology,Computer Science,294,75.75,True,not admitted,"B3, B3, A1, C5, C4"
Information and Communication Technology,Computer Science,161,60.12,True,not admitted,"A1, B3, A1, C6, C4"
Education,Special Education,322,81.25,True,not admitted,"C6, B2, A1, B2, B3"
Agriculture,"Animal Production, Fisheries and Aquaculture",170,56.25,True,not admitted,"C5, C6, A1, C5, B3"
Management and Social Sciences,Tourism and Hospitality Management,296,71.0,True,not admitted,"C6, C4, C4, C6, A1"
Arts,"Religions, History and Heritage Studies",251,76.38,True,not admitted,"C4, A1, A1, B3, A1"
Engineering and Technology,Materials Science and Engineering,160,55.0,True,not admitted,"B3, B3, C5, B3, C6"
Allied Health Science,Public Health,280,74.0,True,not admitted,"A1, B2, C4, C4, C5"
Pure and Applied Science,Geology and Mineral Sciences,197,69.62,False,not admitted,"A1, C6, A1, A1, A1"
Allied Health Science,Medical Laboratory Science,266,69.25,False,not admitted,"C6, A1, B3, C4, C5"
Allied Health Science,Environmental Health Science,128,54.0,True,not admitted,"B3, A1, C5, C5, B3"
Agriculture,Food Science and Technology,188,60.5,False,not admitted,"C4, C6, C4, A1, B3"
Allied Health Science,Public Health,134,55.75,True,not admitted,"B3, B3, C4, B2, C4"
Engineering and Technology,Mechanical Engineering,134,57.75,True,not admitted,"C4, A1, B2, C4, B3"
Agriculture,"Animal Production, Fisheries and Aquaculture",245,61.62,True,not admitted,"C4, C5, C6, C6, B3"
Information and Communication Technology,Mass Communication,389,85.62,False,not admitted,"C6, A1, B3, B3, C5"
Allied Health Science,Environmental Health Science,255,68.88,True,not admitted,"C5, A1, C5, C5, B2"
Arts,Arabic and French,237,68.62,False,not admitted,"B3, B2, C4, C6, A1"
Pure and Applied Science,Chemistry and Industrial Chemistry,181,62.62,True,not admitted,"B3, A1, B3, C5, B3"
Arts,Fine and Applied Arts,350,86.75,False,not admitted,"B2, A1, C6, B2, A1"
Management and Social Sciences,Economics and Development Studies,253,62.62,True,not admitted,"C6, C6, B3, C5, C4"
Education,Early Childhood and Primary Education,332,82.5,True,not admitted,"A1, B3, C4, B2, C4"
Allied Health Science,Public Health,217,75.12,False,not admitted,"A1, A1, B3, A1, A1"
Pure and Applied Science,Plant and Environmental Biology,126,52.75,True,not admitted,"B2, C4, A1, C5, C6"
Law,Common Law,295,76.88,False,not admitted,"A1, B2, C5, B3, C4"
Allied Health Science,Medical Laboratory Science,257,67.12,True,not admitted,"C5, C5, A1, C4, C5"
Law,Common Law,276,68.5,True,not admitted,"C4, C4, A1, C6, C6"
Engineering and Technology,Materials Science and Engineering,308,76.5,False,not admitted,"A1, B2, C5, C4, C5"
Management and Social Sciences,Accounting and Finance,273,71.12,False,not admitted,"A1, B3, C6, B3, C5"
Education,Business and Entrepreneurship Education,259,72.38,True,not admitted,"B2, C5, B3, B2, B3"
Law,Common Law,220,71.5,False,not admitted,"A1, A1, B3, A1, C5"
Education,Special Education,327,80.88,False,not admitted,"C5, A1, B3, C4, B2"
Arts,"Religions, History and Heritage Studies",263,67.88,False,not admitted,"C6, C5, B2, A1, C6"
Arts,English Language and Linguistics,387,77.38,True,not admitted,"C4, C4, C6, C6, C6"
Information and Communication Technology,Mass Communication,298,75.25,True,not admitted,"A1, C5, B3, C6, B2"
Management and Social Sciences,Politics and Governance,121,54.12,True,not admitted,"B3, B3, C6, B3, A1"
Arts,Arabic and French,302,71.75,False,not admitted,"C6, C5, C5, B3, B2"
Allied Health Science,Public Health,316,72.5,True,not admitted,"C4, C4, C5, B3, C6"
Law,Common Law,372,86.5,True,not admitted,"A1, C4, A1, C4, C5"
Arts,"Religions, History and Heritage Studies",151,64.88,True,not admitted,"B3, B3, A1, A1, A1"
Arts,English Language and Linguistics,279,77.88,True,not admitted,"C6, B2, A1, B2, A1"
Allied Health Science,Public Health,280,74.0,False,not admitted,"B3, B2, C5, B2, C4"
Allied Health Science,Environmental Health Science,277,82.62,True,not admitted,"A1, B2, A1, A1, B2"
Law,Business and Private Law,170,55.25,True,not admitted,"C4, B3, B2, C6, C6"
Engineering and Technology,Civil and Environmental Engineering,274,68.25,True,not admitted,"C5, A1, C6, C4, C5"
Law,Common Law,120,57.0,True,not admitted,"A1, A1, B2, C5, C4"
Law,Jurisprudence and Public Law,275,72.38,True,not admitted,"B2, C5, C4, C4, B2"
Agriculture,"Animal Production, Fisheries and Aquaculture",348,80.5,True,not admitted,"B3, C6, C5, A1, B3"
Information and Communication Technology,Computer Science,162,60.25,True,not admitted,"C4, C4, A1, A1, C5"
Arts,English Language and Linguistics,337,81.12,True,not admitted,"B2, C5, C4, B2, B3"
Engineering and Technology,Aeronautics and Astronautics Engineering,313,73.12,False,not admitted,"C4, C6, B3, B2, C6"
Agriculture,"Animal Production, Fisheries and Aquaculture",228,60.5,True,not admitted,"B2, C6, C5, C5, C5"
Information and Communication Technology,Computer Science,254,70.75,False,not admitted,"A1, C4, A1, C4, C6"
Agriculture,Crop Production,262,70.75,True,not admitted,"C5, A1, B3, C6, B2"
Education,Educational Management,334,82.75,True,not admitted,"B2, B3, A1, C6, B2"
Arts,English Language and Linguistics,279,72.88,True,not admitted,"C6, B3, A1, C6, A1"
Agriculture,Food Science and Technology,152,65.0,False,not admitted,"A1, A1, A1, B3, B3"
Management and Social Sciences,Economics and Development Studies,146,56.25,True,not admitted,"C4, C5, C6, A1, A1"
Law,Common Law,204,60.5,True,not admitted,"B3, C5, C5, B3, C4"
Agriculture,Crop Production,333,69.62,True,not admitted,"C6, C6, B3, C6, C6"
Education,Business and Entrepreneurship Education,311,72.88,False,not admitted,"C4, C5, C4, C4, C4"
Information and Communication Technology,Library and Information Science,294,73.75,True,not admitted,"C5, A1, C5, C6, A1"
Education,Human Kinetic and Health Education,395,84.38,True,not admitted,"C4, C5, C4, A1, C6"
Engineering and Technology,Mechanical Engineering,199,59.88,True,not admitted,"C6, B3, B2, C5, C4"
Allied Health Science,Environmental Health Science,311,78.88,True,not admitted,"B3, A1, B3, C6, B2"
Law,Common Law,161,65.12,True,not admitted,"A1, B2, B3, B2, B2"
Allied Health Science,Medical Laboratory Science,162,57.25,False,not admitted,"C5, C6, A1, C5, A1"
Arts,Arabic and French,302,76.75,True,not admitted,"B3, C5, B2, C5, A1"
Allied Health Science,Environmental Health Science,345,82.12,True,not admitted,"C4, B2, C5, C4, A1"
Law,Common Law,316,78.5,False,not admitted,"C5, B3, A1, B2, C5"
Management and Social Sciences,Business and Entrepreneurship,346,82.25,True,not admitted,"C4, C5, B2, A1, C4"
Agriculture,"Animal Production, Fisheries and Aquaculture",129,54.12,True,not admitted,"B2, B2, C5, C6, B2"
Engineering and Technology,Materials Science and Engineering,364,77.5,False,not admitted,"C5, B2, C5, C5, C6"
Pure and Applied Science,Zoology,261,72.62,True,not admitted,"B3, B2, C6, B2, B2"
Agriculture,Crop Production,394,87.25,False,not admitted,"C4, B3, B3, A1, C6"
Engineering and Technology,Mechanical Engineering,143,53.88,False,not admitted,"C6, B2, B2, B3, C6"
Law,Business and Private Law,181,58.62,False,not admitted,"B3, B3, B3, C4, C6"
Arts,Performing Arts and Film Studies,200,68.0,False,not admitted,"B3, A1, C6, A1, A1"
Allied Health Science,Public Health,257,69.12,True,not admitted,"C6, C5, B2, B3, B2"
Agriculture,Food Science and Technology,314,74.25,False,not admitted,"B3, A1, C6, C6, C4"
Pure and Applied Science,Biochemistry,283,72.38,True,not admitted,"A1, C4, C4, C6, B3"
Arts,Fine and Applied Arts,395,89.38,True,not admitted,"B3, B2, C6, B2, B2"
Law,Jurisprudence and Public Law,235,61.38,True,not admitted,"B2, C6, C6, C6, B3"
Pure and Applied Science,Zoology,125,52.62,True,not admitted,"C4, B3, C4, C5, B2"
Allied Health Science,Environmental Health Science,337,77.12,True,not admitted,"B2, C6, B2, C4, C6"
Management and Social Sciences,Economics and Development Studies,234,70.25,True,not admitted,"C5, B2, B3, B3, A1"
Education,Special Education,224,64.0,True,not admitted,"C6, B2, A1, C5, C5"
Agriculture,Food Science and Technology,279,72.88,True,not admitted,"C4, A1, B3, C5, C4"
Information and Communication Technology,Mass Communication,242,67.25,True,not admitted,"B3, C6, B2, B2, C5"
Information and Communication Technology,Library and Information Science,385,84.12,True,not admitted,"B3, C5, C6, B2, B3"
Pure and Applied Science,Microbiology,184,59.0,False,not admitted,"C6, B2, C5, B2, C4"
Arts,English Language and Linguistics,371,82.38,True,not admitted,"C4, B2, A1, C6, C6"
Law,Common Law,323,75.38,True,not admitted,"B2, C6, B3, B3, C6"
Education,Special Education,252,66.5,True,not admitted,"B2, C5, A1, C6, C6"
Education,Educational Management,148,53.5,False,not admitted,"B2, C4, C5, C5, C4"
Allied Health Science,Medical Laboratory Science,272,67.0,True,not admitted,"C4, B2, C6, C6, C4"
Agriculture,Food Science and Technology,297,81.12,False,not admitted,"B2, B2, B3, A1, B3"
Agriculture,Food Science and Technology,381,86.62,True,not admitted,"B3, B2, B3, C4, C4"
Education,Human Kinetic and Health Education,393,87.12,True,not admitted,"B2, C4, B2, B3, C6"
Engineering and Technology,Electrical and Computer Engineering,276,75.5,True,not admitted,"B3, B2, C6, B2, A1"
Agriculture,Crop Production,304,83.0,True,not admitted,"A1, A1, C5, A1, B2"
Management and Social Sciences,Business and Entrepreneurship,134,51.75,True,not admitted,"C5, C5, A1, C5, C4"
Allied Health Science,Public Health,369,92.12,True,not admitted,"A1, B2, A1, A1, C4"
Arts,Fine and Applied Arts,310,82.75,False,not admitted,"B2, B3, B2, B3, A1"
Engineering and Technology,Materials Science and Engineering,275,71.38,True,not admitted,"C4, B3, C4, A1, C6"
Engineering and Technology,Civil and Environmental Engineering,155,52.38,True,not admitted,"C6, C4, C6, A1, C5"
Engineering and Technology,Mechanical Engineering,362,84.25,True,not admitted,"C6, A1, A1, B3, C5"
Agriculture,Agricultural Economics and Extension Services,147,50.38,False,not admitted,"B3, C6, C4, C5, C5"
Education,Special Education,270,70.75,True,not admitted,"C6, B2, C6, A1, B3"
Management and Social Sciences,Tourism and Hospitality Management,151,54.88,True,not admitted,"A1, C6, C4, B2, C6"
Information and Communication Technology,Library and Information Science,321,82.12,True,not admitted,"B2, B3, B2, A1, C5"
Engineering and Technology,Mechanical Engineering,181,57.62,True,not admitted,"C5, B2, C5, B2, C6"
Information and Communication Technology,Mass Communication,344,77.0,True,not admitted,"C6, B2, C6, A1, C6"
Information and Communication Technology,Computer Science,333,85.62,False,not admitted,"A1, A1, A1, C4, C4"
Information and Communication Technology,Computer Science,238,63.75,True,not admitted,"B2, C4, C6, B3, C6"
Arts,Performing Arts and Film Studies,151,60.88,True,not admitted,"A1, B2, C6, A1, B3"
Engineering and Technology,Food and Agricultural Engineering,164,54.5,True,not admitted,"C5, C4, C6, B3, B3"
Pure and Applied Science,Microbiology,135,59.88,True,not admitted,"C4, A1, C4, B2, A1"
Information and Communication Technology,Computer Science,304,79.0,False,not admitted,"A1, B3, C6, B3, A1"
Pure and Applied Science,Zoology,334,81.75,True,not admitted,"B3, B3, C5, A1, B3"
Pure and Applied Science,Zoology,209,68.12,True,not admitted,"B2, A1, C4, B2, C4"
Law,Jurisprudence and Public Law,256,65.0,False,not admitted,"A1, C6, C5, C6, C4"
Information and Communication Technology,Computer Science,236,67.5,True,not admitted,"B2, A1, C5, B3, C6"
Information and Communication Technology,Library and Information Science,300,82.5,False,not admitted,"B2, A1, B2, C4, A1"
Arts,Arabic and French,230,74.75,True,not admitted,"A1, B2, A1, A1, C4"
Arts,Arabic and French,196,65.5,False,not admitted,"B2, B2, C4, B3, B3"
Law,Jurisprudence and Public Law,382,83.75,True,not admitted,"B3, C5, C4, C4, B3"
Engineering and Technology,Electrical and Computer Engineering,354,82.25,True,not admitted,"A1, A1, C6, C4, C5"
Education,Educational Management,312,77.0,True,not admitted,"B3, C5, C4, A1, C4"
Engineering and Technology,Electrical and Computer Engineering,264,67.0,False,not admitted,"C5, C6, B3, A1, C6"
Law,Jurisprudence and Public Law,358,87.75,True,not admitted,"A1, B3, A1, A1, C6"
Management and Social Sciences,Economics and Development Studies,203,65.38,True,not admitted,"A1, A1, C4, C5, C4"
Allied Health Science,Public Health,321,83.12,True,not admitted,"B2, B3, B3, A1, B3"
Engineering and Technology,Materials Science and Engineering,390,82.75,True,not admitted,"C5, C5, C4, C6, A1"
Engineering and Technology,Civil and Environmental Engineering,129,48.12,False,not admitted,"B3, B3, C5, C6, C6"
Arts,Performing Arts and Film Studies,390,83.75,True,not admitted,"A1, B2, C6, C6, C5"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",198,59.75,True,not admitted,"C5, B3, C5, C5, B2"
Arts,Fine and Applied Arts,125,47.62,True,not admitted,"C5, C6, C6, C4, B2"
Pure and Applied Science,Biochemistry,161,51.12,True,not admitted,"C6, B3, C5, C6, C4"
Agriculture,Crop Production,371,81.38,True,not admitted,"C6, C5, B2, A1, C6"
Education,Special Education,292,78.5,True,not admitted,"A1, B2, A1, C6, B3"
Pure and Applied Science,Chemistry and Industrial Chemistry,213,64.62,False,not admitted,"A1, B2, C4, C4, C6"
Arts,Fine and Applied Arts,384,91.0,True,not admitted,"A1, B2, B3, C4, B2"
Information and Communication Technology,Computer Science,153,52.12,True,not admitted,"C6, B2, C6, C4, C4"
Engineering and Technology,Aeronautics and Astronautics Engineering,242,67.25,True,not admitted,"C4, C4, C4, C4, B2"
Engineering and Technology,Food and Agricultural Engineering,126,53.75,True,not admitted,"B2, B3, C6, B3, B3"
Management and Social Sciences,Politics and Governance,361,85.12,True,not admitted,"C6, A1, A1, B2, C5"
Law,Common Law,316,76.5,True,not admitted,"C5, B2, C5, B2, C4"
Agriculture,"Animal Production, Fisheries and Aquaculture",280,77.0,True,not admitted,"C5, A1, A1, A1, C5"
Information and Communication Technology,Computer Science,333,80.62,True,not admitted,"C4, B3, B3, C5, A1"
Education,Educational Management,236,66.5,False,not admitted,"B2, C5, A1, C4, C6"
Allied Health Science,Public Health,270,70.75,True,not admitted,"C5, B2, C6, B3, B2"
Education,Business and Entrepreneurship Education,292,72.5,True,not admitted,"C5, C5, A1, B2, C6"
Arts,"Religions, History and Heritage Studies",313,74.12,True,not admitted,"C6, B2, C6, A1, C5"
Education,Special Education,228,67.5,True,not admitted,"A1, C5, B2, C6, B2"
Pure and Applied Science,Mathematics and Statistics,121,58.12,True,not admitted,"A1, B3, B2, A1, C5"
Information and Communication Technology,Computer Science,357,84.62,False,not admitted,"A1, A1, C5, B3, C5"
Information and Communication Technology,Library and Information Science,357,81.62,False,not admitted,"B3, C4, A1, C4, C6"
Information and Communication Technology,Computer Science,274,65.25,True,not admitted,"C5, C5, C6, C5, B3"
Pure and Applied Science,Environmental Management and Toxicology,212,59.5,True,not admitted,"B2, C6, C6, C5, B3"
Agriculture,Food Science and Technology,283,73.38,True,not admitted,"B3, B3, B3, C5, B3"
Arts,Performing Arts and Film Studies,351,77.88,True,not admitted,"B3, B3, C5, C4, C6"
Engineering and Technology,Food and Agricultural Engineering,353,86.12,False,not admitted,"A1, C5, C4, A1, B2"
Agriculture,Food Science and Technology,253,71.62,False,not admitted,"C5, B3, A1, C4, B2"
Education,Arts and Science Education,277,74.62,True,not admitted,"B2, C4, B3, C5, A1"
Allied Health Science,Medical Laboratory Science,212,68.5,True,not admitted,"B2, C5, B2, A1, B3"
Arts,Fine and Applied Arts,369,82.12,True,not admitted,"B2, B2, C6, C5, C4"
Information and Communication Technology,Library and Information Science,324,79.5,True,not admitted,"C4, B2, C6, B2, B2"
Management and Social Sciences,Business and Entrepreneurship,355,84.38,False,not admitted,"A1, B2, C4, C6, B2"
Pure and Applied Science,Plant and Environmental Biology,181,63.62,True,not admitted,"A1, B2, C5, C5, A1"
Management and Social Sciences,Economics and Development Studies,260,70.5,False,not admitted,"B3, B3, B2, C6, B3"
Agriculture,Crop Production,392,90.0,True,not admitted,"C4, A1, B3, A1, C5"
Law,Jurisprudence and Public Law,293,79.62,False,not admitted,"C6, A1, B3, A1, A1"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",380,86.5,True,not admitted,"B3, C4, B3, A1, C5"
Education,Early Childhood and Primary Education,397,77.62,True,not admitted,"C4, C6, C6, C6, C5"
Engineering and Technology,Materials Science and Engineering,206,55.75,False,not admitted,"C6, C6, C6, C6, A1"
Education,Human Kinetic and Health Education,334,71.75,True,not admitted,"C5, C4, C4, C6, C6"
Arts,"Religions, History and Heritage Studies",148,48.5,False,not admitted,"C4, C6, C6, B3, C6"
Arts,Arabic and French,205,60.62,True,not admitted,"B3, C6, B2, C5, C4"
Information and Communication Technology,Library and Information Science,331,81.38,True,not admitted,"C6, A1, C5, A1, B2"
Allied Health Science,Public Health,176,61.0,False,not admitted,"C6, A1, A1, B2, C6"
Management and Social Sciences,Politics and Governance,191,56.88,True,not admitted,"C5, C6, C4, C5, B2"
Education,Business and Entrepreneurship Education,298,70.25,True,not admitted,"C4, C6, C5, C6, A1"
Law,Jurisprudence and Public Law,225,66.12,False,not admitted,"C6, C4, A1, A1, C5"
Education,Special Education,186,58.25,True,not admitted,"C6, B3, B3, C6, B2"
Management and Social Sciences,Business and Entrepreneurship,128,46.0,True,not admitted,"C4, C5, C6, C5, C5"
Agriculture,Crop Production,400,89.0,True,not admitted,"C4, C4, C4, B2, B2"
Management and Social Sciences,Tourism and Hospitality Management,201,62.12,False,not admitted,"C5, C6, B2, B2, B3"
Agriculture,Crop Production,261,75.62,True,not admitted,"A1, A1, B2, B3, C5"
Allied Health Science,Medical Laboratory Science,222,66.75,False,not admitted,"B2, C5, C5, A1, B3"
Law,Business and Private Law,278,74.75,True,not admitted,"A1, B2, C6, B2, C4"
Information and Communication Technology,Mass Communication,187,59.38,True,not admitted,"B2, A1, C6, C4, C6"
Management and Social Sciences,Accounting and Finance,248,68.0,True,not admitted,"C6, A1, B3, C5, B3"
Allied Health Science,Environmental Health Science,231,69.88,True,not admitted,"C4, B2, A1, A1, C6"
Law,Business and Private Law,356,77.5,True,not admitted,"C6, B3, C4, C5, C4"
Agriculture,Agricultural Economics and Extension Services,384,85.0,False,not admitted,"C4, C5, B3, C5, A1"
Allied Health Science,Environmental Health Science,167,55.88,False,not admitted,"C6, B2, B2, C5, C5"
Information and Communication Technology,Library and Information Science,254,64.75,True,not admitted,"C4, B2, C6, C5, C5"
Management and Social Sciences,Politics and Governance,341,82.62,False,not admitted,"B2, B3, C4, C4, B2"
Arts,Fine and Applied Arts,178,65.25,False,not admitted,"C4, B2, B3, A1, B2"
Education,Human Kinetic and Health Education,337,76.12,False,not admitted,"C6, C4, C4, A1, C6"
Information and Communication Technology,Computer Science,267,66.38,False,not admitted,"C5, C5, A1, C6, C5"
Arts,Arabic and French,386,83.25,True,not admitted,"B3, C5, B2, C5, C5"
Allied Health Science,Public Health,159,55.88,False,not admitted,"B3, B3, C5, C6, B2"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",245,69.62,True,not admitted,"B3, B2, B3, C6, B2"
